cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
1003,"""Baldwin, (AL)""",294.6 - 404.6 (14),40.1,8.2,30.1,23.5,17.5,353.7
1005,"""Barbour, (AL)""",526.8 - 802.6 (13),41.1,15.1,41.2,26.7,24.5,575.2
1011,"""Bullock, (AL)""",461.9 - 481.5 (14),39.2,27.9,46.4,42.3,24.4,473.7
1013,"""Butler, (AL)""",404.7 - 461.8 (13),41.1,17,47.3,38.9,21.4,425.9
1023,"""Choctaw, (AL)""",526.8 - 802.6 (13),42.3,13.9,46.7,32,21.4,545.8
1025,"""Clarke, (AL)""",404.7 - 461.8 (13),41.3,22.5,36.1,40,22.8,461.4
1031,"""Coffee, (AL)""",481.6 - 526.7 (13),38.6,13.9,36.6,30.5,20.7,526.7
1035,"""Conecuh, (AL)""",461.9 - 481.5 (14),43.4,20.9,42.5,40.1,23.8,480.3
1039,"""Covington, (AL)""",481.6 - 526.7 (13),41,13.5,35.9,34.3,21.9,524.2
1041,"""Crenshaw, (AL)""",481.6 - 526.7 (13),40.6,18.2,35.1,33.4,22,523.4
1045,"""Dale, (AL)""",404.7 - 461.8 (13),36.6,14.2,41.8,30.7,20.8,427.8
1053,"""Escambia, (AL)""",404.7 - 461.8 (13),39.5,17,36.4,32.1,24.6,432.7
1061,"""Geneva, (AL)""",404.7 - 461.8 (13),42.2,17.1,41.5,39.1,23.8,432.1
1067,"""Henry, (AL)""",294.6 - 404.6 (14),42.3,13.1,34.7,27.4,21.5,385.3
1069,"""Houston, (AL)""",294.6 - 404.6 (14),38.6,14.4,38.5,31.2,21.6,374.9
1097,"""Mobile, (AL)""",461.9 - 481.5 (14),36.8,13.3,38,27.6,20.2,470.1
1099,"""Monroe, (AL)""",294.6 - 404.6 (14),41.8,19.9,43,34.7,23.8,396.1
1109,"""Pike, (AL)""",461.9 - 481.5 (14),34.3,14.2,38.6,28,19.4,461.9
1129,"""Washington, (AL)""",404.7 - 461.8 (13),41,9.9,31.7,32.1,22.9,410.5
1131,"""Wilcox, (AL)""",526.8 - 802.6 (13),40.3,15.9,50.3,33.8,24.1,591.6
1007,"""Bibb, (AL)""",481.6 - 526.7 (13),38.5,12.2,37.4,33.1,22.7,503.7
1033,"""Colbert, (AL)""",481.6 - 526.7 (13),41.1,14,36.5,33,20.8,484.8
1057,"""Fayette, (AL)""",404.7 - 461.8 (13),42.5,17.9,37.8,27.9,22.7,432.2
1059,"""Franklin, (AL)""",481.6 - 526.7 (13),40.2,12.8,36.6,36,22,501.8
1063,"""Greene, (AL)""",461.9 - 481.5 (14),42.6,18,38,22.6,24.7,476.8
1065,"""Hale, (AL)""",461.9 - 481.5 (14),41.1,15.2,45.5,30.5,22.6,476.3
1075,"""Lamar, (AL)""",404.7 - 461.8 (13),43.2,19.3,34.5,29.2,22.6,416.1
1077,"""Lauderdale, (AL)""",294.6 - 404.6 (14),39.8,12.7,32.5,25.6,18.4,373.9
1079,"""Lawrence, (AL)""",461.9 - 481.5 (14),41,20.5,32.5,28.8,23.2,468.9
1091,"""Marengo, (AL)""",526.8 - 802.6 (13),40.1,15.5,45.2,31.8,21.7,539.3
1093,"""Marion, (AL)""",481.6 - 526.7 (13),42.2,16.8,38.7,31.9,22.6,494.4
1105,"""Perry, (AL)""",481.6 - 526.7 (13),41.7,18,47,34.9,24.6,526.2
1107,"""Pickens, (AL)""",481.6 - 526.7 (13),39.9,16.8,38.8,25.2,22.6,491
1119,"""Sumter, (AL)""",404.7 - 461.8 (13),38.4,16.2,43,32.2,20.5,457.5
1125,"""Tuscaloosa, (AL)""",404.7 - 461.8 (13),34.9,12.1,36.1,27.4,19.1,441.1
1127,"""Walker, (AL)""",526.8 - 802.6 (13),41.8,13,39.8,29.9,23.5,802.6
1133,"""Winston, (AL)""",461.9 - 481.5 (14),44,20,35.7,34.7,23.3,466.3
1001,"""Autauga, (AL)""",294.6 - 404.6 (14),37,11.4,32.7,30.2,19.4,401
1009,"""Blount, (AL)""",461.9 - 481.5 (14),40.8,12.2,32.5,32.6,22.1,463.6
1015,"""Calhoun, (AL)""",526.8 - 802.6 (13),40.3,15.2,39.7,30,20.4,616.2
1017,"""Chambers, (AL)""",294.6 - 404.6 (14),40.6,15.6,42,27.5,22,377.3
1019,"""Cherokee, (AL)""",404.7 - 461.8 (13),42.8,12,38.1,27.7,21.8,421.9
