cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
5007,"""Benton, (AR)""",307.8 - 392.2 (15),32.4,9.1,31,22.3,18.7,335.5
5033,"""Crawford, (AR)""",392.3 - 434.9 (15),38.5,12.3,39.1,27.8,22.9,421.1
5047,"""Franklin, (AR)""",455.5 - 490.7 (15),39.8,12.6,42.3,31.4,25,463.2
5057,"""Hempstead, (AR)""",455.5 - 490.7 (15),39.3,19.2,31.5,30.1,23.9,463.1
5061,"""Howard, (AR)""",490.8 - 671.6 (15),39.4,7.7,42.4,41.4,24,521.2
5081,"""Little River, (AR)""",490.8 - 671.6 (15),40.1,19.2,33.4,33.4,22.8,495.3
5083,"""Logan, (AR)""",455.5 - 490.7 (15),40.8,13.8,30.2,35.8,24.3,456.7
5087,"""Madison, (AR)""",490.8 - 671.6 (15),41,10,30.8,27.9,24.6,567.2
5091,"""Miller, (AR)""",490.8 - 671.6 (15),37.2,10.8,39,30.9,24.3,525.7
5113,"""Polk, (AR)""",435.0 - 455.4 (15),42.4,11.3,36.1,27.3,23.1,448.5
5127,"""Scott, (AR)""",392.3 - 434.9 (15),41.5,14.2,37.6,36.5,26.2,429.5
5131,"""Sebastian, (AR)""",392.3 - 434.9 (15),35.6,13.3,34.8,29.6,23.2,431
5133,"""Sevier, (AR)""",435.0 - 455.4 (15),39,13.6,32.4,35.1,24.1,455.4
5143,"""Washington, (AR)""",490.8 - 671.6 (15),32.3,9.8,32,26.6,20.5,671.6
5001,"""Arkansas, (AR)""",392.3 - 434.9 (15),39.4,16.4,35.1,37.9,23.2,421.3
5003,"""Ashley, (AR)""",455.5 - 490.7 (15),39.1,10.8,42.2,42.8,24.1,473.8
5005,"""Baxter, (AR)""",307.8 - 392.2 (15),42.6,11.9,31.4,27,20.6,374.4
5009,"""Boone, (AR)""",490.8 - 671.6 (15),38.8,8.7,29.1,30.1,23,522.8
5011,"""Bradley, (AR)""",490.8 - 671.6 (15),39.7,16.3,31.4,36.1,23.7,534.2
5013,"""Calhoun, (AR)""",435.0 - 455.4 (15),40,7.5,25.9,38.3,24.1,454.6
5015,"""Carroll, (AR)""",392.3 - 434.9 (15),40.7,6.5,29.4,31.3,20.7,430.4
5017,"""Chicot, (AR)""",455.5 - 490.7 (15),39.5,7,40.3,33.6,24.6,458.7
5019,"""Clark, (AR)""",435.0 - 455.4 (15),33.6,13.5,26.5,38.6,18.8,445.2
5021,"""Clay, (AR)""",435.0 - 455.4 (15),41.7,7.4,38,32.9,25.7,441.8
5023,"""Cleburne, (AR)""",307.8 - 392.2 (15),42.5,9.1,34.2,30.8,22,307.8
5025,"""Cleveland, (AR)""",435.0 - 455.4 (15),39.6,13.3,38.7,31.9,23.6,446.8
5027,"""Columbia, (AR)""",435.0 - 455.4 (15),36.2,17.2,43.7,36.6,22.9,436.9
5029,"""Conway, (AR)""",307.8 - 392.2 (15),38.9,15,39.7,32.3,23.2,383.2
5031,"""Craighead, (AR)""",455.5 - 490.7 (15),32.8,13.4,39.5,33.2,22,459.6
5035,"""Crittenden, (AR)""",435.0 - 455.4 (15),37.4,15.3,36.9,39,23.6,454.6
5037,"""Cross, (AR)""",455.5 - 490.7 (15),39.4,17.1,41.9,35.5,24.5,455.8
5039,"""Dallas, (AR)""",435.0 - 455.4 (15),40.2,14.5,40.1,46.6,22.6,449.4
5041,"""Desha, (AR)""",490.8 - 671.6 (15),41.2,7.4,47.1,33.5,26.4,590.3
5043,"""Drew, (AR)""",392.3 - 434.9 (15),36.8,16,34.7,31,22.5,410.9
5045,"""Faulkner, (AR)""",307.8 - 392.2 (15),32.3,10.5,36.5,27.3,20.3,382.1
5049,"""Fulton, (AR)""",307.8 - 392.2 (15),43.3,9.7,32.3,29.8,25.2,388.6
5051,"""Garland, (AR)""",392.3 - 434.9 (15),40.1,13.7,29.1,27,20.8,434.9
5053,"""Grant, (AR)""",392.3 - 434.9 (15),38,15.3,34.3,36.8,21.7,396.5
5055,"""Greene, (AR)""",307.8 - 392.2 (15),36.7,13.6,38.1,33.5,24.2,375.4
5059,"""Hot Spring, (AR)""",455.5 - 490.7 (15),39,13.5,35,29.4,23.9,462.6
5063,"""Independence, (AR)""",490.8 - 671.6 (15),38.1,9.8,29.7,31.9,23.4,535.8
5065,"""Izard, (AR)""",392.3 - 434.9 (15),41.6,13.2,32.7,26.3,22.5,411.6
5067,"""Jackson, (AR)""",455.5 - 490.7 (15),39.5,28.7,38.9,25.5,27.2,459.1
5069,"""Jefferson, (AR)""",455.5 - 490.7 (15),36.9,12.8,42.8,32.4,23.7,487.4
5071,"""Johnson, (AR)""",435.0 - 455.4 (15),38,11.4,40.9,30,24.6,447.7
5073,"""Lafayette, (AR)""",435.0 - 455.4 (15),41.1,15.7,46.1,30.5,22.9,455.3
5075,"""Lawrence, (AR)""",435.0 - 455.4 (15),39.3,9.5,38,25.8,24.5,444.3
5077,"""Lee, (AR)""",455.5 - 490.7 (15),39.1,12.6,40.5,31.4,27.7,457.6
5079,"""Lincoln, (AR)""",490.8 - 671.6 (15),36.3,14.2,44.5,36.4,26.7,506.9
5085,"""Lonoke, (AR)""",307.8 - 392.2 (15),35.3,13.6,40.9,30.7,22,322.5
5089,"""Marion, (AR)""",392.3 - 434.9 (15),43.4,9.8,26.8,27,23.4,423.8
5093,"""Mississippi, (AR)""",490.8 - 671.6 (15),37.9,16.9,42.9,35.1,26.4,576.6
