cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
4001,"""Apache, (AZ)""",265.1 - 294.2 (3),34.9,14.7,36,25,24,272.1
4003,"""Cochise, (AZ)""",294.3 - 307.0 (3),38.2,8.3,31.4,22.6,16,301.9
4005,"""Coconino, (AZ)""",211.1 - 237.8 (3),28.1,7.8,24.5,16.6,16,211.1
4007,"""Gila, (AZ)""",307.1 - 383.0 (3),38.4,10.8,33.1,23.9,20,350.8
4009,"""Graham, (AZ)""",265.1 - 294.2 (3),32.9,11.5,34.1,22.6,19.5,294.2
4011,"""Greenlee, (AZ)""",294.3 - 307.0 (3),31.9,11.1,30,18.7,16.8,305.1
4012,"""La Paz, (AZ)""",307.1 - 383.0 (3),42.3,13,34.3,35.2,17.5,382.4
4013,"""Maricopa, (AZ)""",237.9 - 265.0 (3),32.9,8,27,19.3,15.1,262.5
4015,"""Mohave, (AZ)""",307.1 - 383.0 (3),40.3,10.2,31.3,29.4,21.8,383
4017,"""Navajo, (AZ)""",294.3 - 307.0 (3),36.6,13.2,33.8,25.8,22.1,307
4019,"""Pima, (AZ)""",237.9 - 265.0 (3),34.9,7.6,25.7,18.4,15.8,265
4021,"""Pinal, (AZ)""",211.1 - 237.8 (3),34.8,11.9,35,27.4,18,237.8
4023,"""Santa Cruz, (AZ)""",211.1 - 237.8 (3),36.7,7.7,30.1,16.8,14.8,222.6
4025,"""Yavapai, (AZ)""",265.1 - 294.2 (3),39.8,7.6,24.7,20,15.6,268.6
4027,"""Yuma, (AZ)""",237.9 - 265.0 (3),35.4,10.6,38.4,23.4,15.5,258.5
