cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
6001,"""Alameda, (CA)""",170.1 - 229.9 (12),28.4,6.7,22,14.5,11.3,213.4
6005,"""Amador, (CA)""",308.6 - 338.7 (12),37,14.2,29.8,21.2,14.6,312.6
6007,"""Butte, (CA)""",308.6 - 338.7 (12),33.9,9.3,30.3,22.2,15.3,326.9
6009,"""Calaveras, (CA)""",278.2 - 308.5 (11),38.5,7.4,28.1,24,13.9,300
6011,"""Colusa, (CA)""",278.2 - 308.5 (11),33.9,14.7,38.8,25.7,15.3,304.8
6013,"""Contra Costa, (CA)""",170.1 - 229.9 (12),30.7,7.5,24.9,15.8,11,200.5
6015,"""Del Norte, (CA)""",278.2 - 308.5 (11),35.7,15.8,33.9,32.7,18.8,305.8
6017,"""El Dorado, (CA)""",230.0 - 278.1 (12),36,5.9,25.2,17,12.7,248.4
6021,"""Glenn, (CA)""",308.6 - 338.7 (12),35.2,10.1,34.1,20.8,16.6,316.8
6023,"""Humboldt, (CA)""",278.2 - 308.5 (11),33.7,8.8,24.8,15.6,16.1,308.4
6031,"""Kings, (CA)""",308.6 - 338.7 (12),31.3,13.5,34,24.7,17.1,334.4
6033,"""Lake, (CA)""",308.6 - 338.7 (12),38,7.9,22.7,21.2,17.1,314.4
6035,"""Lassen, (CA)""",338.8 - 383.2 (11),32.1,14.5,32.8,33.4,18.5,354.6
6041,"""Marin, (CA)""",170.1 - 229.9 (12),34.7,6.3,17.5,12.3,9.2,170.1
6043,"""Mariposa, (CA)""",308.6 - 338.7 (12),38.3,5.3,16.1,15.7,14.5,312
6045,"""Mendocino, (CA)""",230.0 - 278.1 (12),36.5,8.4,30.5,15.3,15.8,278.1
6047,"""Merced, (CA)""",278.2 - 308.5 (11),32.6,13,33.4,27.4,16.3,308.5
6049,"""Modoc, (CA)""",338.8 - 383.2 (11),39.4,8.3,26.1,21.5,17,345.4
6053,"""Monterey, (CA)""",170.1 - 229.9 (12),33,8.7,24.8,18.9,13.6,213.6
6055,"""Napa, (CA)""",230.0 - 278.1 (12),33.9,8.2,23.7,16.7,11.8,243.8
6057,"""Nevada, (CA)""",230.0 - 278.1 (12),37.8,3.5,18.1,11.6,12.5,251.3
6061,"""Placer, (CA)""",230.0 - 278.1 (12),34.2,5.4,20.2,12.8,11.1,235.5
6063,"""Plumas, (CA)""",338.8 - 383.2 (11),38.8,4.6,23.8,20.7,14,342.6
6067,"""Sacramento, (CA)""",278.2 - 308.5 (11),31.4,8.8,29.7,19.6,14,280.4
6069,"""San Benito, (CA)""",230.0 - 278.1 (12),32.1,9.1,35.4,25.4,13.1,230.9
6075,"""San Francisco, (CA)""",170.1 - 229.9 (12),29.6,6,17,14.6,11.7,211.8
6077,"""San Joaquin, (CA)""",278.2 - 308.5 (11),33.2,9.8,35.3,25.4,14.8,304.1
6079,"""San Luis Obispo, (CA)""",170.1 - 229.9 (12),32.1,7.7,28.5,14.9,12.4,217.3
6081,"""San Mateo, (CA)""",170.1 - 229.9 (12),30.3,7.1,22.6,15.2,10.1,204.4
6083,"""Santa Barbara, (CA)""",230.0 - 278.1 (12),31.5,7.5,24.1,13.7,12.6,251.1
6085,"""Santa Clara, (CA)""",170.1 - 229.9 (12),29.8,8.1,19.7,15.7,9.7,182.8
6087,"""Santa Cruz, (CA)""",170.1 - 229.9 (12),30.6,5.5,19,10.7,12,195.4
6089,"""Shasta, (CA)""",338.8 - 383.2 (11),35.3,10.5,26.4,15.8,16.1,375.7
6091,"""Sierra, (CA)""",308.6 - 338.7 (12),39.8,4.2,19.9,22.2,14.4,320.2
6093,"""Siskiyou, (CA)""",308.6 - 338.7 (12),38.4,7.4,34.7,23.4,15.9,310
6095,"""Solano, (CA)""",170.1 - 229.9 (12),32.1,8.3,29,21.9,13.6,218
6097,"""Sonoma, (CA)""",170.1 - 229.9 (12),32.2,6.8,23.7,15.1,12.4,229.9
6099,"""Stanislaus, (CA)""",338.8 - 383.2 (11),31.8,9.7,31.4,22.9,15.7,355.3
6101,"""Sutter, (CA)""",278.2 - 308.5 (11),33.8,12.1,29.7,28.7,15.6,284.7
6103,"""Tehama, (CA)""",338.8 - 383.2 (11),36.6,8.9,34.3,27,17.3,362.6
6105,"""Trinity, (CA)""",308.6 - 338.7 (12),40.2,6.5,28.9,19,17.2,315.7
6109,"""Tuolumne, (CA)""",278.2 - 308.5 (11),37,5.6,29.5,21,14.4,302.6
6113,"""Yolo, (CA)""",230.0 - 278.1 (12),29.4,8,24.5,14.8,12.9,242.3
6115,"""Yuba, (CA)""",338.8 - 383.2 (11),32,12.6,29.4,31.6,17.2,348.5
6003,"""Alpine, (CA)""",308.6 - 338.7 (12),38,4.6,16.8,17.7,16.9,336.9
6019,"""Fresno, (CA)""",338.8 - 383.2 (11),31.7,9.6,33,22.6,15.7,341.7
6025,"""Imperial, (CA)""",230.0 - 278.1 (12),33.1,8.9,32.8,27,15.4,257.7
6027,"""Inyo, (CA)""",308.6 - 338.7 (12),36.3,9,27.1,26,14.1,333.6
6029,"""Kern, (CA)""",338.8 - 383.2 (11),32.4,9.9,31.1,25.1,16.8,383.2
6037,"""Los Angeles, (CA)""",278.2 - 308.5 (11),33,8.4,21.8,16.3,12.7,292.7
6039,"""Madera, (CA)""",278.2 - 308.5 (11),33.6,11.5,36.7,29.4,16.5,287.6
6051,"""Mono, (CA)""",170.1 - 229.9 (12),33.1,10,28.2,12.7,13.9,223.8
6059,"""Orange, (CA)""",230.0 - 278.1 (12),34.7,7.8,19.4,14.2,10.7,252.2
6065,"""Riverside, (CA)""",308.6 - 338.7 (12),33.5,9,28.3,19.1,13.4,338.7
6071,"""San Bernardino, (CA)""",338.8 - 383.2 (11),30.1,10.3,30.6,22,15.1,368.5
6073,"""San Diego, (CA)""",230.0 - 278.1 (12),30.5,7.3,20.1,14.7,13,243.1
6107,"""Tulare, (CA)""",338.8 - 383.2 (11),33.3,10.9,37.1,26.2,17.5,361.3
6111,"""Ventura, (CA)""",230.0 - 278.1 (12),33,7.7,19.9,17.8,12.1,254.3
