cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
12001,"""Alachua, (FL)""",161.4 - 254.7 (14),31,9.6,27.4,23.6,16.6,243.2
12003,"""Baker, (FL)""",313.9 - 345.4 (13),34.5,13.6,38.1,33.2,25.2,317
12005,"""Bay, (FL)""",345.5 - 521.0 (13),35.8,10.5,30,29.8,21.3,348.6
12007,"""Bradford, (FL)""",288.7 - 313.8 (14),35.5,11.2,37.3,34.1,26.7,307.2
12009,"""Brevard, (FL)""",288.7 - 313.8 (14),37.8,10.1,29.1,25,18.4,306.7
12013,"""Calhoun, (FL)""",345.5 - 521.0 (13),40.4,14.6,36.9,40,24.8,359.1
12015,"""Charlotte, (FL)""",161.4 - 254.7 (14),44.4,8,28.8,24.2,17.4,217
12017,"""Citrus, (FL)""",345.5 - 521.0 (13),45.1,8.8,29.8,32.5,19.2,399.9
12019,"""Clay, (FL)""",254.8 - 288.6 (13),34.7,10.4,32.8,28.4,19.8,278.4
12021,"""Collier, (FL)""",161.4 - 254.7 (14),38.6,6.5,23,21.5,13.9,161.4
12023,"""Columbia, (FL)""",288.7 - 313.8 (14),38.4,12.8,36.8,35.7,23.6,301.9
12027,"""DeSoto, (FL)""",161.4 - 254.7 (14),38.9,12.3,31.5,34.6,24.7,224.3
12029,"""Dixie, (FL)""",288.7 - 313.8 (14),40.8,11.2,33.3,40.8,28.9,302.2
12031,"""Duval, (FL)""",313.9 - 345.4 (13),32.4,12.3,31.6,26.3,18.6,330.5
12033,"""Escambia, (FL)""",313.9 - 345.4 (13),33.7,11.7,29.4,27.9,19,333.8
12035,"""Flagler, (FL)""",254.8 - 288.6 (13),39.3,8.8,26.9,24.2,17.6,279.3
12037,"""Franklin, (FL)""",313.9 - 345.4 (13),39.1,9.2,35,30.4,24.6,340.9
12039,"""Gadsden, (FL)""",313.9 - 345.4 (13),36,18,43.2,34.6,21.8,315
12041,"""Gilchrist, (FL)""",254.8 - 288.6 (13),39.1,12.8,37.5,33.5,23.8,271
12043,"""Glades, (FL)""",161.4 - 254.7 (14),39.4,18.4,39.6,33.2,23.9,240.5
12045,"""Gulf, (FL)""",345.5 - 521.0 (13),36.9,11.4,32.9,30.2,22.8,348.7
12047,"""Hamilton, (FL)""",313.9 - 345.4 (13),37.4,13.4,39.8,36.1,26.4,326.4
12049,"""Hardee, (FL)""",254.8 - 288.6 (13),38.6,15,39.8,35.3,23.2,283.1
12051,"""Hendry, (FL)""",313.9 - 345.4 (13),34.5,12.3,34.8,34.3,23.4,331
12053,"""Hernando, (FL)""",313.9 - 345.4 (13),39.9,11.5,32.4,28.7,20.7,335.2
12055,"""Highlands, (FL)""",288.7 - 313.8 (14),41.8,10.6,31.6,31.8,18.8,290.5
12057,"""Hillsborough, (FL)""",288.7 - 313.8 (14),34.5,9.9,26,22.9,17.6,311.9
12059,"""Holmes, (FL)""",345.5 - 521.0 (13),39.5,12.2,35.7,35.7,27.2,521
12061,"""Indian River, (FL)""",254.8 - 288.6 (13),38.4,7.6,27.1,23.4,17.7,262.8
12063,"""Jackson, (FL)""",345.5 - 521.0 (13),37.7,13.9,37.2,36.6,24.7,386.2
12065,"""Jefferson, (FL)""",288.7 - 313.8 (14),39.1,11.5,35.3,25.1,20.8,306.4
12067,"""Lafayette, (FL)""",345.5 - 521.0 (13),37.6,13.5,33.9,33,26.5,385.4
12069,"""Lake, (FL)""",288.7 - 313.8 (14),37.6,9.9,32.3,26.7,17,297.7
12071,"""Lee, (FL)""",161.4 - 254.7 (14),39,7.9,25.2,23.3,17.5,214.4
12073,"""Leon, (FL)""",254.8 - 288.6 (13),29.7,8.4,31.3,21.9,17.3,281.5
12075,"""Levy, (FL)""",313.9 - 345.4 (13),40.8,12.3,33.1,35,23.4,345.4
12077,"""Liberty, (FL)""",313.9 - 345.4 (13),35.6,12.2,39.7,36.9,27,326.7
12079,"""Madison, (FL)""",345.5 - 521.0 (13),39.3,13.8,36,31.2,26.3,391.5
