cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
13001,"""Appling, (GA)""",413.1 - 460.3 (32),37.8,15,34.4,41.1,23.6,421.2
13003,"""Atkinson, (GA)""",460.4 - 625.5 (31),37.3,11.9,30.4,29.1,25.4,478.5
13005,"""Bacon, (GA)""",460.4 - 625.5 (31),36.2,11.8,43.3,37.2,24.3,486
13007,"""Baker, (GA)""",372.8 - 413.0 (32),38.3,15,35.9,24.5,20.4,398.5
13017,"""Ben Hill, (GA)""",460.4 - 625.5 (31),37.5,19.9,42.1,40.6,22.9,503
13019,"""Berrien, (GA)""",413.1 - 460.3 (32),37.2,9.7,36.5,26.9,24.6,432.4
13025,"""Brantley, (GA)""",413.1 - 460.3 (32),38.3,8.5,33.4,30.2,25.7,437
13027,"""Brooks, (GA)""",338.5 - 372.7 (32),37.9,10.3,30.4,26.5,22.2,359.7
13029,"""Bryan, (GA)""",338.5 - 372.7 (32),31.1,9,39.4,29.2,17.4,358.2
13037,"""Calhoun, (GA)""",372.8 - 413.0 (32),35.9,10.2,34.9,40.2,27,410.2
13039,"""Camden, (GA)""",338.5 - 372.7 (32),32.2,11.6,37.3,28.6,18.8,370.4
13049,"""Charlton, (GA)""",231.3 - 338.4 (32),35.5,12.7,36.4,34,24.4,315.2
13051,"""Chatham, (GA)""",338.5 - 372.7 (32),31.4,10.4,29.7,23.2,16.9,355.9
13061,"""Clay, (GA)""",413.1 - 460.3 (32),42.5,9,41.4,42.5,24.5,428.3
13065,"""Clinch, (GA)""",460.4 - 625.5 (31),38.3,16.5,45.2,21,27.3,625.5
13069,"""Coffee, (GA)""",413.1 - 460.3 (32),34.5,12.8,34,35,23.1,456.3
13071,"""Colquitt, (GA)""",231.3 - 338.4 (32),36.3,15.1,39.6,35.4,23,327
13075,"""Cook, (GA)""",460.4 - 625.5 (31),36.2,15.1,28.7,38.6,22.8,465.8
13081,"""Crisp, (GA)""",413.1 - 460.3 (32),37.5,15.4,36.1,36.4,24.1,437.1
13087,"""Decatur, (GA)""",460.4 - 625.5 (31),35.3,13.7,27.1,28.5,21.8,497.2
13095,"""Dougherty, (GA)""",231.3 - 338.4 (32),34.7,15.2,39.1,34.6,21.2,326.6
13099,"""Early, (GA)""",460.4 - 625.5 (31),38,9.8,46.3,26.5,22.5,531.6
13101,"""Echols, (GA)""",231.3 - 338.4 (32),35,11.2,34,27,23.3,279.8
13127,"""Glynn, (GA)""",338.5 - 372.7 (32),36,8.2,32.1,29.8,17.5,340.5
13131,"""Grady, (GA)""",372.8 - 413.0 (32),36.6,20.3,35.9,35.7,22.1,375.3
13155,"""Irwin, (GA)""",460.4 - 625.5 (31),36.7,13,34.5,30.5,23.7,474.5
13161,"""Jeff Davis, (GA)""",460.4 - 625.5 (31),36.7,19.5,37.4,28.9,24.3,498.3
13173,"""Lanier, (GA)""",338.5 - 372.7 (32),34.9,22.2,26.7,38.6,22.8,360.4
13177,"""Lee, (GA)""",413.1 - 460.3 (32),32.8,14.6,39.7,21.4,18,432.8
13179,"""Liberty, (GA)""",338.5 - 372.7 (32),28.5,14.6,38,36.3,19.4,359
13183,"""Long, (GA)""",231.3 - 338.4 (32),31.7,11.4,32.5,31.2,22.2,325.3
13185,"""Lowndes, (GA)""",372.8 - 413.0 (32),31.4,17.3,36.3,30.2,19.1,376
13191,"""McIntosh, (GA)""",231.3 - 338.4 (32),39.7,13.4,30.6,26.9,19.2,298.6
13201,"""Miller, (GA)""",413.1 - 460.3 (32),38.3,10.6,24.1,28.9,20.6,451.7
13205,"""Mitchell, (GA)""",372.8 - 413.0 (32),37.1,8.3,36.9,29.7,24,374.6
13229,"""Pierce, (GA)""",460.4 - 625.5 (31),37.3,10.1,35.5,36.2,21.8,460.5
