cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
17003,"""Alexander, (IL)""",389.8 - 450.3 (20),41.7,3.6,18.1,16.1,25.1,442.8
17055,"""Franklin, (IL)""",337.7 - 360.6 (21),39.4,12.6,33.3,28.1,23.2,343.6
17059,"""Gallatin, (IL)""",360.7 - 389.7 (20),40.3,6.8,26.7,21,23.2,375.4
17065,"""Hamilton, (IL)""",360.7 - 389.7 (20),39.1,6.3,29.1,25.3,19.6,374.9
17069,"""Hardin, (IL)""",389.8 - 450.3 (20),42.2,7.8,29.5,23.5,22.6,420.1
17077,"""Jackson, (IL)""",337.7 - 360.6 (21),32.9,8.3,24.6,19.7,19.5,339.8
17081,"""Jefferson, (IL)""",389.8 - 450.3 (20),37.9,6.9,37.8,23,21.6,390.4
17087,"""Johnson, (IL)""",248.3 - 317.9 (21),37.8,7.2,23.4,20.5,21.4,305.8
17127,"""Massac, (IL)""",318.0 - 337.6 (20),39.1,14.2,34.4,27.7,22,330.3
17133,"""Monroe, (IL)""",337.7 - 360.6 (21),35.4,8.1,32.3,17.4,16.2,338.2
17145,"""Perry, (IL)""",337.7 - 360.6 (21),36.7,8.5,28.2,21.6,23.1,349.6
17151,"""Pope, (IL)""",248.3 - 317.9 (21),40.7,10.2,26,18.5,19.8,300.7
17153,"""Pulaski, (IL)""",389.8 - 450.3 (20),40.5,6.1,19.2,16.7,23.4,431.7
17157,"""Randolph, (IL)""",337.7 - 360.6 (21),37.4,14.1,37.8,21.2,23,347.6
17165,"""Saline, (IL)""",360.7 - 389.7 (20),38.8,7.2,27.4,33.2,23.1,377.6
17181,"""Union, (IL)""",389.8 - 450.3 (20),38.8,9.8,31.5,22.9,21.1,449.4
17189,"""Washington, (IL)""",337.7 - 360.6 (21),37.8,6.1,30.6,25.2,18.6,359.9
17193,"""White, (IL)""",360.7 - 389.7 (20),39,6.4,29.3,17.8,21.2,380.3
