cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
18051,"""Gibson, (IN)""",368.3 - 387.8 (18),36.6,7.2,34,24.2,22.4,377.8
18129,"""Posey, (IN)""",348.3 - 368.2 (19),37.8,10.3,33.4,30.9,20.9,349.5
18163,"""Vanderburgh, (IN)""",348.3 - 368.2 (19),35.9,9.7,33.9,27.7,22.4,360.9
18173,"""Warrick, (IN)""",348.3 - 368.2 (19),36.3,12,35.3,27.5,19.5,361.6
18007,"""Benton, (IN)""",368.3 - 387.8 (18),38.8,13.6,36.3,27.9,24.3,384.9
18045,"""Fountain, (IN)""",368.3 - 387.8 (18),39,17.1,34.3,30,23.6,387.5
18083,"""Knox, (IN)""",368.3 - 387.8 (18),37.2,15.7,35.3,31.5,23.8,384.9
18089,"""Lake, (IN)""",387.9 - 462.1 (18),35.9,11.9,38.1,25.6,20.7,394.3
18111,"""Newton, (IN)""",387.9 - 462.1 (18),39.3,15.2,32.2,31.2,25.3,405.6
18121,"""Parke, (IN)""",348.3 - 368.2 (19),38.9,7.9,34.8,33,24.7,361.2
18125,"""Pike, (IN)""",348.3 - 368.2 (19),39.8,11.8,41.9,28.4,23.3,358.4
18153,"""Sullivan, (IN)""",387.9 - 462.1 (18),37.5,13.4,36.7,27.8,25.2,432.9
18165,"""Vermillion, (IN)""",387.9 - 462.1 (18),38.9,13.1,37,27.8,23.4,435.5
18167,"""Vigo, (IN)""",387.9 - 462.1 (18),36.3,10.2,34.3,29.4,23.4,462.1
18171,"""Warren, (IN)""",348.3 - 368.2 (19),38.7,14.1,37.2,28.4,21.2,351.5
18025,"""Crawford, (IN)""",368.3 - 387.8 (18),40.1,10.6,32.4,34.3,27.1,374.9
18037,"""Dubois, (IN)""",348.3 - 368.2 (19),35.3,9.1,31.7,21.8,20.5,362.5
18043,"""Floyd, (IN)""",326.7 - 348.2 (18),37.4,12.2,31.8,25.6,21,346.8
18061,"""Harrison, (IN)""",244.7 - 326.6 (19),37.8,11.3,38.4,27.6,23.1,322.6
18123,"""Perry, (IN)""",348.3 - 368.2 (19),38.4,8.6,38.2,26.9,23.7,368.2
18147,"""Spencer, (IN)""",368.3 - 387.8 (18),38,8.4,35.8,25.9,22.3,370.5
18001,"""Adams, (IN)""",244.7 - 326.6 (19),36.9,7.2,36.1,29.7,24.8,296.7
18003,"""Allen, (IN)""",244.7 - 326.6 (19),33.9,10.4,34,22.7,22,323.1
18005,"""Bartholomew, (IN)""",244.7 - 326.6 (19),35.1,10.5,31.6,24.7,20.2,316.2
18009,"""Blackford, (IN)""",348.3 - 368.2 (19),39.9,11.9,29.6,25.5,24.1,367.6
18011,"""Boone, (IN)""",326.7 - 348.2 (18),33.1,8.5,26.2,20.5,16.5,347.7
