cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
19001,"""Adair, (IA)""",299.6 - 322.1 (20),39.3,12.4,29.7,22.3,18.6,322.1
19003,"""Adams, (IA)""",390.1 - 540.8 (19),38.9,7.5,36.9,22.8,18.2,393.9
19009,"""Audubon, (IA)""",214.1 - 299.5 (20),40.1,6.7,32.6,17.6,17.9,298.5
19015,"""Boone, (IA)""",351.9 - 390.0 (20),36.5,6.6,39.1,21.4,17.5,357
19021,"""Buena Vista, (IA)""",322.2 - 351.8 (20),36.4,8.3,35.7,26.1,18.7,327.7
19025,"""Calhoun, (IA)""",322.2 - 351.8 (20),38.5,6.7,35.5,30.9,18.1,339.7
19027,"""Carroll, (IA)""",299.6 - 322.1 (20),37.2,7.9,37.3,21.7,17.2,311.6
19029,"""Cass, (IA)""",390.1 - 540.8 (19),39.7,10.5,32.4,22.6,18.7,391.3
19035,"""Cherokee, (IA)""",322.2 - 351.8 (20),39.5,8.2,35,21.9,17.4,332.8
19039,"""Clarke, (IA)""",351.9 - 390.0 (20),37.5,7.3,40.2,25.5,19.2,385.2
19041,"""Clay, (IA)""",322.2 - 351.8 (20),38.1,7.8,29.4,23.5,18,324.4
19047,"""Crawford, (IA)""",214.1 - 299.5 (20),38,6.6,37.1,28.7,19.4,267.3
19049,"""Dallas, (IA)""",214.1 - 299.5 (20),31.4,6.6,29.5,17.6,13.6,274.8
19053,"""Decatur, (IA)""",390.1 - 540.8 (19),37.4,12.7,34.8,27.5,19,400.4
19059,"""Dickinson, (IA)""",299.6 - 322.1 (20),39.3,9.1,27.3,20.3,15.3,319.9
19063,"""Emmet, (IA)""",322.2 - 351.8 (20),38.1,7.2,36.2,27.6,17.8,334.6
19071,"""Fremont, (IA)""",299.6 - 322.1 (20),38.5,7,35.6,21.7,18.9,320.6
19073,"""Greene, (IA)""",299.6 - 322.1 (20),38.2,13.4,40.5,27.6,17.7,306.9
19077,"""Guthrie, (IA)""",214.1 - 299.5 (20),38.7,6.5,37.3,28,18.2,274.5
19079,"""Hamilton, (IA)""",214.1 - 299.5 (20),37.3,6.7,35.8,24.1,16.1,295.9
19081,"""Hancock, (IA)""",351.9 - 390.0 (20),38.7,4.1,34.1,18.2,16.6,357.6
19085,"""Harrison, (IA)""",214.1 - 299.5 (20),38,12.6,36.7,24.2,18.5,299.5
19091,"""Humboldt, (IA)""",322.2 - 351.8 (20),38.9,6.5,32.3,22.1,17.9,338.5
19093,"""Ida, (IA)""",322.2 - 351.8 (20),38.6,6.4,32.4,27.9,17.8,333.4
19109,"""Kossuth, (IA)""",322.2 - 351.8 (20),38.6,10.6,40.1,27.4,16.7,340.5
19119,"""Lyon, (IA)""",214.1 - 299.5 (20),36,11.9,35.1,21.8,17.4,249.1
19121,"""Madison, (IA)""",214.1 - 299.5 (20),36.4,7.8,37.8,24.6,17.2,291.3
19129,"""Mills, (IA)""",214.1 - 299.5 (20),37,5,30.8,20.6,17.4,286.4
19133,"""Monona, (IA)""",390.1 - 540.8 (19),39.8,6.9,34.2,25.1,18.8,540.8
19137,"""Montgomery, (IA)""",390.1 - 540.8 (19),39.1,9,31.7,20,20.1,465.6
19141,"""O'Brien, (IA)""",299.6 - 322.1 (20),37.4,6.1,27.1,23.3,18.2,317.7
19143,"""Osceola, (IA)""",214.1 - 299.5 (20),38.6,8,37.3,21.5,17.8,279.6
19145,"""Page, (IA)""",351.9 - 390.0 (20),37.8,11.6,42.8,22.1,18.3,371.4
19147,"""Palo Alto, (IA)""",299.6 - 322.1 (20),37.1,8.4,33.5,27.3,16.1,317.4
19149,"""Plymouth, (IA)""",214.1 - 299.5 (20),35.8,8.6,32.8,29.2,16.9,214.1
19151,"""Pocahontas, (IA)""",351.9 - 390.0 (20),39.9,5.8,37.3,25.7,18.9,368.1
19155,"""Pottawattamie, (IA)""",322.2 - 351.8 (20),36.4,9.6,42,25.7,19.8,341.6
19159,"""Ringgold, (IA)""",390.1 - 540.8 (19),39.3,7,32.8,21.2,17.6,394.3
19161,"""Sac, (IA)""",322.2 - 351.8 (20),39.1,7.3,37.2,27.4,17.2,336.1
19165,"""Shelby, (IA)""",322.2 - 351.8 (20),38.4,7.3,33.6,22.7,16.6,332.8
19167,"""Sioux, (IA)""",214.1 - 299.5 (20),33.1,7.9,28.4,19.7,15.8,226.4
19173,"""Taylor, (IA)""",351.9 - 390.0 (20),39,9.1,34.5,19.3,19.6,382.4
19175,"""Union, (IA)""",351.9 - 390.0 (20),37.1,17.7,37.3,27.3,20,361.9
19187,"""Webster, (IA)""",390.1 - 540.8 (19),36.1,9,37.8,24.6,19.6,411
19189,"""Winnebago, (IA)""",322.2 - 351.8 (20),37.9,8.6,40.6,21.4,16.7,346
19193,"""Woodbury, (IA)""",299.6 - 322.1 (20),34.5,9,34.7,26.2,19.9,308.7
19197,"""Wright, (IA)""",351.9 - 390.0 (20),39.1,7.2,39.2,27.8,18.5,367.6
19005,"""Allamakee, (IA)""",390.1 - 540.8 (19),39.2,6.4,40.2,22.7,18.1,416.2
19007,"""Appanoose, (IA)""",390.1 - 540.8 (19),39.9,12.8,44.2,31.1,19.4,397.7
19011,"""Benton, (IA)""",299.6 - 322.1 (20),37.3,9,36.3,22.2,18.9,316.5
19013,"""Black Hawk, (IA)""",299.6 - 322.1 (20),35.8,8.8,31,21.5,17.5,320.2
19017,"""Bremer, (IA)""",299.6 - 322.1 (20),35.6,7.3,35.1,19.6,14.8,317.5
19019,"""Buchanan, (IA)""",299.6 - 322.1 (20),35.9,8.1,38.4,26.8,17.8,317
19023,"""Butler, (IA)""",322.2 - 351.8 (20),37.9,9,33.4,24.1,17.4,351.8
19031,"""Cedar, (IA)""",214.1 - 299.5 (20),36.5,6.4,40.9,23.5,16.7,293.5
19033,"""Cerro Gordo, (IA)""",351.9 - 390.0 (20),37.1,7.7,34.5,18.2,16.5,361.3
19037,"""Chickasaw, (IA)""",390.1 - 540.8 (19),39,8.4,30.9,20.9,17.8,442.4
19043,"""Clayton, (IA)""",214.1 - 299.5 (20),39.1,5.9,41.1,26.9,18.2,298.4
19045,"""Clinton, (IA)""",351.9 - 390.0 (20),37.4,10.3,34.7,26.7,18.8,352.7
19051,"""Davis, (IA)""",351.9 - 390.0 (20),37.7,9.6,31,25.7,19.8,372.9
19055,"""Delaware, (IA)""",299.6 - 322.1 (20),37.7,7.6,34.5,22.3,18.4,317.4
19057,"""Des Moines, (IA)""",351.9 - 390.0 (20),37,11.9,36,25.3,20.4,354
19061,"""Dubuque, (IA)""",299.6 - 322.1 (20),36.1,6.7,37.2,22.6,16,304.2
19065,"""Fayette, (IA)""",351.9 - 390.0 (20),37.8,10.6,38.4,25.9,18.2,384.7
19067,"""Floyd, (IA)""",322.2 - 351.8 (20),39.1,7,43.3,26.5,18.7,348.7
19069,"""Franklin, (IA)""",351.9 - 390.0 (20),38.6,13.8,48,27.1,18.3,354.1
19075,"""Grundy, (IA)""",351.9 - 390.0 (20),36.8,7.2,33.7,21.9,15.2,364.9
19083,"""Hardin, (IA)""",351.9 - 390.0 (20),37.8,7.4,41.5,21.5,16.9,369.1
19087,"""Henry, (IA)""",351.9 - 390.0 (20),35.7,7.2,35.7,25.2,17.5,377.7
19089,"""Howard, (IA)""",390.1 - 540.8 (19),38.6,8.8,33.6,19.4,18.6,538.2
19095,"""Iowa, (IA)""",322.2 - 351.8 (20),35.9,8.9,37,18.8,17.4,327.7
19097,"""Jackson, (IA)""",322.2 - 351.8 (20),39.2,8.8,34.7,26,18.7,326.5
19099,"""Jasper, (IA)""",214.1 - 299.5 (20),37.3,12.3,38.3,23.9,18.7,282.2
19101,"""Jefferson, (IA)""",351.9 - 390.0 (20),36.1,7.6,30.5,12.2,16.6,382.6
19103,"""Johnson, (IA)""",214.1 - 299.5 (20),27.9,7,27.4,16.8,13.6,277.7
19105,"""Jones, (IA)""",299.6 - 322.1 (20),38.4,6.8,35.1,24.5,18.6,305.7
19107,"""Keokuk, (IA)""",299.6 - 322.1 (20),38.7,6.5,38.6,23.2,19,313.5
19111,"""Lee, (IA)""",390.1 - 540.8 (19),38.3,11.2,38.6,23.9,20,422.7
19113,"""Linn, (IA)""",214.1 - 299.5 (20),34.6,8.6,33.3,20.8,17.8,294.9
19115,"""Louisa, (IA)""",299.6 - 322.1 (20),36.8,11.4,37.4,31.3,19.7,301.3
19117,"""Lucas, (IA)""",351.9 - 390.0 (20),38.8,11.8,36.7,23.9,19.4,362.1
19123,"""Mahaska, (IA)""",390.1 - 540.8 (19),35.8,6.9,29.6,24.1,19.3,409
19125,"""Marion, (IA)""",322.2 - 351.8 (20),34.7,8.3,35.4,22.5,16.1,330
19127,"""Marshall, (IA)""",390.1 - 540.8 (19),36.5,10,36.2,26.9,17.8,469.1
19131,"""Mitchell, (IA)""",390.1 - 540.8 (19),38,6.3,38.3,18,18.2,390.4
19135,"""Monroe, (IA)""",390.1 - 540.8 (19),37.9,10.7,32.2,18.4,20.6,423.3
19139,"""Muscatine, (IA)""",299.6 - 322.1 (20),35.6,7.4,40.2,26.5,18.4,302.8
