cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
20001,"""Allen, (KS)""",342.6 - 368.5 (21),38.2,14.9,39.2,31.7,19.8,367.2
20003,"""Anderson, (KS)""",342.6 - 368.5 (21),38.7,8.8,34.5,21.6,20.1,342.7
20005,"""Atchison, (KS)""",342.6 - 368.5 (21),34.4,10.4,37.6,28.6,20.8,345
20007,"""Barber, (KS)""",368.6 - 508.2 (21),38.3,7.6,30.5,26.3,20.5,456.2
20009,"""Barton, (KS)""",309.0 - 342.5 (21),38.3,11.5,37.5,26.9,19.9,341.8
20011,"""Bourbon, (KS)""",368.6 - 508.2 (21),38.3,11.8,37.2,25.8,21.2,383.5
20013,"""Brown, (KS)""",368.6 - 508.2 (21),38.1,10.9,40,32,19.7,385
20015,"""Butler, (KS)""",309.0 - 342.5 (21),34.7,9,36.6,25.6,18.1,338.2
20017,"""Chase, (KS)""",342.6 - 368.5 (21),38.2,8.7,42.4,19.4,18,346.7
20019,"""Chautauqua, (KS)""",368.6 - 508.2 (21),40.1,6.7,35.3,27.9,20.9,402.1
20021,"""Cherokee, (KS)""",368.6 - 508.2 (21),38.6,12.3,40.3,30.5,21.5,508.2
20023,"""Cheyenne, (KS)""",240.9 - 284.7 (21),39.8,9.5,34.9,22.1,16.9,266
20025,"""Clark, (KS)""",368.6 - 508.2 (21),37.2,8.9,36.3,23.8,16.7,374.2
20027,"""Clay, (KS)""",284.8 - 308.9 (21),37.4,10.1,31.6,26.2,17.2,305.4
20029,"""Cloud, (KS)""",342.6 - 368.5 (21),37.4,7.9,38.5,24.7,19,349.9
20031,"""Coffey, (KS)""",342.6 - 368.5 (21),37.6,10.7,41.5,25.1,17.9,358.8
20033,"""Comanche, (KS)""",368.6 - 508.2 (21),38.9,7.1,28.3,21.1,16.2,426.4
20035,"""Cowley, (KS)""",368.6 - 508.2 (21),37.6,11.2,39.5,28.7,20.4,373.2
20037,"""Crawford, (KS)""",368.6 - 508.2 (21),34.5,10.3,31.4,25.9,19.7,418.8
20039,"""Decatur, (KS)""",309.0 - 342.5 (21),40.9,7.9,35.8,32.1,18,309.5
20041,"""Dickinson, (KS)""",284.8 - 308.9 (21),36.1,8.8,40,28.2,20.2,308.9
20043,"""Doniphan, (KS)""",342.6 - 368.5 (21),36.6,8.6,35.7,26.2,20.1,349.1
20045,"""Douglas, (KS)""",240.9 - 284.7 (21),28.7,7.6,28.3,16.7,14.8,269.1
20047,"""Edwards, (KS)""",342.6 - 368.5 (21),39.1,9.3,35.3,21.4,19.2,368.5
20049,"""Elk, (KS)""",368.6 - 508.2 (21),42.2,18.2,32.6,26.4,19.6,384
20051,"""Ellis, (KS)""",240.9 - 284.7 (21),31.4,6.8,30.7,25.4,17.4,273.2
20053,"""Ellsworth, (KS)""",309.0 - 342.5 (21),36.3,10.5,40.3,29.9,19,311
20055,"""Finney, (KS)""",240.9 - 284.7 (21),32.7,8.4,38,27.8,19.4,240.9
20057,"""Ford, (KS)""",342.6 - 368.5 (21),32.6,10.8,31.6,27.8,19.6,352.1
20059,"""Franklin, (KS)""",342.6 - 368.5 (21),36.6,7.3,33.3,23.3,19.6,347
20061,"""Geary, (KS)""",368.6 - 508.2 (21),25.9,13.5,39,23.7,19.9,482.8
20063,"""Gove, (KS)""",284.8 - 308.9 (21),38.4,10.3,32.4,24.3,17.6,296.8
20065,"""Graham, (KS)""",309.0 - 342.5 (21),39.7,11.9,32.2,28,17.4,319.5
20067,"""Grant, (KS)""",342.6 - 368.5 (21),34.2,8.8,35.9,25.1,18.1,355.6
20069,"""Gray, (KS)""",240.9 - 284.7 (21),35.5,9.3,31.8,29,18.8,250.3
20071,"""Greeley, (KS)""",284.8 - 308.9 (21),37.3,12.3,34.1,25.9,16.9,295.2
20073,"""Greenwood, (KS)""",342.6 - 368.5 (21),39.3,8,34.7,28.2,19.2,356.9
20075,"""Hamilton, (KS)""",309.0 - 342.5 (21),35.3,20.1,39.2,24.4,20.9,341.2
20077,"""Harper, (KS)""",368.6 - 508.2 (21),39.4,12.4,33.5,26.7,19.6,369
20079,"""Harvey, (KS)""",309.0 - 342.5 (21),35,8.3,30.2,22.6,16.7,327.2
20081,"""Haskell, (KS)""",240.9 - 284.7 (21),36.7,7.9,33.1,26.4,21.2,280.3
20083,"""Hodgeman, (KS)""",309.0 - 342.5 (21),38.1,13.2,38.5,24.3,16.3,342.5
20085,"""Jackson, (KS)""",342.6 - 368.5 (21),37.5,12.1,37.8,23.7,19.6,346.8
20087,"""Jefferson, (KS)""",309.0 - 342.5 (21),37.2,8.5,34.7,18.2,18.4,312.9
20089,"""Jewell, (KS)""",342.6 - 368.5 (21),42.6,7.8,31.6,21.8,19.9,350.1
20091,"""Johnson, (KS)""",240.9 - 284.7 (21),33.7,7.2,26,16.4,12.5,244.5
20093,"""Kearny, (KS)""",240.9 - 284.7 (21),35.5,9.9,38.1,21.6,21.4,270.3
20095,"""Kingman, (KS)""",368.6 - 508.2 (21),37.5,11.7,30.8,30.4,16.9,441.2
20097,"""Kiowa, (KS)""",368.6 - 508.2 (21),37.5,9.1,35.2,24,17.1,378.6
20099,"""Labette, (KS)""",368.6 - 508.2 (21),39.1,11,37.8,30.4,21.4,440
20101,"""Lane, (KS)""",240.9 - 284.7 (21),39.2,10.2,34.5,25.7,17.8,249.9
20103,"""Leavenworth, (KS)""",309.0 - 342.5 (21),34.8,10.6,35.2,24.1,18.4,338.5
20105,"""Lincoln, (KS)""",284.8 - 308.9 (21),38.9,4.7,31.4,19.2,17.7,298.5
20107,"""Linn, (KS)""",342.6 - 368.5 (21),40.2,11.8,39.9,28.6,21.8,356.6
20109,"""Logan, (KS)""",240.9 - 284.7 (21),36.9,13,32.6,27.9,17.8,263
20111,"""Lyon, (KS)""",309.0 - 342.5 (21),32.4,7.5,38.6,22.1,17.7,335.6
20113,"""McPherson, (KS)""",284.8 - 308.9 (21),34.5,9.1,30.3,21.8,17.2,294.5
20115,"""Marion, (KS)""",284.8 - 308.9 (21),38.1,7.5,40.9,24.5,17.7,305.5
20117,"""Marshall, (KS)""",240.9 - 284.7 (21),36.9,8.9,37.7,23.9,18.6,281.4
20119,"""Meade, (KS)""",342.6 - 368.5 (21),37.6,13.4,36.9,30.9,18.6,344.7
20121,"""Miami, (KS)""",284.8 - 308.9 (21),35.5,8.7,31.8,26.7,16.9,294.2
20123,"""Mitchell, (KS)""",309.0 - 342.5 (21),38.3,8.7,30,22.6,17.4,339.4
20125,"""Montgomery, (KS)""",368.6 - 508.2 (21),38.4,10.6,39.2,29.8,22.1,475.5
20127,"""Morris, (KS)""",342.6 - 368.5 (21),39.6,10.1,33.8,22.7,18.6,347.1
20129,"""Morton, (KS)""",368.6 - 508.2 (21),37.6,11,34.1,29.5,18.2,438.1
20131,"""Nemaha, (KS)""",240.9 - 284.7 (21),37.2,6.4,33.8,27.4,17.6,270.4
