cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
21007,"""Ballard, (KY)""",429.3 - 485.0 (24),41.6,14.4,38.2,34.1,23.1,456.4
21033,"""Caldwell, (KY)""",485.1 - 780.2 (24),41.6,12.7,35.4,27.4,23.5,504.9
21035,"""Calloway, (KY)""",392.1 - 429.2 (24),36.5,8.4,34.1,28.6,19.8,415.4
21039,"""Carlisle, (KY)""",355.2 - 392.0 (24),41.5,7.3,28.7,28.2,25.6,361.7
21047,"""Christian, (KY)""",485.1 - 780.2 (24),32.5,13.2,36.8,31.2,24.8,487.6
21055,"""Crittenden, (KY)""",485.1 - 780.2 (24),42.1,9.3,38,26.3,24.7,532.8
21075,"""Fulton, (KY)""",485.1 - 780.2 (24),41.3,8.8,35.5,28.7,27.3,578.4
21083,"""Graves, (KY)""",355.2 - 392.0 (24),40,9.6,33.9,33.8,24,370.2
21101,"""Henderson, (KY)""",355.2 - 392.0 (24),39.6,17.8,37.2,29.7,24.2,384.2
21105,"""Hickman, (KY)""",429.3 - 485.0 (24),43.8,12.9,28.2,37,24.5,448.8
21107,"""Hopkins, (KY)""",485.1 - 780.2 (24),39.4,16.4,39.2,35.2,24,495.6
21139,"""Livingston, (KY)""",355.2 - 392.0 (24),42.6,15,39.7,31.4,23.6,392
21143,"""Lyon, (KY)""",355.2 - 392.0 (24),41.5,6.7,32.3,37.4,21.7,384.7
21145,"""McCracken, (KY)""",274.4 - 355.1 (24),39.3,12.6,31,29.4,20.2,354.3
21149,"""McLean, (KY)""",429.3 - 485.0 (24),41.8,13.7,34.2,29.1,23.6,458.7
21157,"""Marshall, (KY)""",355.2 - 392.0 (24),40.3,8.1,35.6,26.2,21.5,371.1
21219,"""Todd, (KY)""",429.3 - 485.0 (24),40.4,9.2,39.2,33,25.4,433.3
21221,"""Trigg, (KY)""",485.1 - 780.2 (24),41.7,9.2,36.6,32.3,21.3,523.2
21225,"""Union, (KY)""",355.2 - 392.0 (24),37.8,12.4,39.9,31.1,24.5,370.1
21233,"""Webster, (KY)""",429.3 - 485.0 (24),41,7.2,38.3,27.9,26.6,449
21001,"""Adair, (KY)""",392.1 - 429.2 (24),40.7,12,39.8,32.7,25.3,421.4
21003,"""Allen, (KY)""",355.2 - 392.0 (24),40.6,11.3,36.5,38.3,26.8,365.1
21005,"""Anderson, (KY)""",355.2 - 392.0 (24),37.9,13.9,41.1,29.5,21.8,360.7
21009,"""Barren, (KY)""",355.2 - 392.0 (24),40.5,13,36.7,36.9,26.7,384.1
21017,"""Bourbon, (KY)""",355.2 - 392.0 (24),39.9,9.2,33.5,26.8,23.4,373.6
21021,"""Boyle, (KY)""",274.4 - 355.1 (24),38.2,14.9,24.5,23.5,22.2,349
21027,"""Breckinridge, (KY)""",274.4 - 355.1 (24),41.7,10.3,29.6,23.1,25.4,355.1
21029,"""Bullitt, (KY)""",274.4 - 355.1 (24),38.1,14.2,36.1,26.2,22.7,302.2
21031,"""Butler, (KY)""",355.2 - 392.0 (24),41.4,10.1,35.1,29.1,26.8,374.9
21045,"""Casey, (KY)""",274.4 - 355.1 (24),43.4,12,29.5,30.7,27.2,296.2
21049,"""Clark, (KY)""",392.1 - 429.2 (24),39.1,9.5,39,23.6,22.8,423.4
21053,"""Clinton, (KY)""",392.1 - 429.2 (24),42.6,9.4,37.7,33.9,28.5,401.4
21057,"""Cumberland, (KY)""",429.3 - 485.0 (24),43.3,9.9,35.7,20.1,25.6,449.2
21059,"""Daviess, (KY)""",355.2 - 392.0 (24),39.3,11.7,29.5,26.6,21.5,388.9
21061,"""Edmonson, (KY)""",355.2 - 392.0 (24),42,12.6,39.5,23.2,25.5,367.9
21065,"""Estill, (KY)""",485.1 - 780.2 (24),43.2,13.7,35.1,32.6,29.8,490.7
21067,"""Fayette, (KY)""",274.4 - 355.1 (24),33.4,10.6,28.3,22.4,17.4,276.8
21073,"""Franklin, (KY)""",392.1 - 429.2 (24),38.2,8.9,38.5,22.4,19.1,404.1
21079,"""Garrard, (KY)""",274.4 - 355.1 (24),41.2,6.8,31.3,24.3,23.8,325
21085,"""Grayson, (KY)""",355.2 - 392.0 (24),40.7,10.3,43.4,33.5,27.4,377.2
21087,"""Green, (KY)""",392.1 - 429.2 (24),41.9,10.3,35.6,26.1,26,421.3
21091,"""Hancock, (KY)""",392.1 - 429.2 (24),40,11.4,34.2,21.9,23.7,405.9
21093,"""Hardin, (KY)""",274.4 - 355.1 (24),35.2,11.1,39.9,30.5,22,316.3
21099,"""Hart, (KY)""",392.1 - 429.2 (24),40.7,8.9,30.1,29.5,27.3,419.5
21109,"""Jackson, (KY)""",485.1 - 780.2 (24),42.8,17.9,42.5,37.9,29.3,597.3
21111,"""Jefferson, (KY)""",274.4 - 355.1 (24),36,11.1,31.6,24,22.5,347
21113,"""Jessamine, (KY)""",274.4 - 355.1 (24),36.7,7,34.3,26.4,21.3,274.4
21123,"""Larue, (KY)""",274.4 - 355.1 (24),40,8.2,38.9,29.9,25.6,342.3
21125,"""Laurel, (KY)""",429.3 - 485.0 (24),40.8,13.9,38.5,30.8,25.9,473.3
21137,"""Lincoln, (KY)""",355.2 - 392.0 (24),41.5,16.1,33.1,28,26.9,357.6
21141,"""Logan, (KY)""",392.1 - 429.2 (24),39.5,9.3,36.9,33,24.3,424.5
21147,"""McCreary, (KY)""",485.1 - 780.2 (24),42.4,16,37.7,31.7,33.2,545.6
21151,"""Madison, (KY)""",355.2 - 392.0 (24),35.1,8.1,36.3,22.9,20.3,355.3
21155,"""Marion, (KY)""",274.4 - 355.1 (24),40.5,10.1,36.7,40.7,26.3,335.8
21163,"""Meade, (KY)""",274.4 - 355.1 (24),38,12.2,33.9,24.5,22.2,344.2
21167,"""Mercer, (KY)""",355.2 - 392.0 (24),40.7,6.7,28.2,29.2,23.2,369.3
21169,"""Metcalfe, (KY)""",392.1 - 429.2 (24),42.3,9.3,34,30.3,27.5,429.2
21171,"""Monroe, (KY)""",429.3 - 485.0 (24),41.9,15.2,35.1,30.8,26.8,455.7
21173,"""Montgomery, (KY)""",485.1 - 780.2 (24),38.7,11.4,33.8,34,26.9,496.1
21177,"""Muhlenberg, (KY)""",485.1 - 780.2 (24),40.3,11.9,36.5,33.2,24.8,488.9
21179,"""Nelson, (KY)""",274.4 - 355.1 (24),38,9.3,38.4,27.4,21.5,337.8
21181,"""Nicholas, (KY)""",429.3 - 485.0 (24),41.5,13.7,35.1,27.3,28.1,442
21183,"""Ohio, (KY)""",429.3 - 485.0 (24),41,12.2,31.2,39.6,26.2,456.7
21199,"""Pulaski, (KY)""",392.1 - 429.2 (24),42.6,12.7,39,32.6,23.2,399.9
21203,"""Rockcastle, (KY)""",429.3 - 485.0 (24),42.2,9.9,35.8,30.8,26.2,447.6
21207,"""Russell, (KY)""",392.1 - 429.2 (24),42.1,12.6,34.5,37.2,25.6,423.5
21209,"""Scott, (KY)""",392.1 - 429.2 (24),35.5,7.3,35.3,25.9,20.1,415.4
21211,"""Shelby, (KY)""",274.4 - 355.1 (24),36.8,10.8,33.7,19.9,20.7,333.2
21213,"""Simpson, (KY)""",429.3 - 485.0 (24),38.8,7.8,38.9,27.8,23.3,447.8
21215,"""Spencer, (KY)""",274.4 - 355.1 (24),37.7,12.8,35.1,24.7,20.6,346.1
21217,"""Taylor, (KY)""",392.1 - 429.2 (24),39.6,7.7,39.3,35.3,23.2,418.2
21227,"""Warren, (KY)""",355.2 - 392.0 (24),34.8,7.8,27.7,24.2,21.3,369.1
21229,"""Washington, (KY)""",355.2 - 392.0 (24),40,14.4,37,25.8,22.7,355.7
21231,"""Wayne, (KY)""",355.2 - 392.0 (24),42.5,14.7,41.7,34.6,26.5,373.6
21235,"""Whitley, (KY)""",485.1 - 780.2 (24),39.1,12.5,35.6,34.1,26.2,602
21239,"""Woodford, (KY)""",274.4 - 355.1 (24),38.4,6.3,30.6,21.1,18.7,322.5
21011,"""Bath, (KY)""",429.3 - 485.0 (24),41.5,12,45.8,38,27.7,468
21013,"""Bell, (KY)""",485.1 - 780.2 (24),43.1,15,38.5,33.2,31.5,569.9
21019,"""Boyd, (KY)""",485.1 - 780.2 (24),41.1,13.4,39.8,33.4,23.8,512.5
21025,"""Breathitt, (KY)""",485.1 - 780.2 (24),43.4,15.7,39.7,35.5,30.7,780.2
21043,"""Carter, (KY)""",429.3 - 485.0 (24),41.6,14.7,42.2,36.6,26.6,439.3
21051,"""Clay, (KY)""",485.1 - 780.2 (24),42.2,11.4,37.3,33.6,33.6,556
21063,"""Elliott, (KY)""",355.2 - 392.0 (24),42.8,9.1,39.5,26.2,29.4,385.4
21069,"""Fleming, (KY)""",392.1 - 429.2 (24),40.2,9.9,39.5,26.6,26.9,425
21071,"""Floyd, (KY)""",485.1 - 780.2 (24),43.6,15.5,40.6,37.9,27.9,562.4
21095,"""Harlan, (KY)""",485.1 - 780.2 (24),43.1,17.6,39.8,33.1,31.2,632.4
21115,"""Johnson, (KY)""",392.1 - 429.2 (24),41.8,16.6,43.2,35.9,25.6,409
21119,"""Knott, (KY)""",429.3 - 485.0 (24),43.5,19,43.3,38.9,27.8,434.2
21121,"""Knox, (KY)""",429.3 - 485.0 (24),42.9,11.3,37.1,34,29.5,445.8
21127,"""Lawrence, (KY)""",392.1 - 429.2 (24),41.3,15.5,44.8,31.4,29.5,422.2
21129,"""Lee, (KY)""",429.3 - 485.0 (24),43.8,13.5,41.8,37.6,31.3,485
21131,"""Leslie, (KY)""",485.1 - 780.2 (24),42.8,13.2,40.7,29.4,29.4,544.2
21133,"""Letcher, (KY)""",429.3 - 485.0 (24),42.9,16.9,38.3,36.1,29,455.2
21153,"""Magoffin, (KY)""",485.1 - 780.2 (24),42.3,16.9,39,30.7,29.3,533.7
21159,"""Martin, (KY)""",429.3 - 485.0 (24),40.6,16.6,40.7,34.9,29.2,478.8
21165,"""Menifee, (KY)""",274.4 - 355.1 (24),42.3,17.9,41.5,30.3,26.2,332.5
21175,"""Morgan, (KY)""",274.4 - 355.1 (24),40.4,9,35.5,31.4,29.2,348.5
21189,"""Owsley, (KY)""",485.1 - 780.2 (24),44,11.8,46.5,26.2,29.9,606.9
