cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
22031,"""De Soto, (LA)""",362.0 - 414.4 (13),40.5,14.2,43,28.4,25.2,380.6
22017,"""Caddo, (LA)""",289.9 - 361.9 (13),37.4,11.9,42.4,28.1,21.9,329
22001,"""Acadia, (LA)""",472.4 - 553.2 (13),39.1,12,40.3,30.7,26.8,487.3
22003,"""Allen, (LA)""",414.5 - 472.3 (13),37.7,12.7,28,32,26.4,465.9
22005,"""Ascension, (LA)""",289.9 - 361.9 (13),35.4,12.6,35,24.6,20.2,357.4
22007,"""Assumption, (LA)""",362.0 - 414.4 (13),40.1,18.1,36,26.5,26.5,402.9
22009,"""Avoyelles, (LA)""",472.4 - 553.2 (13),40.5,10.2,45.4,35,27.4,553.2
22011,"""Beauregard, (LA)""",472.4 - 553.2 (13),39.3,13,37.6,32.5,24,502.2
22019,"""Calcasieu, (LA)""",553.3 - 820.8 (12),36.9,10.9,35.5,28.2,22.2,587.9
22021,"""Caldwell, (LA)""",553.3 - 820.8 (12),41.1,10.7,42.3,27.7,27.5,658.2
22023,"""Cameron, (LA)""",472.4 - 553.2 (13),39.3,7.2,38.7,22.9,23.6,512.2
22025,"""Catahoula, (LA)""",553.3 - 820.8 (12),40.2,8.8,37.7,36.4,26.2,667.2
22029,"""Concordia, (LA)""",553.3 - 820.8 (12),40.1,16.9,42.9,35.3,27.4,593.7
22033,"""East Baton Rouge, (LA)""",362.0 - 414.4 (13),36.4,11.9,34.1,26.7,18.7,413
22037,"""East Feliciana, (LA)""",553.3 - 820.8 (12),39.1,16.4,38.2,25.2,25.3,569.7
22039,"""Evangeline, (LA)""",472.4 - 553.2 (13),39.2,16.5,36.5,33.9,28.9,507.9
22043,"""Grant, (LA)""",414.5 - 472.3 (13),38.5,15.5,45,39.9,26.1,420.2
22045,"""Iberia, (LA)""",472.4 - 553.2 (13),38.9,13.2,41,27.1,24.7,517.1
22047,"""Iberville, (LA)""",289.9 - 361.9 (13),38,15.6,37.9,23.6,23.7,361.9
22051,"""Jefferson, (LA)""",289.9 - 361.9 (13),37.7,12,33,24,19.5,351.9
22053,"""Jefferson Davis, (LA)""",414.5 - 472.3 (13),39.7,10.9,38.7,30.5,24.5,472.3
22055,"""Lafayette, (LA)""",362.0 - 414.4 (13),34.2,10.6,29,24.2,21.2,384.2
22057,"""Lafourche, (LA)""",362.0 - 414.4 (13),38.5,12.6,37,29.1,24.8,388.3
22059,"""La Salle, (LA)""",414.5 - 472.3 (13),39.5,13,39.9,30.1,26.3,456.5
22063,"""Livingston, (LA)""",362.0 - 414.4 (13),36.7,8.5,37.9,31.7,24.8,409.6
22069,"""Natchitoches, (LA)""",414.5 - 472.3 (13),37.9,11.2,36.4,27.7,24.8,426.5
22071,"""Orleans, (LA)""",289.9 - 361.9 (13),34.5,10.7,30.5,21.8,19.9,338.9
22075,"""Plaquemines, (LA)""",289.9 - 361.9 (13),37.5,15.3,37.3,27.7,22.3,340.6
22077,"""Pointe Coupee, (LA)""",414.5 - 472.3 (13),40,14,34.9,29,22.6,457.6
