cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
23001,"""Androscoggin, (ME)""",296.2 - 321.3 (3),38.1,10.4,33.5,21.6,20.9,321.3
23005,"""Cumberland, (ME)""",249.5 - 270.5 (4),33.7,7.1,23,14.3,13.8,249.5
23011,"""Kennebec, (ME)""",283.6 - 296.1 (3),37.3,8.1,31.6,21.1,20.8,296.1
23013,"""Knox, (ME)""",283.6 - 296.1 (3),39.4,6,28.5,15.7,16.6,294.6
23015,"""Lincoln, (ME)""",249.5 - 270.5 (4),38.6,6.9,25.1,17.6,16.5,270.5
23017,"""Oxford, (ME)""",270.6 - 283.5 (3),38.6,8.5,32.5,21.8,20.4,276.6
23023,"""Sagadahoc, (ME)""",249.5 - 270.5 (4),36.8,7.1,23.4,17.3,16.8,267
23027,"""Waldo, (ME)""",296.2 - 321.3 (3),38.3,8.9,30.6,17.8,18.2,305.1
23031,"""York, (ME)""",249.5 - 270.5 (4),37.1,7.8,29.5,19.3,16,254.1
23003,"""Aroostook, (ME)""",270.6 - 283.5 (3),42.9,11.7,37.4,28.1,20.9,283.5
23007,"""Franklin, (ME)""",283.6 - 296.1 (3),38.3,7.1,32.6,19.8,18,287
23009,"""Hancock, (ME)""",270.6 - 283.5 (3),37.7,7.6,26.7,17.3,16.8,272.3
23019,"""Penobscot, (ME)""",296.2 - 321.3 (3),37.8,10.4,34.1,22,20.7,319.2
23021,"""Piscataquis, (ME)""",321.4 - 335.4 (3),41.2,9.6,36.9,23.9,22.1,326.3
23025,"""Somerset, (ME)""",321.4 - 335.4 (3),40.5,9.7,33.3,25,24.4,335.4
23029,"""Washington, (ME)""",321.4 - 335.4 (3),40.7,8.7,34.4,25.2,22.4,332
