cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
24037,"""St. Mary's, (MD)""",299.5 - 321.8 (5),35.2,11.1,36.5,22.9,16.6,321.8
24039,"""Somerset, (MD)""",411.4 - 539.7 (4),35.3,14.9,42,31.9,20.2,539.7
24047,"""Worcester, (MD)""",321.9 - 349.4 (5),41.1,9.3,36.3,24.8,14.6,337.3
24001,"""Allegany, (MD)""",349.5 - 411.3 (5),36,11.8,34.7,27.3,18.7,411.3
24003,"""Anne Arundel, (MD)""",299.5 - 321.8 (5),32.5,9.2,30.6,19.9,13.8,304.6
24005,"""Baltimore County, (MD)""",321.9 - 349.4 (5),32.6,10,31.3,22.5,14.6,349.4
24009,"""Calvert, (MD)""",299.5 - 321.8 (5),35,10,30.8,20.3,14.5,319
24011,"""Caroline, (MD)""",349.5 - 411.3 (5),38.3,12.4,40.7,29.3,20.6,384.4
24013,"""Carroll, (MD)""",299.5 - 321.8 (5),36.8,7.7,30.3,22.3,14.4,311.5
24015,"""Cecil, (MD)""",349.5 - 411.3 (5),36.6,9.7,35.5,26.1,18.2,400.8
24017,"""Charles, (MD)""",299.5 - 321.8 (5),34,10.8,39.5,24.3,15.1,321.1
24019,"""Dorchester, (MD)""",349.5 - 411.3 (5),39,16.1,40.6,31.1,19.3,381.5
24021,"""Frederick, (MD)""",190.9 - 299.4 (5),34.7,8.5,30.1,19.8,14.2,282.3
24023,"""Garrett, (MD)""",411.4 - 539.7 (4),38.5,10.4,35.3,24.5,17,453.1
24025,"""Harford, (MD)""",321.9 - 349.4 (5),35,9.5,31.3,23.1,16,326.7
24027,"""Howard, (MD)""",190.9 - 299.4 (5),32.8,6.9,25.7,15.2,9.1,227.3
24029,"""Kent, (MD)""",321.9 - 349.4 (5),38.7,9.8,30.2,25.3,15.1,340.8
24031,"""Montgomery, (MD)""",190.9 - 299.4 (5),35.2,7.3,21.6,15.7,9.1,190.9
24033,"""Prince George's, (MD)""",321.9 - 349.4 (5),32,12.3,37.4,22.7,13.1,327
24035,"""Queen Anne's, (MD)""",190.9 - 299.4 (5),37.7,7.7,27.6,20.3,15.6,299.4
24041,"""Talbot, (MD)""",190.9 - 299.4 (5),40.5,8.1,29.8,18.7,13.7,298.4
24043,"""Washington, (MD)""",349.5 - 411.3 (5),37.3,12.7,36.8,26.5,18.8,373.3
24045,"""Wicomico, (MD)""",411.4 - 539.7 (4),35.7,11.8,35.5,24.9,17.4,465.3
24510,"""Baltimore City, (MD)""",411.4 - 539.7 (4),31.6,12.8,35.3,25.3,21.4,436.5
