cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
25001,"""Barnstable, (MA)""",225.9 - 256.0 (3),39,7.3,22.4,15.3,13.9,256
25003,"""Berkshire, (MA)""",276.4 - 290.9 (2),35.6,8.3,26.7,18,17,281.5
25005,"""Bristol, (MA)""",270.9 - 276.3 (3),35.4,8.3,28.2,23.4,18.8,272.2
25007,"""Dukes, (MA)""",225.9 - 256.0 (3),36.7,5.5,28.1,17.5,14.2,230.2
25009,"""Essex, (MA)""",256.1 - 270.8 (3),35.4,8.1,25.9,18.4,14.4,260.7
25011,"""Franklin, (MA)""",270.9 - 276.3 (3),36.3,8.4,28,19.2,17.2,276.3
25013,"""Hampden, (MA)""",276.4 - 290.9 (2),35.4,8.8,30.4,25.1,17.8,290.9
25015,"""Hampshire, (MA)""",270.9 - 276.3 (3),30.8,6.1,21.4,16.2,14.2,270.9
25017,"""Middlesex, (MA)""",216.3 - 225.8 (3),30.5,6.4,21.1,16.9,12.1,225.8
25019,"""Nantucket, (MA)""",225.9 - 256.0 (3),32.9,5.6,25,19.3,13.3,236.2
25021,"""Norfolk, (MA)""",216.3 - 225.8 (3),34.4,7,24.2,17.1,12.8,225
25023,"""Plymouth, (MA)""",256.1 - 270.8 (3),35.8,9.5,26.8,21.7,15.8,261.2
25025,"""Suffolk, (MA)""",216.3 - 225.8 (3),30.1,8.8,21.9,19.4,15.9,216.3
25027,"""Worcester, (MA)""",256.1 - 270.8 (3),33.6,8,27.8,21.4,17.2,270.8
