cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
26005,"""Allegan, (MI)""",280.2 - 317.8 (18),36.1,7.5,31.8,19.8,20.4,317.8
26011,"""Arenac, (MI)""",423.0 - 489.3 (16),41.7,14.3,38,24.6,23.3,451.9
26015,"""Barry, (MI)""",317.9 - 342.9 (16),38.6,13.4,33.8,27.8,20.9,340
26017,"""Bay, (MI)""",423.0 - 489.3 (16),37.9,7.7,35.2,24.3,20.2,447.6
26019,"""Benzie, (MI)""",280.2 - 317.8 (18),39.6,13.2,32.7,26.3,18.7,301.8
26021,"""Berrien, (MI)""",373.2 - 422.9 (17),37.3,9.4,34.2,20.9,20.7,421.4
26023,"""Branch, (MI)""",343.0 - 373.1 (16),37.9,8.1,38.7,23.6,23.8,369.1
26025,"""Calhoun, (MI)""",373.2 - 422.9 (17),36.2,12.8,36.9,26.3,21,385.6
26027,"""Cass, (MI)""",343.0 - 373.1 (16),39.3,12.8,35.9,24.7,20.4,369.2
26035,"""Clare, (MI)""",423.0 - 489.3 (16),42,14.9,36.4,27.1,24.7,448
26037,"""Clinton, (MI)""",280.2 - 317.8 (18),34.4,11.2,34.2,20.3,17.4,299.2
26045,"""Eaton, (MI)""",317.9 - 342.9 (16),35.3,8.4,33.8,20,17.8,342.9
26049,"""Genesee, (MI)""",423.0 - 489.3 (16),37.4,11.3,35.3,25.6,22.6,428.8
26051,"""Gladwin, (MI)""",423.0 - 489.3 (16),42.6,9.5,44.5,24.5,23,454.9
26057,"""Gratiot, (MI)""",373.2 - 422.9 (17),35.9,8.9,45.7,22.2,22.9,422.9
26059,"""Hillsdale, (MI)""",373.2 - 422.9 (17),37.4,8.2,34.8,21.7,23.1,421.6
26063,"""Huron, (MI)""",423.0 - 489.3 (16),41.4,9.9,38.4,23.3,20.7,429.4
26065,"""Ingham, (MI)""",280.2 - 317.8 (18),31.2,9.4,31.4,20,17.5,308.7
26067,"""Ionia, (MI)""",317.9 - 342.9 (16),35.6,11.9,36.3,26.4,23,338
26069,"""Iosco, (MI)""",423.0 - 489.3 (16),42,10.9,33.6,24.9,22.2,441.4
26073,"""Isabella, (MI)""",373.2 - 422.9 (17),30,9.1,36.6,19.5,21.2,387.2
26075,"""Jackson, (MI)""",373.2 - 422.9 (17),39,10,34.5,24,21.4,416.5
26077,"""Kalamazoo, (MI)""",317.9 - 342.9 (16),33.1,9.8,30.6,19,18.2,320.9
26081,"""Kent, (MI)""",317.9 - 342.9 (16),31.7,8.3,29.9,18.7,17.8,337.2
26085,"""Lake, (MI)""",317.9 - 342.9 (16),43.7,6.5,27.2,31.1,26.2,342.1
26087,"""Lapeer, (MI)""",373.2 - 422.9 (17),38.1,6.9,32.9,20.3,21,398.7
26091,"""Lenawee, (MI)""",423.0 - 489.3 (16),37.2,10.8,38.6,25.2,20.3,451.3
26093,"""Livingston, (MI)""",343.0 - 373.1 (16),35.7,6.9,28.8,19.3,16.7,364.3
26099,"""Macomb, (MI)""",343.0 - 373.1 (16),36.2,9.9,31.6,23.2,21.5,372.7
26101,"""Manistee, (MI)""",280.2 - 317.8 (18),39.6,10.5,30.4,18.1,20.1,315.3
26105,"""Mason, (MI)""",317.9 - 342.9 (16),39.1,11.2,33.5,24.5,20.3,335.7
26107,"""Mecosta, (MI)""",373.2 - 422.9 (17),35.1,6.7,37.4,24.1,21.7,388
26111,"""Midland, (MI)""",280.2 - 317.8 (18),36,8.1,36.4,20.8,18.2,299.6
26113,"""Missaukee, (MI)""",373.2 - 422.9 (17),40.1,14.4,38.3,24.4,23.6,380.9
26115,"""Monroe, (MI)""",373.2 - 422.9 (17),36.4,9.2,38.1,24.4,20.1,393.8
26117,"""Montcalm, (MI)""",343.0 - 373.1 (16),37,12.1,41.9,25.5,24.7,345.2
26121,"""Muskegon, (MI)""",317.9 - 342.9 (16),37.8,12.4,36.5,23.7,23.8,329.1
26123,"""Newaygo, (MI)""",317.9 - 342.9 (16),37.4,10.7,32.4,24.8,22.5,339.8
26125,"""Oakland, (MI)""",343.0 - 373.1 (16),35.4,7.8,24.6,18.2,15.1,357.1
26127,"""Oceana, (MI)""",317.9 - 342.9 (16),40,12,38.2,22.4,22.5,334.6
26129,"""Ogemaw, (MI)""",423.0 - 489.3 (16),41.9,9.9,42.5,31.2,23.5,431.5
26133,"""Osceola, (MI)""",343.0 - 373.1 (16),39.8,11.5,37.9,21.2,24.7,349.3
26139,"""Ottawa, (MI)""",280.2 - 317.8 (18),32.7,8.1,26.2,18.1,16.4,281.4
26143,"""Roscommon, (MI)""",423.0 - 489.3 (16),45.3,10,40.7,33.7,21.9,423.6
26145,"""Saginaw, (MI)""",343.0 - 373.1 (16),35.6,10.4,39.6,23.8,20.4,357.5
26147,"""St. Clair, (MI)""",423.0 - 489.3 (16),38.4,8.7,33.6,25.2,22.2,435.3
26149,"""St. Joseph, (MI)""",343.0 - 373.1 (16),37.4,16.8,34.5,25.7,23.2,366.2
26151,"""Sanilac, (MI)""",423.0 - 489.3 (16),39.3,10.8,33.9,26.7,22.9,431.4
26155,"""Shiawassee, (MI)""",373.2 - 422.9 (17),37.4,8.7,38.9,26.8,20.5,397.9
26157,"""Tuscola, (MI)""",373.2 - 422.9 (17),38.8,8.8,32.9,27.4,22.5,410
26159,"""Van Buren, (MI)""",373.2 - 422.9 (17),37.7,13.9,36,29.6,21.5,376.4
26161,"""Washtenaw, (MI)""",280.2 - 317.8 (18),30.9,7.4,25.5,15.1,13.9,317
26163,"""Wayne, (MI)""",423.0 - 489.3 (16),36.2,10.8,34.4,26,23.5,489.3
26165,"""Wexford, (MI)""",280.2 - 317.8 (18),38.6,10.9,32.4,27.9,23.3,315.8
26001,"""Alcona, (MI)""",423.0 - 489.3 (16),44.3,6.3,32.6,18.8,20.2,448.1
26003,"""Alger, (MI)""",317.9 - 342.9 (16),40,9.4,36.2,24.9,22,334.5
26007,"""Alpena, (MI)""",423.0 - 489.3 (16),39.9,9.8,34.6,22.4,21.7,435
26009,"""Antrim, (MI)""",280.2 - 317.8 (18),41.7,6.8,31.7,25.6,19.8,309.9
26013,"""Baraga, (MI)""",317.9 - 342.9 (16),38.5,12.7,30.2,21.2,24.3,319.5
26029,"""Charlevoix, (MI)""",280.2 - 317.8 (18),39.9,10,37,13.9,17.8,293
26031,"""Cheboygan, (MI)""",343.0 - 373.1 (16),41,10.3,29.9,24.7,20.8,371.3
26033,"""Chippewa, (MI)""",280.2 - 317.8 (18),36.1,9,43.3,30.9,23.3,317.8
26039,"""Crawford, (MI)""",343.0 - 373.1 (16),42,9.7,32.5,20.3,21.5,373.1
26041,"""Delta, (MI)""",343.0 - 373.1 (16),40.8,11.3,35.4,20.4,21.2,373
26043,"""Dickinson, (MI)""",280.2 - 317.8 (18),39.6,7.3,23.5,15.5,19.2,280.2
26047,"""Emmet, (MI)""",343.0 - 373.1 (16),37.5,5.6,26,17.1,18.3,343.4
26053,"""Gogebic, (MI)""",343.0 - 373.1 (16),40.1,10.2,29.9,23.2,22.5,352.2
26055,"""Grand Traverse, (MI)""",280.2 - 317.8 (18),34.6,5.5,28,16.9,18.3,310.8
26061,"""Houghton, (MI)""",317.9 - 342.9 (16),34.4,7.6,25.6,17.9,19.2,324.9
26071,"""Iron, (MI)""",317.9 - 342.9 (16),43,7.5,28.7,24.3,20.8,330.6
26079,"""Kalkaska, (MI)""",373.2 - 422.9 (17),39.7,14.8,34.5,27.3,25.1,403.4
26083,"""Keweenaw, (MI)""",280.2 - 317.8 (18),44.2,12.8,32,18.1,16.7,304.1
26089,"""Leelanau, (MI)""",280.2 - 317.8 (18),40,7.2,27.6,14.1,14.7,296.8
26095,"""Luce, (MI)""",280.2 - 317.8 (18),38.4,6,31.5,16.8,23.9,311.2
26097,"""Mackinac, (MI)""",280.2 - 317.8 (18),41.2,11.8,44.2,31.6,21.9,307.7
26103,"""Marquette, (MI)""",317.9 - 342.9 (16),34.6,7.5,33.7,17.4,18.5,319.5
26109,"""Menominee, (MI)""",373.2 - 422.9 (17),40.3,8.2,32.8,24.5,20.8,394.5
26119,"""Montmorency, (MI)""",373.2 - 422.9 (17),43.9,14.9,33.6,19.2,22.2,418.1
26131,"""Ontonagon, (MI)""",343.0 - 373.1 (16),45.3,7.1,32.6,22.1,20.3,349.8
26135,"""Oscoda, (MI)""",423.0 - 489.3 (16),43.1,8.6,31.2,23.8,23.1,425.4
26137,"""Otsego, (MI)""",343.0 - 373.1 (16),38.5,8.1,32.8,22.2,20.4,354.9
26141,"""Presque Isle, (MI)""",373.2 - 422.9 (17),43.1,9,30,25.1,20.4,412.8
26153,"""Schoolcraft, (MI)""",317.9 - 342.9 (16),42.7,4.3,27.3,22,23.3,328.1
