cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
27013,"""Blue Earth, (MN)""",250.8 - 273.5 (18),26.4,8.3,34.2,22.2,17.8,258.3
27015,"""Brown, (MN)""",184.2 - 224.5 (18),32.5,9,35,23.4,18.5,217.1
27033,"""Cottonwood, (MN)""",293.0 - 377.8 (17),34.9,10.7,38,25.1,17.8,318.9
27043,"""Faribault, (MN)""",293.0 - 377.8 (17),34.4,8,36.2,26.4,18.9,316.4
27063,"""Jackson, (MN)""",293.0 - 377.8 (17),33.7,10.3,34.8,23.7,18.1,300.7
27079,"""Le Sueur, (MN)""",224.6 - 250.7 (17),31.5,8.3,32.9,17.6,17.8,244.3
27081,"""Lincoln, (MN)""",273.6 - 292.9 (17),34.6,9.8,30.3,20.6,18,275
27083,"""Lyon, (MN)""",224.6 - 250.7 (17),30.6,8,32.8,25.7,18.1,241.7
27091,"""Martin, (MN)""",273.6 - 292.9 (17),34.4,10.4,33.2,19.5,18.2,287.1
27101,"""Murray, (MN)""",250.8 - 273.5 (18),35.1,4.5,39.7,20,17.3,253.4
27103,"""Nicollet, (MN)""",224.6 - 250.7 (17),30.6,7.4,29.7,19.2,16.5,236.8
27105,"""Nobles, (MN)""",250.8 - 273.5 (18),32.6,10.7,33.7,24.9,20.6,266.1
27117,"""Pipestone, (MN)""",250.8 - 273.5 (18),33.8,7.2,33.4,23.3,18.5,272.3
27127,"""Redwood, (MN)""",250.8 - 273.5 (18),33.6,10.5,33.8,29.3,19.9,258.3
27133,"""Rock, (MN)""",293.0 - 377.8 (17),33,6.4,31.8,27.2,17.1,301
27143,"""Sibley, (MN)""",184.2 - 224.5 (18),32.1,7.8,37.2,25.4,19.1,214.1
27165,"""Watonwan, (MN)""",273.6 - 292.9 (17),34.2,9.8,32.7,25.1,18.8,283.9
27005,"""Becker, (MN)""",224.6 - 250.7 (17),33.7,6.3,31.9,25.5,19,249.6
27007,"""Beltrami, (MN)""",250.8 - 273.5 (18),31.8,9.4,34.5,22.3,20.2,257.7
27009,"""Benton, (MN)""",224.6 - 250.7 (17),29.6,10.4,29.9,20.1,20.3,233.5
27011,"""Big Stone, (MN)""",293.0 - 377.8 (17),36,8.1,38.5,20.9,18.6,318.5
27019,"""Carver, (MN)""",184.2 - 224.5 (18),28,7.7,25.6,15.4,12.9,188.3
