cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
29003,"""Andrew, (MO)""",336.6 - 370.0 (23),38.5,6.8,28.5,18,19.5,343.7
29005,"""Atchison, (MO)""",275.1 - 336.5 (23),40.9,11.6,37.2,15.1,19.2,303.1
29009,"""Barry, (MO)""",442.6 - 683.8 (23),40.2,11,40,32.4,23.4,461.8
29011,"""Barton, (MO)""",402.1 - 442.5 (22),39.8,10.8,28.6,27.1,23.3,421.2
29013,"""Bates, (MO)""",336.6 - 370.0 (23),39,13,37.8,23.6,23.2,366.7
29021,"""Buchanan, (MO)""",370.1 - 402.0 (24),35.2,12.5,39.1,33.4,22.6,394.8
29025,"""Caldwell, (MO)""",336.6 - 370.0 (23),39.8,10.4,35.1,30.8,22.8,353.1
29037,"""Cass, (MO)""",275.1 - 336.5 (23),36.9,8.3,36.5,26.3,19.9,317
29039,"""Cedar, (MO)""",402.1 - 442.5 (22),41.8,5.6,32.1,22.7,23.9,403.6
29047,"""Clay, (MO)""",275.1 - 336.5 (23),36.1,9.9,33.1,23.4,19,291.5
29049,"""Clinton, (MO)""",336.6 - 370.0 (23),37.3,11.1,33.7,29.5,21.5,365.8
29057,"""Dade, (MO)""",402.1 - 442.5 (22),42.2,9.3,36,25.4,24.1,427.2
29061,"""Daviess, (MO)""",370.1 - 402.0 (24),39.8,6.4,40.6,31.3,23.6,399.5
29063,"""DeKalb, (MO)""",370.1 - 402.0 (24),35.9,8.5,34.9,31.2,24.6,381.2
29075,"""Gentry, (MO)""",336.6 - 370.0 (23),38.9,13.8,31.7,29.4,22.3,340.2
29081,"""Harrison, (MO)""",402.1 - 442.5 (22),41.3,14.8,36.2,34.4,23.8,405.1
29083,"""Henry, (MO)""",442.6 - 683.8 (23),41.2,19,32.5,26.7,23.2,452.5
29087,"""Holt, (MO)""",275.1 - 336.5 (23),41.1,8.6,30.8,25.5,20.6,309.6
29095,"""Jackson, (MO)""",275.1 - 336.5 (23),34.5,10.1,31.3,22.6,20.7,335.1
29097,"""Jasper, (MO)""",442.6 - 683.8 (23),34.6,9.5,37,25.7,22.7,450.9
29101,"""Johnson, (MO)""",370.1 - 402.0 (24),32.1,9.9,32.9,29.5,19,374.5
29107,"""Lafayette, (MO)""",370.1 - 402.0 (24),38.3,9.6,33.4,26.8,21.1,378.8
29109,"""Lawrence, (MO)""",442.6 - 683.8 (23),39.4,14.2,31.4,27.7,24.2,445.5
29119,"""McDonald, (MO)""",336.6 - 370.0 (23),38.9,8,33.9,20.7,27,362.9
29145,"""Newton, (MO)""",442.6 - 683.8 (23),38.2,9.2,30,29.1,22.2,448.2
29147,"""Nodaway, (MO)""",275.1 - 336.5 (23),32.3,8.6,36.2,24.2,19,332.6
29165,"""Platte, (MO)""",275.1 - 336.5 (23),33.1,10.6,27.1,22,15.5,275.1
29177,"""Ray, (MO)""",336.6 - 370.0 (23),38.5,11,31.8,25.1,22.2,362.2
29185,"""St. Clair, (MO)""",370.1 - 402.0 (24),43.3,8.2,35.9,23.9,22.9,390.8
29217,"""Vernon, (MO)""",370.1 - 402.0 (24),39.5,7.2,29.9,26.6,22.6,383.5
29227,"""Worth, (MO)""",336.6 - 370.0 (23),41.5,17,30.2,22.5,20.8,360.1
29015,"""Benton, (MO)""",275.1 - 336.5 (23),44.5,10.2,34.2,26.7,21.4,336.5
29017,"""Bollinger, (MO)""",442.6 - 683.8 (23),40.8,12.1,37.7,30.2,25.6,448.6
29023,"""Butler, (MO)""",442.6 - 683.8 (23),40.2,13.2,38.4,37,25.5,445.5
29029,"""Camden, (MO)""",275.1 - 336.5 (23),42.7,8,23.6,23,20,301.7
29031,"""Cape Girardeau, (MO)""",402.1 - 442.5 (22),35.4,11.1,32.6,23.2,18.6,405.3
29035,"""Carter, (MO)""",402.1 - 442.5 (22),40.4,5.3,30.7,31.4,24.1,442.5
29043,"""Christian, (MO)""",275.1 - 336.5 (23),36.2,12.7,33.8,22.9,20,317.9
29055,"""Crawford, (MO)""",442.6 - 683.8 (23),41.1,14.7,39.6,27,25.8,568.4
29059,"""Dallas, (MO)""",336.6 - 370.0 (23),40.9,4.5,31.1,23.1,24.7,365.5
29065,"""Dent, (MO)""",336.6 - 370.0 (23),42.1,7.9,25.1,25.1,24.9,345.5
29067,"""Douglas, (MO)""",442.6 - 683.8 (23),43.2,8.9,30.6,26.7,25.7,445
29069,"""Dunklin, (MO)""",442.6 - 683.8 (23),41.9,15.4,42.3,40.9,28,570.9
29077,"""Greene, (MO)""",370.1 - 402.0 (24),35.3,10.7,31,22.7,19.5,388.9
29085,"""Hickory, (MO)""",275.1 - 336.5 (23),45.9,8.4,30.4,21.1,22.9,323.6
29091,"""Howell, (MO)""",370.1 - 402.0 (24),40.1,15.6,35.4,30.6,24.5,402
29093,"""Iron, (MO)""",442.6 - 683.8 (23),41.5,7.9,37.6,27.1,25,593
29099,"""Jefferson, (MO)""",370.1 - 402.0 (24),36.3,10.5,32.8,21.9,21,385.8
29105,"""Laclede, (MO)""",402.1 - 442.5 (22),39.5,10.3,33.9,28.3,24.2,428.5
29123,"""Madison, (MO)""",402.1 - 442.5 (22),40.4,15.4,34.2,27.5,23.4,426.5
29125,"""Maries, (MO)""",370.1 - 402.0 (24),40.7,11,39.1,32.4,22.6,379.1
29131,"""Miller, (MO)""",336.6 - 370.0 (23),39.1,5.1,38.5,30.4,23.3,370
29133,"""Mississippi, (MO)""",442.6 - 683.8 (23),40,15.7,39.2,40.5,28.5,549.4
29143,"""New Madrid, (MO)""",442.6 - 683.8 (23),40.9,15.4,33.4,40.4,27.1,495.8
29149,"""Oregon, (MO)""",402.1 - 442.5 (22),42.4,9,30.2,28.2,25.5,422.4
29153,"""Ozark, (MO)""",336.6 - 370.0 (23),45.1,5.7,28.9,30.5,25.6,351.5
29155,"""Pemiscot, (MO)""",442.6 - 683.8 (23),39.8,16.1,34.7,34,27.3,683.8
