cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
28001,"""Adams, (MS)""",315.4 - 400.9 (17),41.6,13.3,38,28.1,24.4,346.4
28005,"""Amite, (MS)""",469.4 - 520.6 (16),42.5,14,40.5,40.1,22.7,504.5
28021,"""Claiborne, (MS)""",520.7 - 732.7 (16),37.8,17.5,47.8,38.4,24.5,647.3
28023,"""Clarke, (MS)""",520.7 - 732.7 (16),41.7,12.2,33.3,22.4,22.1,549.2
28029,"""Copiah, (MS)""",442.6 - 469.3 (17),39.9,17.3,43.3,40.9,22.1,452.6
28031,"""Covington, (MS)""",520.7 - 732.7 (16),40.5,11,40,31.7,23.5,537.7
28035,"""Forrest, (MS)""",315.4 - 400.9 (17),35.6,10.9,34.4,27.6,20.9,397.1
28037,"""Franklin, (MS)""",315.4 - 400.9 (17),41.6,12.3,35,35.2,22.3,400.9
28039,"""George, (MS)""",520.7 - 732.7 (16),38.9,15.7,37.7,26,23.1,600.2
28041,"""Greene, (MS)""",469.4 - 520.6 (16),37.2,13.5,47,29.8,23.2,515.9
28045,"""Hancock, (MS)""",315.4 - 400.9 (17),40.7,10.1,34.7,26.1,20,396.2
28047,"""Harrison, (MS)""",520.7 - 732.7 (16),37.3,9.6,35,27.1,21.6,525.5
28059,"""Jackson, (MS)""",315.4 - 400.9 (17),38.9,12.9,35.2,25.1,19.5,399.7
28061,"""Jasper, (MS)""",469.4 - 520.6 (16),41.7,18.1,47.7,32,22.6,482.6
28063,"""Jefferson, (MS)""",401.0 - 442.5 (16),41.2,14.7,50.6,35.5,27.9,421.9
28065,"""Jefferson Davis, (MS)""",315.4 - 400.9 (17),43.3,10.1,41.9,31.5,23,390.2
28067,"""Jones, (MS)""",401.0 - 442.5 (16),40.7,15.9,39.8,35.5,22.8,438.2
28073,"""Lamar, (MS)""",315.4 - 400.9 (17),36.2,12.4,35.9,25.3,17.9,325.8
28077,"""Lawrence, (MS)""",442.6 - 469.3 (17),41.3,11.7,35.1,36.2,22.5,469.3
28085,"""Lincoln, (MS)""",442.6 - 469.3 (17),39.2,13.5,38.7,31.1,21.9,467.9
28091,"""Marion, (MS)""",442.6 - 469.3 (17),41.4,12.5,38.5,28.4,25.7,447.4
28109,"""Pearl River, (MS)""",401.0 - 442.5 (16),41.7,14.1,40.6,31.5,21.5,442.5
28111,"""Perry, (MS)""",401.0 - 442.5 (16),41.9,11.9,39.5,33.3,24.2,436.5
28113,"""Pike, (MS)""",469.4 - 520.6 (16),40.3,13,37,33.2,24.8,472
28127,"""Simpson, (MS)""",469.4 - 520.6 (16),40.7,15.9,50.3,30.8,24.6,493.9
28129,"""Smith, (MS)""",315.4 - 400.9 (17),41.7,12.1,41,27.7,22.3,364.9
28131,"""Stone, (MS)""",442.6 - 469.3 (17),38.7,13,37.3,26.9,23,453.9
28147,"""Walthall, (MS)""",469.4 - 520.6 (16),41.8,19.4,42,29.3,24.2,478.5
28153,"""Wayne, (MS)""",442.6 - 469.3 (17),40,21.6,47.9,39,22,464.8
28157,"""Wilkinson, (MS)""",520.7 - 732.7 (16),41.4,10.5,49.4,33.6,29.2,524.7
28003,"""Alcorn, (MS)""",469.4 - 520.6 (16),41.6,15.4,38.6,30.2,24,500.5
28007,"""Attala, (MS)""",442.6 - 469.3 (17),40.9,14.3,43,29.7,22.4,443.7
28009,"""Benton, (MS)""",401.0 - 442.5 (16),41.3,16.8,43,37.7,25.3,410.7
28011,"""Bolivar, (MS)""",442.6 - 469.3 (17),39.7,13.2,40,31.1,24.6,464.3
28013,"""Calhoun, (MS)""",442.6 - 469.3 (17),42.1,16.6,37.6,38,24.3,454.3
28015,"""Carroll, (MS)""",401.0 - 442.5 (16),42.2,13,28.6,31.6,21.3,427.8
28017,"""Chickasaw, (MS)""",442.6 - 469.3 (17),40.7,16.1,44.1,32.1,24.4,444.2
28019,"""Choctaw, (MS)""",469.4 - 520.6 (16),42.6,21.6,43.3,33.9,22.2,480.1
28025,"""Clay, (MS)""",315.4 - 400.9 (17),40.4,14.8,50.5,30.9,21.6,396
28027,"""Coahoma, (MS)""",442.6 - 469.3 (17),39.6,18.8,42.9,34.2,24.2,466.3
28033,"""DeSoto, (MS)""",401.0 - 442.5 (16),36.5,12.7,37.7,25.8,18.4,413.5
28043,"""Grenada, (MS)""",469.4 - 520.6 (16),40.8,12.9,44.6,29.6,22.7,504.7
28049,"""Hinds, (MS)""",401.0 - 442.5 (16),35.9,12.6,40.5,30.1,19.4,433.3
28051,"""Holmes, (MS)""",469.4 - 520.6 (16),40.7,18.8,50.5,40.2,28,503.2
28053,"""Humphreys, (MS)""",520.7 - 732.7 (16),41.8,13.6,53.1,27.6,27.8,578.2
28055,"""Issaquena, (MS)""",401.0 - 442.5 (16),41.1,11,21.5,18.4,29.9,411.3
28057,"""Itawamba, (MS)""",469.4 - 520.6 (16),39.7,16.4,35.2,30.3,23.1,505
28069,"""Kemper, (MS)""",401.0 - 442.5 (16),40.8,16.4,43.7,24,24.3,440.5
28071,"""Lafayette, (MS)""",401.0 - 442.5 (16),32.4,12.9,33,22.5,17.3,417.5
28075,"""Lauderdale, (MS)""",520.7 - 732.7 (16),37.1,10.5,37.3,29.4,21.1,538.2
28079,"""Leake, (MS)""",315.4 - 400.9 (17),39.3,20.6,49.4,34.5,25.7,395.2
28081,"""Lee, (MS)""",315.4 - 400.9 (17),37.5,11.9,33,27.6,20.9,376.1
28083,"""Leflore, (MS)""",520.7 - 732.7 (16),38.1,15.3,41.1,32.4,26.1,671.8
28087,"""Lowndes, (MS)""",442.6 - 469.3 (17),38.3,15.6,36.7,25.7,20.8,449.1
28089,"""Madison, (MS)""",401.0 - 442.5 (16),35.1,8.3,36.7,22.1,14.3,406.7
28093,"""Marshall, (MS)""",401.0 - 442.5 (16),38.7,16.8,45.2,36.1,22,407.3
28095,"""Monroe, (MS)""",315.4 - 400.9 (17),41,14.8,38.4,34.2,22.5,392
28097,"""Montgomery, (MS)""",469.4 - 520.6 (16),41.6,12.7,37.7,27.1,21.9,518.1
28099,"""Neshoba, (MS)""",520.7 - 732.7 (16),40.1,14.6,40.7,32.3,26.8,704.4
28101,"""Newton, (MS)""",401.0 - 442.5 (16),38.8,12.5,36.1,27.1,23.1,427.8
28103,"""Noxubee, (MS)""",520.7 - 732.7 (16),39.8,10.9,49.8,31,24.7,585.3
28105,"""Oktibbeha, (MS)""",315.4 - 400.9 (17),30.5,11,36.5,23.4,18.4,375.7
28107,"""Panola, (MS)""",520.7 - 732.7 (16),39.1,15.2,43.5,39.1,24.1,598.8
28115,"""Pontotoc, (MS)""",315.4 - 400.9 (17),39,15.1,38.4,32.4,23,375.7
28117,"""Prentiss, (MS)""",469.4 - 520.6 (16),41.1,15.6,37.8,36.7,24.6,519.8
28119,"""Quitman, (MS)""",469.4 - 520.6 (16),41.6,14.8,34.3,38,27.3,520.6
28121,"""Rankin, (MS)""",315.4 - 400.9 (17),37.5,10.6,38.1,27.8,16.9,315.4
28123,"""Scott, (MS)""",401.0 - 442.5 (16),39.5,23.1,49.9,31.9,26.1,425.6
28125,"""Sharkey, (MS)""",442.6 - 469.3 (17),42.5,11.8,41.6,45.5,26.1,465.4
28133,"""Sunflower, (MS)""",442.6 - 469.3 (17),37.4,24.1,53.5,30.8,26.4,449
28135,"""Tallahatchie, (MS)""",315.4 - 400.9 (17),38.2,14.5,42.1,33.2,27.8,380
