cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
30001,"""Beaverhead, (MT)""",284.1 - 304.6 (10),32.4,5.4,27,18.7,16.7,304.6
30003,"""Big Horn, (MT)""",352.9 - 496.8 (11),31.2,16.3,39.2,24.2,28.5,353.7
30005,"""Blaine, (MT)""",352.9 - 496.8 (11),31.7,13.2,39.3,26,26.5,430.7
30007,"""Broadwater, (MT)""",284.1 - 304.6 (10),34.5,7.4,29.6,21.1,17.8,284.7
30009,"""Carbon, (MT)""",202.3 - 284.0 (13),34.5,5,25,20.8,16,259.7
30011,"""Carter, (MT)""",304.7 - 328.8 (11),35.5,8.6,23.8,19.4,18,314.1
30013,"""Cascade, (MT)""",202.3 - 284.0 (13),31.5,8.5,30.8,22.9,19.4,282.8
30015,"""Chouteau, (MT)""",284.1 - 304.6 (10),34.6,9.6,31.4,24.1,20.7,298
30017,"""Custer, (MT)""",328.9 - 352.8 (11),33.3,8.6,29.6,20.9,18.3,331.4
30019,"""Daniels, (MT)""",328.9 - 352.8 (11),34.6,11.5,27.2,22.7,16.7,352.8
30021,"""Dawson, (MT)""",202.3 - 284.0 (13),32.9,9.1,37.6,26.5,17.6,202.3
30023,"""Deer Lodge, (MT)""",352.9 - 496.8 (11),36.9,12.3,25.8,29.1,22,411.9
30025,"""Fallon, (MT)""",284.1 - 304.6 (10),31.9,6.7,38.6,24.3,19,296.4
30027,"""Fergus, (MT)""",352.9 - 496.8 (11),35,8.9,33.1,25.9,18,361.4
30029,"""Flathead, (MT)""",284.1 - 304.6 (10),32.3,6.4,24.6,18.8,18.5,301.2
30031,"""Gallatin, (MT)""",202.3 - 284.0 (13),25.3,5.3,19.1,13.1,14.7,258.5
30033,"""Garfield, (MT)""",328.9 - 352.8 (11),34.1,8.3,37.3,26.1,18.5,342.3
30035,"""Glacier, (MT)""",304.7 - 328.8 (11),31.7,15,37.8,30.3,33.4,313.4
30037,"""Golden Valley, (MT)""",304.7 - 328.8 (11),36.8,6.3,26.6,26.2,17.7,328.8
30039,"""Granite, (MT)""",304.7 - 328.8 (11),36.6,10.2,26.1,15.2,17,313
30041,"""Hill, (MT)""",352.9 - 496.8 (11),31.8,10.1,39.7,27.3,22.8,493.5
30043,"""Jefferson, (MT)""",352.9 - 496.8 (11),33.9,6.2,25.9,20,16.3,366.8
