cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
31001,"""Adams, (NE)""",297.5 - 317.1 (19),34.6,10.8,37.2,25.9,16.1,298.3
31003,"""Antelope, (NE)""",297.5 - 317.1 (19),38.9,8.3,34.9,20.7,16.2,303.5
31005,"""Arthur, (NE)""",243.6 - 276.2 (19),35.6,5.1,32.8,20.3,14.8,273.1
31007,"""Banner, (NE)""",276.3 - 287.4 (19),37.6,9.5,30.6,16.7,15.4,276.6
31009,"""Blaine, (NE)""",297.5 - 317.1 (19),36.9,5.1,33.5,22.9,14.7,317.1
31011,"""Boone, (NE)""",297.5 - 317.1 (19),35.8,8.4,36.4,26.5,15.5,314.1
31013,"""Box Butte, (NE)""",317.2 - 416.3 (18),35.9,10.1,34.8,23.2,17.4,333.3
31015,"""Boyd, (NE)""",317.2 - 416.3 (18),38.6,6.9,37.1,24.1,15.2,381.8
31017,"""Brown, (NE)""",287.5 - 297.4 (18),38.5,7.6,41.4,25,17.3,297.4
31019,"""Buffalo, (NE)""",287.5 - 297.4 (18),30.7,9.4,32.6,21.5,14.4,293.5
31021,"""Burt, (NE)""",297.5 - 317.1 (19),38.9,8.1,36.6,31.5,17.1,315.3
31023,"""Butler, (NE)""",243.6 - 276.2 (19),35.2,8.4,32.2,22,16.7,276
31025,"""Cass, (NE)""",276.3 - 287.4 (19),34,10,43.3,24.6,16,277.9
31027,"""Cedar, (NE)""",297.5 - 317.1 (19),36.2,5.9,38,21.2,14,297.7
31029,"""Chase, (NE)""",243.6 - 276.2 (19),36.7,6,35.6,22.7,15.3,263.1
31031,"""Cherry, (NE)""",276.3 - 287.4 (19),37.6,6,30.1,30.5,17.2,282.4
31033,"""Cheyenne, (NE)""",287.5 - 297.4 (18),33.9,8.5,32.9,21.1,15.3,291.5
31035,"""Clay, (NE)""",317.2 - 416.3 (18),36.7,7.9,38.5,26.2,16.8,332.6
31037,"""Colfax, (NE)""",276.3 - 287.4 (19),33.5,7.1,36.8,25.9,17.6,283.5
31039,"""Cuming, (NE)""",297.5 - 317.1 (19),35.9,7,39.4,24.2,14.6,309.5
31041,"""Custer, (NE)""",287.5 - 297.4 (18),37.4,7.9,36.7,25.6,16.4,291.5
31043,"""Dakota, (NE)""",276.3 - 287.4 (19),33.5,10.4,37.4,32.4,16.4,276.8
31045,"""Dawes, (NE)""",297.5 - 317.1 (19),29.7,6.3,28.8,20.6,13.7,314.6
31047,"""Dawson, (NE)""",287.5 - 297.4 (18),33.9,10.6,34,24.8,17.2,287.8
31049,"""Deuel, (NE)""",243.6 - 276.2 (19),38,6.3,30.9,24.7,17.1,261
31051,"""Dixon, (NE)""",317.2 - 416.3 (18),36.8,7.5,35.4,30.4,15.6,345.3
31053,"""Dodge, (NE)""",243.6 - 276.2 (19),35.7,9.4,34.6,28.4,17.3,262.3
31055,"""Douglas, (NE)""",243.6 - 276.2 (19),32.3,9.3,31.1,20.8,17.6,257.1
31057,"""Dundy, (NE)""",287.5 - 297.4 (18),38,4.9,35.1,26.9,17.8,288.2
31059,"""Fillmore, (NE)""",287.5 - 297.4 (18),36.9,10.7,36.1,23.6,15.9,293
31061,"""Franklin, (NE)""",297.5 - 317.1 (19),39,7.6,36.1,27,16,302
31063,"""Frontier, (NE)""",276.3 - 287.4 (19),35.9,6.2,39.4,27.4,14.9,287.4
31065,"""Furnas, (NE)""",287.5 - 297.4 (18),38.5,8.4,36.4,26.9,16.1,297.2
31067,"""Gage, (NE)""",276.3 - 287.4 (19),34.7,9.7,37.9,25.9,17.5,280.5
31069,"""Garden, (NE)""",317.2 - 416.3 (18),39.1,7.4,25.6,25.1,14.7,333.6
31071,"""Garfield, (NE)""",317.2 - 416.3 (18),37.6,7.3,30.4,25,13.8,318
31073,"""Gosper, (NE)""",287.5 - 297.4 (18),36.5,6.1,26.5,18.5,13.6,297.3
31075,"""Grant, (NE)""",317.2 - 416.3 (18),39,4.9,32.4,33.6,17,340.4
31077,"""Greeley, (NE)""",276.3 - 287.4 (19),36.4,8.4,40.9,29.7,14.8,286.8
31079,"""Hall, (NE)""",276.3 - 287.4 (19),32.3,10,37.1,26.9,15.8,284.1
31081,"""Hamilton, (NE)""",276.3 - 287.4 (19),35,8.4,31.3,22.7,14.7,276.3
31083,"""Harlan, (NE)""",297.5 - 317.1 (19),38.8,9.9,29.7,23,15.7,309.8
31085,"""Hayes, (NE)""",243.6 - 276.2 (19),39.6,7.7,28.2,21.8,16.4,268.2
31087,"""Hitchcock, (NE)""",297.5 - 317.1 (19),38.8,11.5,39.6,27.5,16.5,307.2
31089,"""Holt, (NE)""",297.5 - 317.1 (19),36.3,7.6,33.3,26.1,15,307.7
31091,"""Hooker, (NE)""",276.3 - 287.4 (19),38.7,5.9,27.4,19.2,14.1,284.3
31093,"""Howard, (NE)""",276.3 - 287.4 (19),36.1,9.3,38.6,26.6,15.9,282.8
31095,"""Jefferson, (NE)""",317.2 - 416.3 (18),37.7,6.9,36.2,26.3,16.7,344.9
31097,"""Johnson, (NE)""",243.6 - 276.2 (19),35.2,6.8,34.3,29.8,18.4,272
31099,"""Kearney, (NE)""",287.5 - 297.4 (18),34.9,7.6,35.8,19.9,15.8,293.8
31101,"""Keith, (NE)""",243.6 - 276.2 (19),37.6,6.5,32.1,25.8,16.3,243.6
31103,"""Keya Paha, (NE)""",287.5 - 297.4 (18),37.8,9.9,26.5,24.1,14.2,296.5
31105,"""Kimball, (NE)""",243.6 - 276.2 (19),37.9,8.4,40,28.8,17.8,264.9
31107,"""Knox, (NE)""",297.5 - 317.1 (19),36.4,8.8,34.9,26,14.8,305.5
31109,"""Lancaster, (NE)""",243.6 - 276.2 (19),31,8.1,29.9,17.2,15.7,271.8
31111,"""Lincoln, (NE)""",243.6 - 276.2 (19),36,10.5,40.6,25.3,17.4,267
31113,"""Logan, (NE)""",276.3 - 287.4 (19),36.7,8,36.3,26,15.8,282
31115,"""Loup, (NE)""",317.2 - 416.3 (18),38.7,7,31.3,25.1,14.4,333.5
31117,"""McPherson, (NE)""",243.6 - 276.2 (19),38.6,8.6,22,27.3,15.9,257.7
31119,"""Madison, (NE)""",317.2 - 416.3 (18),34.4,8.8,32.6,25.5,16.6,330.4
31121,"""Merrick, (NE)""",287.5 - 297.4 (18),36.7,12.1,41.8,29,16.4,289
31123,"""Morrill, (NE)""",317.2 - 416.3 (18),35.9,13.7,35.5,28.2,16.6,353.5
31125,"""Nance, (NE)""",297.5 - 317.1 (19),37.3,11.4,36,29.2,16.6,297.8
31127,"""Nemaha, (NE)""",243.6 - 276.2 (19),34.1,8.5,35.7,25.4,15.9,272.7
31129,"""Nuckolls, (NE)""",317.2 - 416.3 (18),38.2,5.6,35.6,28.9,15.8,333.1
31131,"""Otoe, (NE)""",276.3 - 287.4 (19),35.8,10.5,39.1,27.1,15.4,276.6
31133,"""Pawnee, (NE)""",243.6 - 276.2 (19),40,4.8,35.6,22.9,16.5,276.2
31135,"""Perkins, (NE)""",243.6 - 276.2 (19),35.4,6.8,23.7,20.8,13.6,258.5
31137,"""Phelps, (NE)""",287.5 - 297.4 (18),34.7,8.8,37.7,23.5,14.8,293.1
31139,"""Pierce, (NE)""",276.3 - 287.4 (19),34.5,8.9,30.8,26.2,15.4,279.2
31141,"""Platte, (NE)""",297.5 - 317.1 (19),32.3,7.9,35.6,20.4,14.2,305.1
31143,"""Polk, (NE)""",287.5 - 297.4 (18),36.7,7.1,34.3,26.7,15.5,290.5
31145,"""Red Willow, (NE)""",297.5 - 317.1 (19),35.5,8.8,33.3,21.7,16.6,305.9
31147,"""Richardson, (NE)""",276.3 - 287.4 (19),37.3,7.1,38.7,26.7,17.3,283.3
31149,"""Rock, (NE)""",317.2 - 416.3 (18),38.3,9.7,38.4,30.5,14.8,358.5
31151,"""Saline, (NE)""",317.2 - 416.3 (18),32.8,10.8,36.9,29.2,16.9,321.6
31153,"""Sarpy, (NE)""",243.6 - 276.2 (19),30.7,9.1,34.1,19.8,14.2,255.1
31155,"""Saunders, (NE)""",243.6 - 276.2 (19),35.8,10.4,36.3,20.1,16.5,266
31157,"""Scotts Bluff, (NE)""",276.3 - 287.4 (19),35.3,10.3,34.4,24.2,16.4,279
31159,"""Seward, (NE)""",276.3 - 287.4 (19),32.2,7.2,34.1,21.7,14.5,276.5
31161,"""Sheridan, (NE)""",317.2 - 416.3 (18),38.3,10.2,29.2,26.8,17,350.9
31163,"""Sherman, (NE)""",287.5 - 297.4 (18),38.3,7.4,35.6,22.3,14.9,287.8
31165,"""Sioux, (NE)""",287.5 - 297.4 (18),39,4.7,22.5,27.8,14.6,287.7
31167,"""Stanton, (NE)""",287.5 - 297.4 (18),34.7,6.7,33.7,23.7,16.2,289.6
31169,"""Thayer, (NE)""",317.2 - 416.3 (18),38.1,7.1,32.8,19.7,15.1,367.4
31171,"""Thomas, (NE)""",297.5 - 317.1 (19),37.1,6.7,27.3,19.5,15.2,303.1
31173,"""Thurston, (NE)""",317.2 - 416.3 (18),32.7,18.2,47.4,28.7,26.1,416.3
31175,"""Valley, (NE)""",297.5 - 317.1 (19),37.5,8.8,31.8,21.1,15.9,301.5
31177,"""Washington, (NE)""",243.6 - 276.2 (19),34.4,8.5,32.1,20.6,14.5,245.1
31179,"""Wayne, (NE)""",297.5 - 317.1 (19),30.9,8.3,36.8,20.6,13.6,298.1
31181,"""Webster, (NE)""",317.2 - 416.3 (18),38,8.1,34.8,28.3,16.4,323.2
31183,"""Wheeler, (NE)""",276.3 - 287.4 (19),37.9,8.1,25.9,30.1,16.2,286.1
31185,"""York, (NE)""",287.5 - 297.4 (18),34.2,9.7,40,24.6,14.3,290.4
