cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
33001,"""Belknap, (NH)""",289.8 - 318.5 (2),35.7,8.3,28.3,20,15.6,299.3
33003,"""Carroll, (NH)""",270.0 - 275.2 (2),39.9,8.2,28.7,21.4,15.4,270
33005,"""Cheshire, (NH)""",270.0 - 275.2 (2),32.5,7.8,31.3,19.4,15.8,275.2
33009,"""Grafton, (NH)""",283.4 - 289.7 (2),33.7,6.5,24.7,17.8,14.2,284.4
33011,"""Hillsborough, (NH)""",275.3 - 279.5 (2),32.5,8.5,28.2,21.2,15.7,279.5
33013,"""Merrimack, (NH)""",279.6 - 283.3 (2),33.1,7.4,27.6,18.7,16.3,283.3
33015,"""Rockingham, (NH)""",275.3 - 279.5 (2),34.2,7.2,26.6,17.2,13.6,278.6
33017,"""Strafford, (NH)""",283.4 - 289.7 (2),32.4,9.9,31.5,23,16.5,289.7
33019,"""Sullivan, (NH)""",279.6 - 283.3 (2),35.3,7.6,33.4,23.7,16.8,280.5
33007,"""Coos, (NH)""",289.8 - 318.5 (2),40.8,12.1,37.1,24.2,18.2,318.5
