cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
36003,"""Allegany, (NY)""",318.5 - 337.6 (13),35.1,9.3,36.6,26.3,20.3,324
36007,"""Broome, (NY)""",318.5 - 337.6 (13),34.7,8.9,30.2,21.7,20,326
36009,"""Cattaraugus, (NY)""",356.0 - 470.3 (12),38,11.8,38.7,26.6,22.3,385.6
36011,"""Cayuga, (NY)""",337.7 - 355.9 (12),35.6,9.7,33.6,23.5,21.5,342.7
36013,"""Chautauqua, (NY)""",356.0 - 470.3 (12),36.9,10.5,33.6,24.9,22,366.1
36015,"""Chemung, (NY)""",356.0 - 470.3 (12),35.4,10.6,34.9,28.9,22.4,407.7
36017,"""Chenango, (NY)""",356.0 - 470.3 (12),37.2,11,39.6,22.3,21.5,446.7
36023,"""Cortland, (NY)""",288.8 - 318.4 (12),32.8,10.5,34.1,24.6,19.6,315.2
36025,"""Delaware, (NY)""",356.0 - 470.3 (12),37.5,7.6,31.6,24.6,20.5,373
36029,"""Erie, (NY)""",318.5 - 337.6 (13),33,9.7,29,22.7,17.9,330.7
36033,"""Franklin, (NY)""",288.8 - 318.4 (12),34.8,12,39.1,24.8,22.6,315.8
36035,"""Fulton, (NY)""",337.7 - 355.9 (12),37.5,11.8,35.7,26,22.9,355.9
36037,"""Genesee, (NY)""",318.5 - 337.6 (13),35.2,11.1,33.9,29.8,21.5,330.4
36039,"""Greene, (NY)""",337.7 - 355.9 (12),37.8,8.9,31.2,24.5,21.8,350.9
36041,"""Hamilton, (NY)""",288.8 - 318.4 (12),41.4,8.9,29.7,17.4,18.6,315.2
36043,"""Herkimer, (NY)""",337.7 - 355.9 (12),36.6,9,33.6,24.7,23.3,342.8
36045,"""Jefferson, (NY)""",337.7 - 355.9 (12),30.9,10.9,36.2,25.1,19.8,351.6
36049,"""Lewis, (NY)""",337.7 - 355.9 (12),36.6,12,35.9,27.2,20.8,344.4
36051,"""Livingston, (NY)""",253.1 - 288.7 (13),33.5,11.1,36.7,23.5,19.7,280
36053,"""Madison, (NY)""",253.1 - 288.7 (13),34.6,9,31.5,21.4,18.8,264
36055,"""Monroe, (NY)""",253.1 - 288.7 (13),33.5,8.1,30.7,19.9,17.3,255.4
36057,"""Montgomery, (NY)""",356.0 - 470.3 (12),36.4,10.4,35.3,27.6,21.6,362.8
