cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
37039,"""Cherokee, (NC)""",339.0 - 369.5 (20),41.8,8.8,31.4,28.6,20,354.5
37003,"""Alexander, (NC)""",293.1 - 320.7 (20),39.7,15.1,38.3,26.2,23,314.4
37005,"""Alleghany, (NC)""",293.1 - 320.7 (20),42.8,9.7,30.4,21.2,22.9,313.1
37009,"""Ashe, (NC)""",293.1 - 320.7 (20),41.9,10.6,25.9,28.8,20.2,307.8
37011,"""Avery, (NC)""",339.0 - 369.5 (20),38.9,10.1,24.4,28.3,21.5,340.3
37021,"""Buncombe, (NC)""",204.1 - 293.0 (20),35.5,7,24,16.7,17.3,293
37023,"""Burke, (NC)""",320.8 - 338.9 (20),39.3,6.6,36.2,23.6,22.2,322.5
37027,"""Caldwell, (NC)""",339.0 - 369.5 (20),39.5,13.8,38.1,28.3,23.8,350.8
37035,"""Catawba, (NC)""",293.1 - 320.7 (20),36.6,10.8,31.6,25,19.6,309.7
37043,"""Clay, (NC)""",293.1 - 320.7 (20),42.6,3.5,26.7,28.5,19.7,318.5
37045,"""Cleveland, (NC)""",369.6 - 454.8 (20),38.2,12.3,36.9,27.1,22.7,383.9
37071,"""Gaston, (NC)""",320.8 - 338.9 (20),36,9.5,28.4,26.8,22,338.9
37075,"""Graham, (NC)""",320.8 - 338.9 (20),41.5,4.8,40.6,22.4,23.6,333.9
37087,"""Haywood, (NC)""",293.1 - 320.7 (20),39,8.7,33.1,22.7,19.2,316.6
37089,"""Henderson, (NC)""",204.1 - 293.0 (20),38.3,8.4,29.4,20.3,16.8,274
37097,"""Iredell, (NC)""",293.1 - 320.7 (20),36.6,10.2,35.1,21.4,18.8,299.3
37099,"""Jackson, (NC)""",293.1 - 320.7 (20),35.1,9,28.6,27.8,19.6,295.4
37109,"""Lincoln, (NC)""",204.1 - 293.0 (20),38,7.8,31.6,20.9,21,284
37111,"""McDowell, (NC)""",293.1 - 320.7 (20),39.7,9.8,39.8,27.9,22.5,313
37113,"""Macon, (NC)""",204.1 - 293.0 (20),42.2,11.4,31.7,21.1,18.2,289.3
37115,"""Madison, (NC)""",320.8 - 338.9 (20),39.2,5.4,32.1,22.2,20.1,336.7
37119,"""Mecklenburg, (NC)""",204.1 - 293.0 (20),33.5,8.3,28.7,17.8,15.3,244
37121,"""Mitchell, (NC)""",369.6 - 454.8 (20),40.9,9.3,28.7,18.3,20.3,403.9
37149,"""Polk, (NC)""",293.1 - 320.7 (20),42,11.1,32.9,24,15.7,293.5
