cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
38001,"""Adams, (ND)""",290.6 - 322.1 (11),38.9,9.2,31.4,19.4,16.4,320.6
38003,"""Barnes, (ND)""",208.9 - 260.2 (11),36.8,7.6,34.9,21.8,17.1,238.6
38005,"""Benson, (ND)""",322.2 - 545.0 (10),37.4,12.5,42.3,33.6,31.3,332.3
38007,"""Billings, (ND)""",260.3 - 275.8 (11),36.4,3.9,29.8,24.5,17.8,270.8
38009,"""Bottineau, (ND)""",322.2 - 545.0 (10),37.8,8,36.2,24.1,18.5,349.4
38011,"""Bowman, (ND)""",275.9 - 290.5 (10),36.2,7.8,22.6,33.3,17.7,280.9
38013,"""Burke, (ND)""",208.9 - 260.2 (11),37.5,5.5,34.1,22.5,18.8,236.1
38015,"""Burleigh, (ND)""",208.9 - 260.2 (11),35.1,7.9,31.4,19.4,15.8,258.5
38017,"""Cass, (ND)""",208.9 - 260.2 (11),31.7,8.1,33.1,19.4,17.7,231.4
38019,"""Cavalier, (ND)""",275.9 - 290.5 (10),40.2,10.9,32.1,24.8,16.8,287
38021,"""Dickey, (ND)""",290.6 - 322.1 (11),35.5,10.7,36.3,23.4,17,295.1
38023,"""Divide, (ND)""",208.9 - 260.2 (11),39.4,4.8,33.2,21.3,18.9,249.8
38025,"""Dunn, (ND)""",290.6 - 322.1 (11),35.3,11.6,37.7,22.1,20.2,292
38027,"""Eddy, (ND)""",322.2 - 545.0 (10),39.4,6.9,33.9,30.3,19.4,323.4
38029,"""Emmons, (ND)""",208.9 - 260.2 (11),40.2,7.4,27.9,21.3,18.5,238.1
38031,"""Foster, (ND)""",290.6 - 322.1 (11),37.6,8.3,41.6,28.7,16.5,299.2
38033,"""Golden Valley, (ND)""",290.6 - 322.1 (11),39.2,6.5,29.6,20.5,17.1,291
38035,"""Grand Forks, (ND)""",290.6 - 322.1 (11),29.5,9.7,32.1,22.4,18.1,307.6
38037,"""Grant, (ND)""",275.9 - 290.5 (10),41.4,10.8,30.1,28.1,18.5,279.1
38039,"""Griggs, (ND)""",275.9 - 290.5 (10),39.5,10.9,35.2,18.7,17.1,284.8
38041,"""Hettinger, (ND)""",260.3 - 275.8 (11),38.4,7.9,29.1,20.2,20.3,266.2
38043,"""Kidder, (ND)""",208.9 - 260.2 (11),39.8,5.5,37.6,24.4,20.7,244.4
38045,"""LaMoure, (ND)""",208.9 - 260.2 (11),41,5.1,32.5,21.9,18.5,260.2
38047,"""Logan, (ND)""",208.9 - 260.2 (11),39.7,7.3,33.8,25.8,18.5,208.9
38049,"""McHenry, (ND)""",275.9 - 290.5 (10),36.9,7.8,34.1,29.4,19.2,282.3
38051,"""McIntosh, (ND)""",322.2 - 545.0 (10),40.5,5.8,25.3,28.2,18.1,335.9
38053,"""McKenzie, (ND)""",322.2 - 545.0 (10),30.5,7.7,33.4,25.9,21.1,326.3
38055,"""McLean, (ND)""",322.2 - 545.0 (10),38.8,8.2,34.2,25.8,18.1,341.5
38057,"""Mercer, (ND)""",260.3 - 275.8 (11),37,10,35.4,21.4,17.9,264.3
38059,"""Morton, (ND)""",275.9 - 290.5 (10),32.2,8.2,32.4,21.1,18.5,283.2
38061,"""Mountrail, (ND)""",322.2 - 545.0 (10),31.5,12.7,38.8,29.7,22.6,545
38063,"""Nelson, (ND)""",290.6 - 322.1 (11),39.2,7.4,41.7,27.6,17.2,322.1
38065,"""Oliver, (ND)""",260.3 - 275.8 (11),37.9,6,30.7,27.6,18.6,263.3
38067,"""Pembina, (ND)""",260.3 - 275.8 (11),37.2,10.3,40.5,27.2,19.2,266.7
38069,"""Pierce, (ND)""",290.6 - 322.1 (11),38,10.7,40.4,24.5,19.1,306.9
38071,"""Ramsey, (ND)""",290.6 - 322.1 (11),36.4,10.2,33.6,26.6,18.4,316.1
38073,"""Ransom, (ND)""",275.9 - 290.5 (10),38.4,10.9,32.6,21.4,18.8,277.2
38075,"""Renville, (ND)""",260.3 - 275.8 (11),37.5,6.6,30.1,26.4,18.6,270.1
38077,"""Richland, (ND)""",275.9 - 290.5 (10),33.4,8.4,36.8,26,17.8,290.5
38079,"""Rolette, (ND)""",322.2 - 545.0 (10),35.1,15.8,45.3,32.1,32.9,496.1
38081,"""Sargent, (ND)""",260.3 - 275.8 (11),37.4,9,33.9,28.8,18,275.8
38083,"""Sheridan, (ND)""",208.9 - 260.2 (11),42.2,6.3,35.9,35.2,19.5,253.9
38085,"""Sioux, (ND)""",322.2 - 545.0 (10),32.7,24.1,35.9,34.7,36.6,517.4
38087,"""Slope, (ND)""",260.3 - 275.8 (11),38.1,4.2,28.1,17.7,17,271.5
38089,"""Stark, (ND)""",260.3 - 275.8 (11),32.5,6.7,36.4,20.8,20.1,266.2
38091,"""Steele, (ND)""",260.3 - 275.8 (11),37.1,11.7,40,30.3,16,261
38093,"""Stutsman, (ND)""",275.9 - 290.5 (10),35.5,7.3,32.7,23.1,18.8,278.7
38095,"""Towner, (ND)""",290.6 - 322.1 (11),39.7,8.4,30.7,33.4,19.3,305.7
38097,"""Traill, (ND)""",260.3 - 275.8 (11),35.9,11.1,39.1,17.6,17.2,262
