cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
39001,"""Adams, (OH)""",418.8 - 530.7 (17),38.2,14.3,35.9,36,29.1,424.5
39003,"""Allen, (OH)""",392.7 - 418.7 (18),35.8,11.7,35.8,25.6,23.2,415
39005,"""Ashland, (OH)""",368.4 - 392.6 (17),36.5,11,35.8,30,21.9,376.8
39007,"""Ashtabula, (OH)""",418.8 - 530.7 (17),37.8,12,37.4,28.6,26.2,433.6
39009,"""Athens, (OH)""",348.2 - 368.3 (18),30.6,11.9,35.3,23.3,21.8,357.1
39011,"""Auglaize, (OH)""",392.7 - 418.7 (18),35.6,8.7,34.7,28.5,21.7,418.7
39013,"""Belmont, (OH)""",418.8 - 530.7 (17),37.7,13,34.9,29,22.5,458.3
39015,"""Brown, (OH)""",392.7 - 418.7 (18),38.2,10.2,31.6,29.5,23.7,397.9
39017,"""Butler, (OH)""",257.6 - 348.1 (18),34,10.9,32.1,22.6,20.6,327.1
39019,"""Carroll, (OH)""",392.7 - 418.7 (18),39.6,12.1,41,30.8,23.6,397
39021,"""Champaign, (OH)""",348.2 - 368.3 (18),36.3,10.2,35.7,33.4,22.5,356.7
39023,"""Clark, (OH)""",392.7 - 418.7 (18),37.6,11.7,36.6,28.1,24.6,403.2
39025,"""Clermont, (OH)""",257.6 - 348.1 (18),35.2,11.3,38.1,27.6,21.8,323.9
39027,"""Clinton, (OH)""",368.4 - 392.6 (17),35.9,8.7,35.7,26.1,22.8,392.6
39029,"""Columbiana, (OH)""",368.4 - 392.6 (17),38.2,14.5,36,28.7,25.8,389.4
39031,"""Coshocton, (OH)""",368.4 - 392.6 (17),37.9,9.8,38.2,30,25.8,389.9
39033,"""Crawford, (OH)""",392.7 - 418.7 (18),37.6,9.1,33.6,29.3,23.6,405.9
39035,"""Cuyahoga, (OH)""",392.7 - 418.7 (18),33.3,9.4,31.7,23.6,20,398.6
39037,"""Darke, (OH)""",418.8 - 530.7 (17),36.9,11.1,37.4,29.1,22.7,422.7
39039,"""Defiance, (OH)""",257.6 - 348.1 (18),35.8,11.5,38.7,31.4,21.8,331.4
39041,"""Delaware, (OH)""",257.6 - 348.1 (18),31.6,8.1,29.1,17.2,15.2,293.2
39043,"""Erie, (OH)""",368.4 - 392.6 (17),37.3,10.4,33.9,27.1,20.7,375.4
39045,"""Fairfield, (OH)""",257.6 - 348.1 (18),34.1,11.7,36.7,24.8,20.8,347.1
39047,"""Fayette, (OH)""",418.8 - 530.7 (17),36.8,11.7,35.6,33.2,26.5,508.2
39049,"""Franklin, (OH)""",257.6 - 348.1 (18),30.3,10.1,30.2,22.5,19.3,339
39051,"""Fulton, (OH)""",348.2 - 368.3 (18),35.5,7.2,32.2,24.9,20.7,356.9
39053,"""Gallia, (OH)""",392.7 - 418.7 (18),39.3,16.2,40.7,30.6,25.2,416.2
39055,"""Geauga, (OH)""",257.6 - 348.1 (18),36.4,7.6,25.5,15.5,17.3,268.4
39057,"""Greene, (OH)""",257.6 - 348.1 (18),33.1,11,30.6,21.1,17.6,325
39059,"""Guernsey, (OH)""",418.8 - 530.7 (17),38,10.2,35.6,29.5,25.5,423.7
39061,"""Hamilton, (OH)""",257.6 - 348.1 (18),33.5,10.8,30.2,22.6,19.5,348.1
39063,"""Hancock, (OH)""",257.6 - 348.1 (18),33.9,9.8,35.9,25.5,19.4,327.4
39065,"""Hardin, (OH)""",392.7 - 418.7 (18),34.9,14,37.6,35.2,23.4,404.7
39067,"""Harrison, (OH)""",418.8 - 530.7 (17),39.4,11.3,37,26,25.2,441.3
39069,"""Henry, (OH)""",368.4 - 392.6 (17),36.1,9.7,34,25.8,21,372.3
39071,"""Highland, (OH)""",348.2 - 368.3 (18),37.5,11.5,35,28.8,26.1,365.8
39073,"""Hocking, (OH)""",392.7 - 418.7 (18),36.9,13.1,39.9,32.8,25.2,394.8
39075,"""Holmes, (OH)""",348.2 - 368.3 (18),35.4,6.7,26.8,22.3,28.1,366.8
39077,"""Huron, (OH)""",368.4 - 392.6 (17),36.3,9.3,40.9,25.1,25.1,391.3
39079,"""Jackson, (OH)""",418.8 - 530.7 (17),38.8,16.7,42.9,33.4,26.5,463.8
39081,"""Jefferson, (OH)""",418.8 - 530.7 (17),39,12.4,38.2,34.4,24.7,479
39083,"""Knox, (OH)""",368.4 - 392.6 (17),35.6,9.9,33.1,24.7,21.4,371.4
39085,"""Lake, (OH)""",348.2 - 368.3 (18),35.1,8.6,27.4,20.6,20,360.2
39087,"""Lawrence, (OH)""",418.8 - 530.7 (17),38.5,16.6,40.5,35.4,25.9,439.9
