cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
40001,"""Adair, (OK)""",524.3 - 658.0 (15),41,18,43.3,20.6,31.1,576.2
40003,"""Alfalfa, (OK)""",412.2 - 451.4 (15),40.4,7.1,39.9,28.9,20.5,419.8
40005,"""Atoka, (OK)""",475.3 - 524.2 (15),41.4,9.7,31.5,29,25.1,504.1
40007,"""Beaver, (OK)""",451.5 - 475.2 (16),41,10.4,32,23.4,18.9,452.4
40009,"""Beckham, (OK)""",451.5 - 475.2 (16),37.5,12.6,34.3,25.7,21.3,465.9
40011,"""Blaine, (OK)""",412.2 - 451.4 (15),41.9,11.3,35,29.8,21.9,437.6
40013,"""Bryan, (OK)""",412.2 - 451.4 (15),39.4,11.1,33,29.2,23.5,422.1
40015,"""Caddo, (OK)""",451.5 - 475.2 (16),38.3,13.3,43,30.6,24.5,466.8
40017,"""Canadian, (OK)""",346.7 - 412.1 (16),35.2,10.8,35.3,24.2,18.6,346.8
40019,"""Carter, (OK)""",451.5 - 475.2 (16),38.8,10.9,36.2,36,21.9,472.5
40021,"""Cherokee, (OK)""",475.3 - 524.2 (15),37.9,17.6,42.6,31.7,24.8,499.7
40023,"""Choctaw, (OK)""",475.3 - 524.2 (15),43.9,17.1,33.6,41,26.9,524.2
40025,"""Cimarron, (OK)""",346.7 - 412.1 (16),43.9,9,27.1,25.6,19.1,356.6
40027,"""Cleveland, (OK)""",346.7 - 412.1 (16),35.2,9.9,35.5,21.5,17.3,346.7
40029,"""Coal, (OK)""",524.3 - 658.0 (15),41.7,9.7,28.7,25.6,25.2,615.8
40031,"""Comanche, (OK)""",346.7 - 412.1 (16),34.9,11.8,32.9,27.8,21.2,398.8
40033,"""Cotton, (OK)""",346.7 - 412.1 (16),41.2,9.9,33.2,36.3,23,401
40035,"""Craig, (OK)""",524.3 - 658.0 (15),41.6,12.6,32.8,33.6,25.5,539.4
40037,"""Creek, (OK)""",475.3 - 524.2 (15),37.3,10.2,35,24.4,22.5,477.2
40039,"""Custer, (OK)""",451.5 - 475.2 (16),35.2,9.7,39.4,30.6,19.9,463.9
40041,"""Delaware, (OK)""",451.5 - 475.2 (16),43.6,11.7,32.3,30.5,22.9,472.8
40043,"""Dewey, (OK)""",451.5 - 475.2 (16),41,9.4,33.3,26.6,21.1,463.9
40045,"""Ellis, (OK)""",412.2 - 451.4 (15),42.5,6.5,35.3,21.2,21.7,420.6
40047,"""Garfield, (OK)""",412.2 - 451.4 (15),37.5,9.1,35.6,28.6,20.2,426.2
40049,"""Garvin, (OK)""",475.3 - 524.2 (15),39.8,15.3,32.3,31.1,25.1,479.7
40051,"""Grady, (OK)""",346.7 - 412.1 (16),39.4,9.8,33.8,28.2,20.5,409.2
40053,"""Grant, (OK)""",412.2 - 451.4 (15),40.3,8.6,29.8,24.8,18.5,414.2
40055,"""Greer, (OK)""",451.5 - 475.2 (16),39.1,6.8,25.7,27.1,24.5,459
40057,"""Harmon, (OK)""",412.2 - 451.4 (15),40.8,11.7,26.6,16.4,20,434.8
40059,"""Harper, (OK)""",451.5 - 475.2 (16),40.4,4.3,24.6,25.9,19.4,455.1
40061,"""Haskell, (OK)""",524.3 - 658.0 (15),42,7.1,30.2,27.7,25.5,606.7
40063,"""Hughes, (OK)""",524.3 - 658.0 (15),40.8,13.9,36.4,34.2,26.6,567.7
