cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
41003,"""Benton, (OR)""",215.0 - 239.6 (8),30,5.5,21.7,13.8,13.2,223.2
41005,"""Clackamas, (OR)""",215.0 - 239.6 (8),32.4,7.9,27.6,15.1,16.3,229.3
41007,"""Clatsop, (OR)""",259.8 - 272.7 (7),36.9,7.1,31.6,19.4,17.1,267.1
41009,"""Columbia, (OR)""",272.8 - 289.8 (7),35.8,10.9,33.6,21.4,19.8,283.3
41011,"""Coos, (OR)""",289.9 - 352.6 (7),39.1,10.6,38.6,23,19.8,335.4
41013,"""Crook, (OR)""",239.7 - 259.7 (7),39,10.6,32.6,20.7,19.1,242
41015,"""Curry, (OR)""",289.9 - 352.6 (7),41.1,7.9,36.7,23.5,16.7,343.7
41017,"""Deschutes, (OR)""",215.0 - 239.6 (8),34.4,6.9,25.4,14.4,15.7,232.8
41019,"""Douglas, (OR)""",259.8 - 272.7 (7),38.7,9.6,33.8,19,20,272
41021,"""Gilliam, (OR)""",239.7 - 259.7 (7),39.8,9.5,31.6,23.6,17.1,250
41027,"""Hood River, (OR)""",239.7 - 259.7 (7),33.8,8,29.4,18.4,16.7,249.2
41029,"""Jackson, (OR)""",215.0 - 239.6 (8),36,8.9,26.7,14.8,19.4,236.7
41031,"""Jefferson, (OR)""",272.8 - 289.8 (7),36.3,16.9,36.9,24.3,20.8,279.8
41033,"""Josephine, (OR)""",239.7 - 259.7 (7),39.1,9.3,32.2,20,20.7,256.5
41035,"""Klamath, (OR)""",289.9 - 352.6 (7),36.5,9.5,30.1,21.8,20.3,299.8
41037,"""Lake, (OR)""",272.8 - 289.8 (7),39.5,7.6,36.5,20.4,20.6,289.8
41039,"""Lane, (OR)""",259.8 - 272.7 (7),34.4,8.4,28.5,15.7,16.2,259.8
41041,"""Lincoln, (OR)""",239.7 - 259.7 (7),38.8,8.5,36.6,22.2,17.7,254.2
41043,"""Linn, (OR)""",289.9 - 352.6 (7),35.1,8.5,34.5,20.7,18.1,317.6
41047,"""Marion, (OR)""",215.0 - 239.6 (8),33.2,10.1,34.8,17.9,17.8,239.6
41051,"""Multnomah, (OR)""",239.7 - 259.7 (7),30.7,8,23.9,14.2,16.4,259.7
41053,"""Polk, (OR)""",215.0 - 239.6 (8),33.3,10.1,35.2,18.1,16.7,225.5
41055,"""Sherman, (OR)""",259.8 - 272.7 (7),37.9,6,34.9,25.9,17.5,269.3
41057,"""Tillamook, (OR)""",215.0 - 239.6 (8),38.3,6.2,38.4,25.9,17.2,239.1
41065,"""Wasco, (OR)""",239.7 - 259.7 (7),35.5,6.9,28.1,22.2,18.6,252.1
41067,"""Washington, (OR)""",215.0 - 239.6 (8),28.2,8.1,28.8,14.2,13.3,215
41069,"""Wheeler, (OR)""",272.8 - 289.8 (7),41.9,10.4,26,22.8,18.3,279.1
41071,"""Yamhill, (OR)""",259.8 - 272.7 (7),33,11,34.7,22.8,16.9,267.8
41023,"""Grant, (OR)""",272.8 - 289.8 (7),40,5.3,23,17.9,17.9,288.9
41025,"""Harney, (OR)""",289.9 - 352.6 (7),38,12.4,31.7,24.4,19.5,294
41045,"""Malheur, (OR)""",289.9 - 352.6 (7),36.1,8.5,40,22.4,21.1,352.6
41001,"""Baker, (OR)""",289.9 - 352.6 (7),37.9,9.7,30.3,22.9,19,327
41049,"""Morrow, (OR)""",259.8 - 272.7 (7),35.9,13.3,36.9,19.2,19.9,272.7
41059,"""Umatilla, (OR)""",259.8 - 272.7 (7),34.2,11.9,35.4,23.9,20.3,271.5
41061,"""Union, (OR)""",272.8 - 289.8 (7),35.6,10,40.2,18.2,18.2,289.8
41063,"""Wallowa, (OR)""",272.8 - 289.8 (7),38.9,10.2,26.6,20.9,16.9,288.7
