cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
45001,"""Abbeville, (SC)""",324.9 - 343.3 (9),41.2,13.6,36.3,25.9,20.8,338.5
45003,"""Aiken, (SC)""",324.9 - 343.3 (9),40.1,11.2,37.1,27.3,18.1,338.3
45005,"""Allendale, (SC)""",428.3 - 656.8 (9),39.9,19.5,36.8,29.1,24.8,429.8
45007,"""Anderson, (SC)""",343.4 - 428.2 (9),37.9,13.4,35.4,27.3,19.1,380.5
45009,"""Bamberg, (SC)""",343.4 - 428.2 (9),39.9,18,40.2,35.7,19.9,385
45011,"""Barnwell, (SC)""",343.4 - 428.2 (9),40.8,15.3,40.9,30.1,21.8,383.2
45013,"""Beaufort, (SC)""",186.9 - 309.9 (10),38.6,6.4,25.4,16.3,14.5,186.9
45017,"""Calhoun, (SC)""",324.9 - 343.3 (9),41.4,11.7,45.1,33.5,18.7,325.2
45021,"""Cherokee, (SC)""",428.3 - 656.8 (9),39.6,14.1,44.4,36.4,22.2,510.8
45023,"""Chester, (SC)""",343.4 - 428.2 (9),40.5,13.8,42.7,33,23.1,410.6
45029,"""Colleton, (SC)""",428.3 - 656.8 (9),40.5,14.8,40.6,34.8,21.3,452.7
45037,"""Edgefield, (SC)""",310.0 - 324.8 (9),40,16.5,38,31.7,19.4,312.7
45039,"""Fairfield, (SC)""",343.4 - 428.2 (9),41.6,17,45.6,34.2,21.6,398.1
45045,"""Greenville, (SC)""",186.9 - 309.9 (10),36.7,9.8,29.3,23.3,16.6,289.5
45047,"""Greenwood, (SC)""",310.0 - 324.8 (9),37.4,10.8,36.7,27,20.2,324.8
45049,"""Hampton, (SC)""",343.4 - 428.2 (9),38.7,15.7,39.7,36.2,22.4,355.9
45053,"""Jasper, (SC)""",186.9 - 309.9 (10),40.1,15.7,36.8,24.2,22.5,291
45057,"""Lancaster, (SC)""",310.0 - 324.8 (9),39.1,12.3,32.7,24.2,17.7,323.1
45059,"""Laurens, (SC)""",324.9 - 343.3 (9),39.7,13.4,36.2,30.3,22.6,332.3
45063,"""Lexington, (SC)""",186.9 - 309.9 (10),36.8,10.6,31.5,23.3,18.6,308.6
45065,"""McCormick, (SC)""",186.9 - 309.9 (10),45.3,13.3,38.7,27.9,18.9,284.3
45071,"""Newberry, (SC)""",324.9 - 343.3 (9),39.9,12.6,35.6,31,20,325.5
45073,"""Oconee, (SC)""",324.9 - 343.3 (9),42,11.2,33.9,20.9,18.9,343.3
45075,"""Orangeburg, (SC)""",310.0 - 324.8 (9),39.5,14.8,41.9,28,19.9,320
45077,"""Pickens, (SC)""",343.4 - 428.2 (9),35.7,10.7,30.3,21.5,18.4,393.3
45079,"""Richland, (SC)""",324.9 - 343.3 (9),31.5,11.7,34,23.3,16.3,336.9
45081,"""Saluda, (SC)""",310.0 - 324.8 (9),40.2,15.2,38.7,31,20.1,324.5
45083,"""Spartanburg, (SC)""",324.9 - 343.3 (9),37.1,11.1,34.7,27.2,19,338.7
45087,"""Union, (SC)""",343.4 - 428.2 (9),41.1,13.2,46.7,31.4,21.6,428.2
45091,"""York, (SC)""",186.9 - 309.9 (10),36.9,10.5,31.5,22.8,18.1,263
45015,"""Berkeley, (SC)""",186.9 - 309.9 (10),35.2,12.8,37.6,24.2,17.1,257.8
45019,"""Charleston, (SC)""",186.9 - 309.9 (10),33.6,10.3,28.4,19.6,14.1,254.6
45025,"""Chesterfield, (SC)""",428.3 - 656.8 (9),40.5,14.5,37.2,32.5,23.6,487.8
45027,"""Clarendon, (SC)""",324.9 - 343.3 (9),41.1,14.5,41.5,29.9,21.5,331.4
45031,"""Darlington, (SC)""",428.3 - 656.8 (9),42.5,15.1,36.5,30.6,20,558.8
45033,"""Dillon, (SC)""",428.3 - 656.8 (9),40.8,16.3,41.1,31.7,25.8,478
45035,"""Dorchester, (SC)""",186.9 - 309.9 (10),35.3,10.4,33.3,23.4,16.9,272.6
45041,"""Florence, (SC)""",343.4 - 428.2 (9),39.9,14.6,39.5,31.2,19.6,424.8
45043,"""Georgetown, (SC)""",310.0 - 324.8 (9),40.9,14.1,38,26.1,17.2,323.5
45051,"""Horry, (SC)""",310.0 - 324.8 (9),40.8,10.7,33.2,24.7,18.1,323.5
45055,"""Kershaw, (SC)""",310.0 - 324.8 (9),38.8,13.7,37.3,25.9,19.6,313.6
45061,"""Lee, (SC)""",428.3 - 656.8 (9),40.2,15.4,40.3,35.4,23.4,527.8
45067,"""Marion, (SC)""",428.3 - 656.8 (9),42,17.5,40.8,33.7,21.6,490.9
45069,"""Marlboro, (SC)""",428.3 - 656.8 (9),40.9,15.3,42,34.2,24.6,656.8
45085,"""Sumter, (SC)""",186.9 - 309.9 (10),37.4,13.1,40.3,28.3,20.1,309.9
45089,"""Williamsburg, (SC)""",310.0 - 324.8 (9),42.3,19.6,45.7,33,20.3,311.3
