cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
46003,"""Aurora, (SD)""",318.6 - 337.5 (13),32.3,20,31.4,19.4,16.9,319.8
46005,"""Beadle, (SD)""",294.3 - 318.5 (13),32.9,7.8,36.5,18.5,19.7,317.2
46007,"""Bennett, (SD)""",337.6 - 678.8 (13),31.5,14.3,41.7,24.4,31,404.6
46009,"""Bon Homme, (SD)""",294.3 - 318.5 (13),31.4,7.2,40.2,22.4,19.8,311.1
46011,"""Brookings, (SD)""",280.1 - 294.2 (13),24.1,8.1,30.2,16.4,15,285.7
46015,"""Brule, (SD)""",318.6 - 337.5 (13),31.8,6.4,34.6,24.7,19.3,327
46017,"""Buffalo, (SD)""",337.6 - 678.8 (13),29.2,19.1,50.1,27.6,38.2,678.8
46023,"""Charles Mix, (SD)""",318.6 - 337.5 (13),32.5,7.2,40.9,16.2,23.6,320.6
46027,"""Clay, (SD)""",318.6 - 337.5 (13),23.9,11.6,32,21.2,15.8,330.7
46033,"""Custer, (SD)""",81.1 - 280.0 (14),35.5,12.9,32.9,23.7,16,276.8
46035,"""Davison, (SD)""",294.3 - 318.5 (13),30.5,9.7,29.6,22.6,17.8,302.5
46043,"""Douglas, (SD)""",294.3 - 318.5 (13),33.8,8.9,28.3,21.4,16.8,307.4
46047,"""Fall River, (SD)""",337.6 - 678.8 (13),35.7,9.9,38.9,20.7,18.2,382.8
46053,"""Gregory, (SD)""",337.6 - 678.8 (13),35.2,5.8,27.3,28.3,18.8,351.2
46055,"""Haakon, (SD)""",280.1 - 294.2 (13),35.1,7.1,28.8,25.3,19.6,281.1
46059,"""Hand, (SD)""",318.6 - 337.5 (13),32.9,5.8,37.7,21.5,16,324.9
46061,"""Hanson, (SD)""",294.3 - 318.5 (13),30.8,4.7,25,16.6,17.6,313.1
46065,"""Hughes, (SD)""",81.1 - 280.0 (14),29.5,10.9,31.8,21.6,16.8,217.6
46067,"""Hutchinson, (SD)""",294.3 - 318.5 (13),33.5,8.6,34.2,17.4,16.9,306.2
46069,"""Hyde, (SD)""",280.1 - 294.2 (13),34,4.1,22.2,18.8,17.5,292.2
46071,"""Jackson, (SD)""",318.6 - 337.5 (13),32.4,14.4,39.5,28.4,29.9,319
46073,"""Jerauld, (SD)""",337.6 - 678.8 (13),33.8,15,24.3,22.9,16.9,395.7
46075,"""Jones, (SD)""",280.1 - 294.2 (13),34.2,9.1,26.8,21.6,16.8,294.2
46077,"""Kingsbury, (SD)""",280.1 - 294.2 (13),33.2,9.5,29.7,25.4,16.6,285.7
46079,"""Lake, (SD)""",81.1 - 280.0 (14),33.4,5.6,32.3,22.3,16.8,280
46081,"""Lawrence, (SD)""",81.1 - 280.0 (14),32.1,7.2,26.3,16.5,17.1,267.3
46083,"""Lincoln, (SD)""",81.1 - 280.0 (14),27.5,8.8,31.2,19.6,15.1,231.5
46085,"""Lyman, (SD)""",337.6 - 678.8 (13),32,11.9,37.5,28.6,24.2,374.9
46087,"""McCook, (SD)""",337.6 - 678.8 (13),31.9,9.7,35,20.9,17.4,392.8
46093,"""Meade, (SD)""",280.1 - 294.2 (13),29.3,7.7,28.8,20,17.8,282.2
46095,"""Mellette, (SD)""",337.6 - 678.8 (13),32.5,11.9,40.5,28.7,31.7,372.3
46097,"""Miner, (SD)""",294.3 - 318.5 (13),33.7,6.9,29.4,17.5,17.6,318
46099,"""Minnehaha, (SD)""",318.6 - 337.5 (13),27.8,8.2,31.1,20.7,17.3,328.6
46101,"""Moody, (SD)""",318.6 - 337.5 (13),32.3,8.4,39.1,27,19.3,326.6
46103,"""Pennington, (SD)""",294.3 - 318.5 (13),31.7,8.2,28.9,20.8,18.2,305
46111,"""Sanborn, (SD)""",318.6 - 337.5 (13),31.9,15.3,31.3,32.1,18,325.6
46102,"""Oglala Lakota, (SD)""",81.1 - 280.0 (14),27,20.1,39.9,26.9,41.8,81.1
46117,"""Stanley, (SD)""",81.1 - 280.0 (14),31.1,9.7,25.9,23.2,15.2,144.8
46121,"""Todd, (SD)""",337.6 - 678.8 (13),28.2,17.2,40.2,26,40.9,394.6
46123,"""Tripp, (SD)""",294.3 - 318.5 (13),33.9,8.8,36.4,22.2,19.8,318.5
46125,"""Turner, (SD)""",337.6 - 678.8 (13),31.8,8.2,38.1,20.3,17,402.5
46127,"""Union, (SD)""",81.1 - 280.0 (14),31.8,7.2,33.7,15.8,16,231.1
46135,"""Yankton, (SD)""",318.6 - 337.5 (13),31.5,8.4,36.1,18.6,18.9,326.8
46013,"""Brown, (SD)""",81.1 - 280.0 (14),31.1,10.7,35,21.4,17.5,279.6
46019,"""Butte, (SD)""",280.1 - 294.2 (13),32.5,9.3,32.7,20.6,21.2,280.1
46021,"""Campbell, (SD)""",337.6 - 678.8 (13),35.2,5,28.5,18.6,15.3,349.9
46025,"""Clark, (SD)""",294.3 - 318.5 (13),32.9,9.4,33.3,25.7,19.3,302.7
46029,"""Codington, (SD)""",280.1 - 294.2 (13),30,8.7,34.2,22,19,287.4
46031,"""Corson, (SD)""",337.6 - 678.8 (13),32.4,19.1,45,27.2,34.2,470.3
46037,"""Day, (SD)""",318.6 - 337.5 (13),35,8.1,38.7,25.3,19.2,324.8
46039,"""Deuel, (SD)""",280.1 - 294.2 (13),33.2,8.3,40.5,19.9,17.3,280.2
46041,"""Dewey, (SD)""",337.6 - 678.8 (13),29,18.7,42.3,30.3,31.8,420.6
46045,"""Edmunds, (SD)""",280.1 - 294.2 (13),32.5,6.7,31.5,28.8,16.7,282.9
46049,"""Faulk, (SD)""",280.1 - 294.2 (13),33.6,6.4,40,24.7,15.9,282.9
46051,"""Grant, (SD)""",294.3 - 318.5 (13),32.7,5.6,25.1,18.7,17.9,305.9
46057,"""Hamlin, (SD)""",280.1 - 294.2 (13),30.5,9.1,34,20.6,17.5,288.3
46063,"""Harding, (SD)""",294.3 - 318.5 (13),32.1,5.9,41.2,23,18.5,307.1
46089,"""McPherson, (SD)""",280.1 - 294.2 (13),35.7,12,27.8,25,17.9,289.4
46091,"""Marshall, (SD)""",81.1 - 280.0 (14),32.2,11.2,26.7,20.9,17,247.5
46105,"""Perkins, (SD)""",81.1 - 280.0 (14),34.6,7.7,30.4,20.2,16.9,267.8
46107,"""Potter, (SD)""",81.1 - 280.0 (14),34.6,6.1,31.3,28.1,15.6,277.8
46109,"""Roberts, (SD)""",318.6 - 337.5 (13),33.3,14.5,41.1,37.1,22.5,337.5
46115,"""Spink, (SD)""",294.3 - 318.5 (13),31.8,7.5,39.8,21.9,17.7,303.6
46119,"""Sully, (SD)""",81.1 - 280.0 (14),32.7,10.4,27.4,20.2,15.6,222.7
