cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
47005,"""Benton, (TN)""",450.2 - 492.4 (19),43.8,8.1,32.9,23.5,27.7,476.6
47017,"""Carroll, (TN)""",492.5 - 660.9 (19),40.6,9.3,33.6,31.5,23.9,641.3
47023,"""Chester, (TN)""",412.2 - 450.1 (19),38.1,15.4,34.6,24.5,23.6,440.4
47033,"""Crockett, (TN)""",492.5 - 660.9 (19),40.2,14.7,46.1,38.1,26.2,600.8
47039,"""Decatur, (TN)""",450.2 - 492.4 (19),43.3,13,33.6,33.2,25.3,491.8
47043,"""Dickson, (TN)""",450.2 - 492.4 (19),38.3,12.1,27.5,20.7,24.7,486.4
47045,"""Dyer, (TN)""",492.5 - 660.9 (19),38.8,13.2,37.9,37.4,25.5,638.5
47047,"""Fayette, (TN)""",377.9 - 412.1 (19),39.9,11.8,44,30.8,21.8,392.4
47053,"""Gibson, (TN)""",492.5 - 660.9 (19),39.5,17.1,41.2,31.2,25,548
47069,"""Hardeman, (TN)""",450.2 - 492.4 (19),39.9,18.9,35.5,32.2,28.9,459.6
47071,"""Hardin, (TN)""",492.5 - 660.9 (19),42.8,11.8,34.6,34.8,26.4,579.4
47075,"""Haywood, (TN)""",412.2 - 450.1 (19),39.4,15,47.3,29.4,25.7,447.3
47077,"""Henderson, (TN)""",492.5 - 660.9 (19),40.1,17.1,38.3,32.3,27.1,492.7
47079,"""Henry, (TN)""",492.5 - 660.9 (19),41.8,15.5,34.2,31.9,25,529.2
47081,"""Hickman, (TN)""",412.2 - 450.1 (19),39.6,13.3,37.6,25.4,26.4,446.9
47083,"""Houston, (TN)""",450.2 - 492.4 (19),41.9,8.4,25.6,26.3,27.1,470.8
47085,"""Humphreys, (TN)""",450.2 - 492.4 (19),41.2,11.1,35.3,31,25.2,488.2
47095,"""Lake, (TN)""",492.5 - 660.9 (19),38.3,9.6,34.9,31.5,30.7,630
47097,"""Lauderdale, (TN)""",492.5 - 660.9 (19),40.4,20.2,47.3,35.2,29,536.4
47099,"""Lawrence, (TN)""",450.2 - 492.4 (19),40.4,11.4,36.7,40.7,26.4,492.4
47101,"""Lewis, (TN)""",412.2 - 450.1 (19),42.4,15.4,43.1,29.7,25.9,413.4
47109,"""McNairy, (TN)""",492.5 - 660.9 (19),42.7,16,31.5,35.9,27.4,594.8
47113,"""Madison, (TN)""",377.9 - 412.1 (19),38.4,13.5,40.3,29.6,22.2,404
47125,"""Montgomery, (TN)""",377.9 - 412.1 (19),31.1,13.6,36.4,26.8,22.5,382.8
47131,"""Obion, (TN)""",450.2 - 492.4 (19),41.3,14.7,39.1,38.4,26,488.3
47135,"""Perry, (TN)""",450.2 - 492.4 (19),43.3,14.2,29.5,24.7,28.9,471.7
47157,"""Shelby, (TN)""",377.9 - 412.1 (19),34.1,10.8,34.7,26.2,21,394.4
47161,"""Stewart, (TN)""",247.0 - 377.8 (19),41.3,10.2,29.7,20.3,24.4,360.6
47167,"""Tipton, (TN)""",412.2 - 450.1 (19),37.4,14.2,36.9,30.6,24.7,412.7
47181,"""Wayne, (TN)""",377.9 - 412.1 (19),40.2,13.7,33.4,37.9,27.6,378.4
47183,"""Weakley, (TN)""",377.9 - 412.1 (19),38.4,12,39.9,31.2,23.9,393.9
47001,"""Anderson, (TN)""",377.9 - 412.1 (19),40,13.6,33.7,27.1,23.1,391.9
47003,"""Bedford, (TN)""",492.5 - 660.9 (19),38.7,8.7,34.2,31.3,25.9,506.1
47007,"""Bledsoe, (TN)""",247.0 - 377.8 (19),40.9,8,37,29.4,27.9,365.3
47009,"""Blount, (TN)""",247.0 - 377.8 (19),38.3,8.9,36.2,22.6,20.8,299
47011,"""Bradley, (TN)""",450.2 - 492.4 (19),37.8,12.8,37.6,29,23.6,463
47013,"""Campbell, (TN)""",492.5 - 660.9 (19),41.8,12,30.9,28.9,27.8,510.6
47015,"""Cannon, (TN)""",377.9 - 412.1 (19),40.8,9.2,38.6,23.9,26.3,380.2
47021,"""Cheatham, (TN)""",412.2 - 450.1 (19),38.1,8.2,29.7,18.4,23.8,419.7
47027,"""Clay, (TN)""",450.2 - 492.4 (19),44.9,11.8,31.7,29.6,28.1,458.5
47031,"""Coffee, (TN)""",492.5 - 660.9 (19),38.5,12.8,30.8,33.4,23.7,498
47035,"""Cumberland, (TN)""",247.0 - 377.8 (19),44.6,12.6,35.4,27.4,23.7,327.4
47037,"""Davidson, (TN)""",247.0 - 377.8 (19),32.3,9,29.2,23.1,20.9,349.3
47041,"""DeKalb, (TN)""",377.9 - 412.1 (19),40.3,20.6,35.3,26.4,24.9,410.1
47049,"""Fentress, (TN)""",412.2 - 450.1 (19),43.9,11.1,31,24.8,28.3,425
47051,"""Franklin, (TN)""",412.2 - 450.1 (19),40.6,10.9,32.8,24.1,23.4,449.2
47055,"""Giles, (TN)""",492.5 - 660.9 (19),40.7,7.8,32.6,39,24,497.5
47061,"""Grundy, (TN)""",492.5 - 660.9 (19),43.5,13.1,33.2,19.5,28.9,504.8
47065,"""Hamilton, (TN)""",247.0 - 377.8 (19),38.1,10.8,30.9,23.2,19.8,362.4
47087,"""Jackson, (TN)""",377.9 - 412.1 (19),43.9,11.3,36.6,33.9,27.2,402.8
47093,"""Knox, (TN)""",247.0 - 377.8 (19),35.3,10,29,21.1,18.4,349.2
47103,"""Lincoln, (TN)""",492.5 - 660.9 (19),41.2,9.6,34.8,34.8,25.2,504.5
47105,"""Loudon, (TN)""",247.0 - 377.8 (19),42.1,14.8,25.3,24,20.2,294.4
47107,"""McMinn, (TN)""",450.2 - 492.4 (19),39.9,10.3,36.1,32.2,24.7,470
47111,"""Macon, (TN)""",412.2 - 450.1 (19),40.3,15.5,35.4,36.7,28.4,418.3
47115,"""Marion, (TN)""",412.2 - 450.1 (19),41.3,15,32.7,31.1,25.9,447.1
47117,"""Marshall, (TN)""",492.5 - 660.9 (19),39,10.7,42.2,29.1,24.8,492.6
47119,"""Maury, (TN)""",247.0 - 377.8 (19),37.3,11.5,31.7,30.9,21.7,351.6
47121,"""Meigs, (TN)""",450.2 - 492.4 (19),41,14.8,31.3,33.3,25.9,485.4
47123,"""Monroe, (TN)""",377.9 - 412.1 (19),42.1,8.4,36.4,24.3,26,379.9
47127,"""Moore, (TN)""",450.2 - 492.4 (19),40,8.8,29.3,18.6,23.3,488.9
47129,"""Morgan, (TN)""",247.0 - 377.8 (19),41.6,18.7,37.7,30.3,29.9,375.4
47133,"""Overton, (TN)""",450.2 - 492.4 (19),42,8.9,35.1,28.3,27.5,460.6
47137,"""Pickett, (TN)""",377.9 - 412.1 (19),45,8.2,30.7,31.2,25.9,391.2
47139,"""Polk, (TN)""",450.2 - 492.4 (19),42,12.3,40.6,31.8,25.3,463.8
47141,"""Putnam, (TN)""",247.0 - 377.8 (19),36.4,8.5,28.3,24.5,23.3,366.7
47143,"""Rhea, (TN)""",412.2 - 450.1 (19),40.9,17.7,39.5,27.1,26.3,418.9
47145,"""Roane, (TN)""",412.2 - 450.1 (19),42.7,11.3,36,21.2,22.1,444.7
47147,"""Robertson, (TN)""",412.2 - 450.1 (19),37.2,8.4,37.6,30.2,23.4,422.1
47149,"""Rutherford, (TN)""",247.0 - 377.8 (19),32.3,11.6,33.2,23,20,328.9
47151,"""Scott, (TN)""",450.2 - 492.4 (19),41,16.3,39.9,33.1,29.4,460
47153,"""Sequatchie, (TN)""",247.0 - 377.8 (19),41.6,10.1,36.8,22.9,24.7,374.1
47159,"""Smith, (TN)""",377.9 - 412.1 (19),39.8,11.2,31.7,25.6,26.1,379.9
47165,"""Sumner, (TN)""",247.0 - 377.8 (19),36.6,8.8,26.8,30.5,20.4,353.7
47169,"""Trousdale, (TN)""",247.0 - 377.8 (19),35.8,10.9,24.8,22.1,27.5,350.7
47175,"""Van Buren, (TN)""",247.0 - 377.8 (19),43.4,9.1,33.2,24.8,28.3,357.7
47177,"""Warren, (TN)""",377.9 - 412.1 (19),41.3,14.1,35.7,32.5,27.5,382.6
47185,"""White, (TN)""",247.0 - 377.8 (19),42.2,15.9,37.2,23,26.5,377.8
47187,"""Williamson, (TN)""",247.0 - 377.8 (19),33.8,6.7,22,16.7,13.8,247
47189,"""Wilson, (TN)""",247.0 - 377.8 (19),37.1,9.9,33.2,20.6,20,324.8
47019,"""Carter, (TN)""",412.2 - 450.1 (19),42.4,16,38,27.9,26.2,425.9
47025,"""Claiborne, (TN)""",492.5 - 660.9 (19),40.8,14.4,30.6,26.8,26.4,525.4
47029,"""Cocke, (TN)""",492.5 - 660.9 (19),43.9,16.1,40.8,30.1,28.9,660.9
47057,"""Grainger, (TN)""",412.2 - 450.1 (19),42.3,9,30,35.8,26.9,414.2
47059,"""Greene, (TN)""",412.2 - 450.1 (19),42.1,17.7,37.2,30.3,25.6,450.1
47063,"""Hamblen, (TN)""",377.9 - 412.1 (19),40.5,12.3,34.6,34.7,25.8,412.1
47067,"""Hancock, (TN)""",412.2 - 450.1 (19),43,8.4,29.1,21.1,29.1,445
47073,"""Hawkins, (TN)""",450.2 - 492.4 (19),41.6,13.9,31.8,32.8,26.5,478.3
47089,"""Jefferson, (TN)""",377.9 - 412.1 (19),39.9,13.3,41.5,26.5,23.9,379.7
47091,"""Johnson, (TN)""",377.9 - 412.1 (19),42.1,11.2,29.7,25,27.8,383.3
47155,"""Sevier, (TN)""",377.9 - 412.1 (19),40.1,14.8,43.8,34,24.3,389.5
47163,"""Sullivan, (TN)""",450.2 - 492.4 (19),39.4,10.5,33.6,29.5,23.1,457.6
47171,"""Unicoi, (TN)""",412.2 - 450.1 (19),42.7,14.9,27.9,19.6,24.8,446.9
47173,"""Union, (TN)""",412.2 - 450.1 (19),42.1,13.1,33.4,26.7,29,432.3
47179,"""Washington, (TN)""",377.9 - 412.1 (19),37.9,11.1,33.9,24.7,21,379.4
