cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
48001,"""Anderson, (TX)""",385.9 - 428.2 (51),36,11.4,37.3,26.5,22,422.6
48005,"""Angelina, (TX)""",385.9 - 428.2 (51),37,13.5,39.6,32.1,19.7,389.6
48007,"""Aransas, (TX)""",318.0 - 352.4 (51),42.7,10.5,37.7,32.4,17.5,349.2
48013,"""Atascosa, (TX)""",352.5 - 385.8 (51),37.1,15.7,40,35.5,16.6,366.5
48015,"""Austin, (TX)""",192.4 - 317.9 (51),37.9,7.7,32,25.3,16.3,293.6
48019,"""Bandera, (TX)""",192.4 - 317.9 (51),42.2,11.6,29.1,24.4,16.4,304.4
48021,"""Bastrop, (TX)""",318.0 - 352.4 (51),36.4,11.4,41.3,26.5,17.6,333.2
48025,"""Bee, (TX)""",385.9 - 428.2 (51),34.4,10.4,33.7,19,20.3,414
48027,"""Bell, (TX)""",318.0 - 352.4 (51),31.9,11.7,32.6,24.3,18.2,334.9
48029,"""Bexar, (TX)""",318.0 - 352.4 (51),32.3,9.7,29.7,20.9,14.6,338.8
48031,"""Blanco, (TX)""",192.4 - 317.9 (51),41,8.6,22.6,21,15.3,258.5
48035,"""Bosque, (TX)""",385.9 - 428.2 (51),41.5,8.4,26.3,24.8,17.9,396.8
48039,"""Brazoria, (TX)""",318.0 - 352.4 (51),33.7,11.1,31.7,31.5,15.5,341.7
48041,"""Brazos, (TX)""",318.0 - 352.4 (51),29.5,10.5,31.2,20.1,14.9,324.9
48043,"""Brewster, (TX)""",192.4 - 317.9 (51),38.7,9.9,26.2,20.1,14.2,253.6
48047,"""Brooks, (TX)""",352.5 - 385.8 (51),40.8,7.9,35,22.2,17.3,381.7
48049,"""Brown, (TX)""",428.3 - 592.0 (50),38.5,10.8,37.1,29.4,17.9,450.3
48051,"""Burleson, (TX)""",428.3 - 592.0 (50),39.2,11,46.2,25.4,19,541.9
48053,"""Burnet, (TX)""",192.4 - 317.9 (51),39,14.2,33.6,24.1,16.6,299.4
48055,"""Caldwell, (TX)""",318.0 - 352.4 (51),36,11.8,39,22.8,18.3,346.9
48057,"""Calhoun, (TX)""",318.0 - 352.4 (51),37.9,10,32,20.8,16.8,341.6
48061,"""Cameron, (TX)""",192.4 - 317.9 (51),36.3,11.8,31.2,24.4,17.2,291.3
48071,"""Chambers, (TX)""",385.9 - 428.2 (51),34.6,8.4,32.7,24.3,18.3,386
48073,"""Cherokee, (TX)""",385.9 - 428.2 (51),38.3,11.1,44.2,33.9,20,409.9
48081,"""Coke, (TX)""",192.4 - 317.9 (51),42.1,4.7,27.9,20.7,17.2,316.6
48083,"""Coleman, (TX)""",428.3 - 592.0 (50),42.9,12.7,22.2,22.2,19.1,431.8
48089,"""Colorado, (TX)""",352.5 - 385.8 (51),39.3,9.6,24.7,28.1,17.2,384.4
48091,"""Comal, (TX)""",192.4 - 317.9 (51),37.3,6.2,29.5,20.4,14.7,300.5
48093,"""Comanche, (TX)""",428.3 - 592.0 (50),41.3,8.4,24.9,22.1,17.4,472.2
48095,"""Concho, (TX)""",318.0 - 352.4 (51),42.1,5.4,19.6,21.2,19.6,318
48099,"""Coryell, (TX)""",352.5 - 385.8 (51),31.1,6.6,31.2,24.3,20.5,356.4
48103,"""Crane, (TX)""",385.9 - 428.2 (51),35,6.2,20.4,17.3,15.8,402.3
48105,"""Crockett, (TX)""",352.5 - 385.8 (51),38.6,6.8,30,22.4,15.5,363.2
48109,"""Culberson, (TX)""",318.0 - 352.4 (51),42.1,7.6,32,19.4,20.2,341.4
48123,"""DeWitt, (TX)""",318.0 - 352.4 (51),39.2,9.1,25.5,30.6,18.8,339
48127,"""Dimmit, (TX)""",318.0 - 352.4 (51),39.5,8.4,26.5,24.4,18.3,342.4
48131,"""Duval, (TX)""",352.5 - 385.8 (51),39,13.5,26,21,17.3,368.5
48135,"""Ector, (TX)""",385.9 - 428.2 (51),32.7,9.2,37.2,32.3,17.4,422
48137,"""Edwards, (TX)""",318.0 - 352.4 (51),42.4,5.7,22.9,22.4,15.9,319.9
48141,"""El Paso, (TX)""",192.4 - 317.9 (51),31.6,10.5,31.5,20,14.9,293.9
48145,"""Falls, (TX)""",352.5 - 385.8 (51),38.2,5.2,29,18.8,21.6,353.4
48149,"""Fayette, (TX)""",318.0 - 352.4 (51),40.5,9.5,24,22.1,17.6,335
48157,"""Fort Bend, (TX)""",192.4 - 317.9 (51),33.6,9.4,25.4,18.2,12.7,253.7
48161,"""Freestone, (TX)""",352.5 - 385.8 (51),39.5,13.2,39,24.2,20.5,354.5
48163,"""Frio, (TX)""",352.5 - 385.8 (51),34.2,5.5,29.4,21.2,18.6,384.1
48167,"""Galveston, (TX)""",318.0 - 352.4 (51),35.7,11.1,34.4,25.3,18.2,321.8
48171,"""Gillespie, (TX)""",192.4 - 317.9 (51),41.6,6.9,24.4,24.1,14,257.1
48173,"""Glasscock, (TX)""",192.4 - 317.9 (51),36.8,6.7,26.3,18.5,17.8,302.1
48175,"""Goliad, (TX)""",192.4 - 317.9 (51),40.1,9,31.1,24.2,16.4,315.5
48177,"""Gonzales, (TX)""",318.0 - 352.4 (51),38.8,15.5,32.8,24.3,18.7,324.9
48185,"""Grimes, (TX)""",352.5 - 385.8 (51),38.8,14.3,40.6,28.9,20.9,382.6
48187,"""Guadalupe, (TX)""",318.0 - 352.4 (51),33.9,9.2,33.3,20.2,15.3,329.1
48193,"""Hamilton, (TX)""",318.0 - 352.4 (51),41.3,8.5,25.7,21.6,19.2,320.6
48199,"""Hardin, (TX)""",428.3 - 592.0 (50),37.3,7.2,37.1,25.3,20.3,477.3
48201,"""Harris, (TX)""",192.4 - 317.9 (51),34.9,10.1,29.9,22,15.9,307.7
48209,"""Hays, (TX)""",192.4 - 317.9 (51),31.1,8.8,31.7,17.2,14.8,237.1
48215,"""Hidalgo, (TX)""",192.4 - 317.9 (51),33.2,11.3,38.3,24.4,15.1,314
