cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
49001,"""Beaver, (UT)""",290.3 - 306.7 (6),34.6,8.9,27.2,18.4,12.5,305.6
49003,"""Box Elder, (UT)""",322.8 - 460.9 (5),33.3,9.4,34,17.9,11.4,352.7
49005,"""Cache, (UT)""",256.1 - 290.2 (6),28.4,6.9,25.1,14.4,9.7,290.2
49007,"""Carbon, (UT)""",322.8 - 460.9 (5),34.5,9.6,30.3,21.4,13.7,386.1
49009,"""Daggett, (UT)""",200.8 - 256.0 (6),37.4,10.8,28.5,17.4,10.7,256
49011,"""Davis, (UT)""",306.8 - 322.7 (6),30,8.8,26.8,16.2,8.5,311.4
49013,"""Duchesne, (UT)""",306.8 - 322.7 (6),32,8.8,31.6,22.2,15,313.6
49015,"""Emery, (UT)""",322.8 - 460.9 (5),35.2,10,30.9,18.2,12.5,460.9
49017,"""Garfield, (UT)""",200.8 - 256.0 (6),38.1,6.9,20.7,23.2,12.4,247.1
49019,"""Grand, (UT)""",256.1 - 290.2 (6),35.4,9.6,26.8,14.6,12.4,264.6
49021,"""Iron, (UT)""",200.8 - 256.0 (6),31.7,9.3,26.6,16.7,13.1,221.8
49023,"""Juab, (UT)""",290.3 - 306.7 (6),32.8,7.7,28.2,18.3,13.2,306.3
49025,"""Kane, (UT)""",306.8 - 322.7 (6),37,6.7,27.3,17.1,11,307.6
49027,"""Millard, (UT)""",290.3 - 306.7 (6),35.6,8.5,36.2,19,11.5,298.5
49029,"""Morgan, (UT)""",290.3 - 306.7 (6),31.6,5.3,22,17,9.3,301.3
49031,"""Piute, (UT)""",306.8 - 322.7 (6),39.9,6.9,22.5,21,12.8,318.5
49033,"""Rich, (UT)""",256.1 - 290.2 (6),35.9,7,24.9,29.6,11.4,261.6
49035,"""Salt Lake, (UT)""",256.1 - 290.2 (6),29.4,7.4,26.3,16.7,11.4,290
49037,"""San Juan, (UT)""",200.8 - 256.0 (6),35,12.9,38.4,22.5,18.1,220.2
49039,"""Sanpete, (UT)""",290.3 - 306.7 (6),33.4,7.8,28.7,19.3,12.2,293.6
49041,"""Sevier, (UT)""",306.8 - 322.7 (6),35.3,8.8,29.9,21.1,13.4,322.7
49043,"""Summit, (UT)""",200.8 - 256.0 (6),31.4,4.3,14.3,11.9,8.3,200.8
49045,"""Tooele, (UT)""",306.8 - 322.7 (6),30.5,11.9,37.3,25.6,12.1,312.1
49047,"""Uintah, (UT)""",322.8 - 460.9 (5),31.1,11.1,35.9,21.4,15.1,376.4
49049,"""Utah, (UT)""",290.3 - 306.7 (6),26.7,7.6,26.7,15.8,6.9,306.7
49051,"""Wasatch, (UT)""",256.1 - 290.2 (6),30,5.5,24.7,14.8,9.5,257.8
49053,"""Washington, (UT)""",200.8 - 256.0 (6),36,7,24.1,16.2,9.9,204.1
49055,"""Wayne, (UT)""",256.1 - 290.2 (6),37.5,5.8,22.4,13.2,11.4,277.5
49057,"""Weber, (UT)""",322.8 - 460.9 (5),29.4,8.5,31.7,18.7,12.4,333.4
