cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
50001,"""Addison, (VT)""",324.1 - 332.1 (3),30.9,6.3,25,18.5,12.9,324.5
50003,"""Bennington, (VT)""",332.2 - 369.5 (2),33.1,8.6,30.2,18.4,15.1,344.2
50005,"""Caledonia, (VT)""",306.0 - 324.0 (3),32.7,7,29.9,21.8,17.7,314.8
50007,"""Chittenden, (VT)""",239.3 - 273.4 (3),27.3,6.3,22.2,13.4,11.8,239.3
50015,"""Lamoille, (VT)""",273.5 - 305.9 (3),30.3,7,23.5,17.6,16.4,290.9
50017,"""Orange, (VT)""",306.0 - 324.0 (3),33.8,8,29,16.9,16.1,308.7
50021,"""Rutland, (VT)""",332.2 - 369.5 (2),32.5,8.6,33.7,20.5,16.1,369.5
50023,"""Washington, (VT)""",273.5 - 305.9 (3),32.5,6.5,22.1,14.7,13.8,305.9
50025,"""Windham, (VT)""",239.3 - 273.4 (3),31.8,6.2,25.6,15.6,15.3,273.4
50027,"""Windsor, (VT)""",273.5 - 305.9 (3),34.6,7.7,27.3,15.9,14.6,297.9
50009,"""Essex, (VT)""",306.0 - 324.0 (3),36.3,10.4,30.2,25.1,18.7,324
50011,"""Franklin, (VT)""",324.1 - 332.1 (3),31.2,9.5,34.6,25.1,16.7,329
50013,"""Grand Isle, (VT)""",239.3 - 273.4 (3),33.2,7.4,29.9,19.4,14.4,271.8
50019,"""Orleans, (VT)""",324.1 - 332.1 (3),35.7,7.7,32.3,22.8,19.6,332.1
