cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
51021,"""Bland, (VA)""",390.5 - 682.4 (26),38.2,12.2,27.6,25.5,19.4,429.4
51027,"""Buchanan, (VA)""",390.5 - 682.4 (26),42.3,8.8,35.9,37.2,27.5,444.5
51035,"""Carroll, (VA)""",169.2 - 282.2 (27),40.3,11.7,34.4,24.4,21.7,273
51051,"""Dickenson, (VA)""",390.5 - 682.4 (26),42.4,6.4,36,29.1,26.7,395.5
51071,"""Giles, (VA)""",390.5 - 682.4 (26),40,9.5,31.9,27.6,20.6,406.9
51077,"""Grayson, (VA)""",169.2 - 282.2 (27),41.9,6.8,33.7,26.8,22.9,282.2
51105,"""Lee, (VA)""",344.5 - 390.4 (27),41.5,10.8,34.5,26,26.4,390.4
51155,"""Pulaski, (VA)""",390.5 - 682.4 (26),39.4,10.8,32.7,31.7,20.9,399.9
51167,"""Russell, (VA)""",390.5 - 682.4 (26),40.6,15.3,33,36.9,24.4,409.6
51169,"""Scott, (VA)""",344.5 - 390.4 (27),41.2,13.3,31.4,32.6,22.9,389
51173,"""Smyth, (VA)""",390.5 - 682.4 (26),40,15.3,30.1,35.4,23.2,418.6
51185,"""Tazewell, (VA)""",390.5 - 682.4 (26),39.3,12.8,36.2,35.7,24.2,434.7
51191,"""Washington, (VA)""",308.5 - 344.4 (26),40.2,13.7,32,27.6,20.8,341.4
51195,"""Wise, (VA)""",390.5 - 682.4 (26),39.1,15.5,39.9,34,25.3,432.9
51197,"""Wythe, (VA)""",390.5 - 682.4 (26),40.1,10,37.4,29,22.3,437.9
51520,"""Bristol, (VA)""",390.5 - 682.4 (26),39.3,21.9,26.6,25.7,22.6,456.7
51640,"""Galax, (VA)""",344.5 - 390.4 (27),40.6,5.4,34.6,28,24.9,381.6
51720,"""Norton, (VA)""",390.5 - 682.4 (26),38.1,8,26.9,30.5,23.7,436.3
51001,"""Accomack, (VA)""",390.5 - 682.4 (26),40.7,11.3,37.2,31.3,21.7,420.1
51003,"""Albemarle, (VA)""",169.2 - 282.2 (27),33.5,6.8,22.7,14.3,13.1,227.7
51005,"""Alleghany, (VA)""",344.5 - 390.4 (27),41.4,10.9,33,29,22,377
51007,"""Amelia, (VA)""",344.5 - 390.4 (27),39.5,10.5,43.2,27.2,20.6,362.5
51009,"""Amherst, (VA)""",308.5 - 344.4 (26),38,14.5,28.8,26,20.1,319.9
51011,"""Appomattox, (VA)""",308.5 - 344.4 (26),38.3,15.9,40.7,28.9,21.1,336.4
51015,"""Augusta, (VA)""",169.2 - 282.2 (27),37.8,15.6,34.3,23.5,17.9,274.5
51017,"""Bath, (VA)""",308.5 - 344.4 (26),42.3,5.2,25.9,21.7,22.2,344.4
51019,"""Bedford County, (VA)""",282.3 - 308.4 (27),38.7,11.9,33.4,18.8,17.5,286.3
51023,"""Botetourt, (VA)""",282.3 - 308.4 (27),37.8,4.3,28.5,15.7,17.3,307.2
51025,"""Brunswick, (VA)""",344.5 - 390.4 (27),38.4,12.5,44.4,38,22.9,360.2
51029,"""Buckingham, (VA)""",282.3 - 308.4 (27),37.7,10.4,42.1,35,24.4,292.6
51031,"""Campbell, (VA)""",282.3 - 308.4 (27),37.6,12.9,38.2,30.1,20,308.4
51033,"""Caroline, (VA)""",282.3 - 308.4 (27),36,12.2,42.6,30,19.6,290.8
51036,"""Charles City, (VA)""",282.3 - 308.4 (27),39.8,12.8,38.2,33,21.6,307
51037,"""Charlotte, (VA)""",344.5 - 390.4 (27),41.4,13,35.6,23.3,23,350.4
51041,"""Chesterfield, (VA)""",282.3 - 308.4 (27),35,9.7,32.9,22.2,15.1,294.1
51045,"""Craig, (VA)""",169.2 - 282.2 (27),39.9,5.5,27.6,30.7,18.6,281.9
51049,"""Cumberland, (VA)""",169.2 - 282.2 (27),39.2,15.2,42.8,28.8,21.6,272.6
51053,"""Dinwiddie, (VA)""",282.3 - 308.4 (27),37.4,12.6,45.5,28.1,20.9,291.2
51057,"""Essex, (VA)""",344.5 - 390.4 (27),38.8,10.1,35.4,31.2,19.9,371
51063,"""Floyd, (VA)""",282.3 - 308.4 (27),40.6,7.6,28.6,19,19.7,288.7
51065,"""Fluvanna, (VA)""",169.2 - 282.2 (27),36.9,17.1,37.5,25.7,15.4,248.2
51067,"""Franklin County, (VA)""",282.3 - 308.4 (27),39.8,12.5,39.8,31.6,20.2,293.4
51073,"""Gloucester, (VA)""",344.5 - 390.4 (27),37.9,9.8,29.6,19.4,18.6,357.7
51075,"""Goochland, (VA)""",282.3 - 308.4 (27),37.4,6.4,28.7,19.6,15.5,283.4
51079,"""Greene, (VA)""",282.3 - 308.4 (27),37.3,6.3,30.4,20.1,19.7,293.1
51081,"""Greensville, (VA)""",390.5 - 682.4 (26),36.8,15.4,41.4,26.2,26.5,530.4
51083,"""Halifax, (VA)""",344.5 - 390.4 (27),40.1,15.7,41,28.7,21.2,357.4
51085,"""Hanover, (VA)""",282.3 - 308.4 (27),35.7,8.1,29.3,17.5,15.6,284.1
51087,"""Henrico, (VA)""",282.3 - 308.4 (27),33.5,8.8,32.4,22.4,16,284.7
51089,"""Henry, (VA)""",308.5 - 344.4 (26),41.9,17.2,37.2,27.9,23.2,341.9
51093,"""Isle of Wight, (VA)""",308.5 - 344.4 (26),36.8,9.5,44.1,28.9,17.8,330.5
51095,"""James City, (VA)""",169.2 - 282.2 (27),36.3,7.6,28.2,17.8,12.9,233.5
51097,"""King and Queen, (VA)""",344.5 - 390.4 (27),40.2,14.6,47.9,30.6,20.8,367.3
51099,"""King George, (VA)""",169.2 - 282.2 (27),33.8,12,30.1,23.4,16.8,280.4
51101,"""King William, (VA)""",308.5 - 344.4 (26),36.3,18.2,34.9,37.8,19.5,317.3
51103,"""Lancaster, (VA)""",344.5 - 390.4 (27),43.5,14.8,28.3,18.7,15.5,352.3
51109,"""Louisa, (VA)""",308.5 - 344.4 (26),38.3,9.6,35.6,21.6,20.5,340.6
51111,"""Lunenburg, (VA)""",344.5 - 390.4 (27),40,13.7,45.5,27,24,379.5
51115,"""Mathews, (VA)""",308.5 - 344.4 (26),41.4,9.3,29.5,21.1,16.7,343.4
51117,"""Mecklenburg, (VA)""",308.5 - 344.4 (26),39.8,12.7,41.7,28.9,22,343.3
51119,"""Middlesex, (VA)""",308.5 - 344.4 (26),42.3,7.8,35.9,21,17.3,336.5
51121,"""Montgomery, (VA)""",169.2 - 282.2 (27),28.5,9,29.7,19.7,16.1,276.9
51125,"""Nelson, (VA)""",308.5 - 344.4 (26),41.2,7.1,31.4,23.2,17.9,344.4
51127,"""New Kent, (VA)""",308.5 - 344.4 (26),36.1,10.5,33.7,24.2,17.6,317
51131,"""Northampton, (VA)""",344.5 - 390.4 (27),41.2,15.3,41.8,23.8,19.7,365.7
51133,"""Northumberland, (VA)""",308.5 - 344.4 (26),42.7,10.3,24.1,19.8,16.6,326.2
51135,"""Nottoway, (VA)""",390.5 - 682.4 (26),38.2,20.5,34,33.1,24.2,431.4
51137,"""Orange, (VA)""",282.3 - 308.4 (27),37.7,8.7,37.9,24.6,19.4,302.1
51141,"""Patrick, (VA)""",344.5 - 390.4 (27),42.8,11.4,34.1,28.8,22.5,360.7
