cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
53007,"""Chelan, (WA)""",165.3 - 245.0 (8),35.1,6.7,32.9,19.2,13.8,240.3
53009,"""Clallam, (WA)""",265.5 - 272.5 (8),38.8,10.7,30.4,18.8,14.7,269
53011,"""Clark, (WA)""",272.6 - 302.8 (8),33,9.1,31.8,15.4,14.2,280.5
53015,"""Cowlitz, (WA)""",302.9 - 410.5 (7),35.9,11.2,37.7,20.6,17.1,331.3
53027,"""Grays Harbor, (WA)""",302.9 - 410.5 (7),37.7,10.2,36.1,22.9,16.7,320.3
53029,"""Island, (WA)""",165.3 - 245.0 (8),36.6,6.6,30.6,15.4,12.8,245
53031,"""Jefferson, (WA)""",245.1 - 265.4 (8),38.9,4.5,22.2,9.2,11,255.4
53033,"""King, (WA)""",165.3 - 245.0 (8),28.9,7.6,22.4,13.1,10.9,224.5
53035,"""Kitsap, (WA)""",265.5 - 272.5 (8),32.3,7.8,30.3,16.9,13.8,272.5
53037,"""Kittitas, (WA)""",245.1 - 265.4 (8),30.6,6.1,27.6,20.7,13.3,250.1
53039,"""Klickitat, (WA)""",165.3 - 245.0 (8),38.1,8.5,27,15.8,14.7,203.8
53041,"""Lewis, (WA)""",302.9 - 410.5 (7),38.2,9.6,33.1,22.3,17,349.9
53045,"""Mason, (WA)""",272.6 - 302.8 (8),37.8,8.8,37.8,20.7,16.9,294.1
53047,"""Okanogan, (WA)""",265.5 - 272.5 (8),36.1,7.6,32.4,20.9,17.6,270
53049,"""Pacific, (WA)""",302.9 - 410.5 (7),40.3,9.8,38.2,22.8,16.4,410.5
53053,"""Pierce, (WA)""",272.6 - 302.8 (8),32.4,9.8,31.6,18.1,13.9,293.2
53055,"""San Juan, (WA)""",165.3 - 245.0 (8),38,3.6,20,11.5,10,165.3
53057,"""Skagit, (WA)""",245.1 - 265.4 (8),35.3,8.2,30.4,15.6,15.1,251.5
53059,"""Skamania, (WA)""",165.3 - 245.0 (8),37.4,9.4,34.7,17.5,16,219.5
53061,"""Snohomish, (WA)""",165.3 - 245.0 (8),31.3,8.3,30.1,17,13.1,242
53067,"""Thurston, (WA)""",245.1 - 265.4 (8),32.2,9,30,14,12.8,248.5
53069,"""Wahkiakum, (WA)""",302.9 - 410.5 (7),40.8,10.3,34.7,19.7,14,318.5
53073,"""Whatcom, (WA)""",165.3 - 245.0 (8),32.4,7.1,27.9,12.2,12.9,235.5
53077,"""Yakima, (WA)""",302.9 - 410.5 (7),32.4,10.9,34.3,20.5,15.5,409.5
53001,"""Adams, (WA)""",265.5 - 272.5 (8),33.1,8.7,35.3,22.7,16.6,269.1
53003,"""Asotin, (WA)""",272.6 - 302.8 (8),38.2,10.4,32.4,16.8,16.8,302.8
53005,"""Benton, (WA)""",265.5 - 272.5 (8),34.5,8.4,34.5,16,13.7,269.3
53013,"""Columbia, (WA)""",265.5 - 272.5 (8),39.2,8.5,31.6,20.6,14.6,271.1
53017,"""Douglas, (WA)""",245.1 - 265.4 (8),34.8,7.1,30.9,17.7,15.5,248.1
53019,"""Ferry, (WA)""",272.6 - 302.8 (8),38.9,10.2,31.2,16.9,19.4,288.5
53021,"""Franklin, (WA)""",245.1 - 265.4 (8),30.4,10.8,31,16.9,15,259.6
53023,"""Garfield, (WA)""",302.9 - 410.5 (7),38,9.6,34.1,25.7,13.8,308.1
53025,"""Grant, (WA)""",272.6 - 302.8 (8),34.2,8.7,33.2,22.7,17.4,302.8
53043,"""Lincoln, (WA)""",272.6 - 302.8 (8),37.8,8.3,33.2,21.5,14.4,281.3
53051,"""Pend Oreille, (WA)""",245.1 - 265.4 (8),39.9,9.2,41,25.9,16.1,265.4
53063,"""Spokane, (WA)""",265.5 - 272.5 (8),33,8.8,29,17.1,15.3,268.3
53065,"""Stevens, (WA)""",265.5 - 272.5 (8),38.7,7.8,30.2,20.9,17.6,271.5
53071,"""Walla Walla, (WA)""",245.1 - 265.4 (8),32.5,10.9,29.3,14.9,13.3,265.3
53075,"""Whitman, (WA)""",272.6 - 302.8 (8),25.2,9,26.8,17.3,13.2,289.3
