cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
54005,"""Boone, (WV)""",388.5 - 414.3 (11),41.4,17.8,41.9,29.6,27,408.2
54019,"""Fayette, (WV)""",388.5 - 414.3 (11),40.9,16.2,40.9,30.3,27.4,407.9
54039,"""Kanawha, (WV)""",360.3 - 388.4 (11),40.8,13.2,37.7,24.1,24,362.4
54043,"""Lincoln, (WV)""",388.5 - 414.3 (11),41.7,13,42.9,34.5,29.4,395.9
54045,"""Logan, (WV)""",414.4 - 524.7 (11),42.8,18.6,42.4,37.1,28.2,502.1
54047,"""McDowell, (WV)""",414.4 - 524.7 (11),44.6,13.7,44.9,34.1,32.7,466
54055,"""Mercer, (WV)""",414.4 - 524.7 (11),41.9,12.8,39.7,29.9,24.3,435
54059,"""Mingo, (WV)""",414.4 - 524.7 (11),42.6,19.5,41.4,43.8,32.6,524.7
54067,"""Nicholas, (WV)""",342.7 - 360.2 (11),42.1,10.8,41.2,28.9,26.2,360.1
54081,"""Raleigh, (WV)""",414.4 - 524.7 (11),42.3,14.7,38.5,28.8,25.9,474.4
54089,"""Summers, (WV)""",414.4 - 524.7 (11),43.3,13.1,40.9,36.2,25.9,415.6
54099,"""Wayne, (WV)""",291.8 - 342.6 (11),40.5,15.1,42.2,31.8,27.3,342.6
54109,"""Wyoming, (WV)""",414.4 - 524.7 (11),42.9,13.2,36.2,38.6,27.8,474.8
54007,"""Braxton, (WV)""",342.7 - 360.2 (11),42.7,9.2,36.9,25,27.5,347.8
54011,"""Cabell, (WV)""",342.7 - 360.2 (11),38.3,12.2,36.7,26.6,23.8,356.3
54013,"""Calhoun, (WV)""",342.7 - 360.2 (11),44.5,11.7,30,21,26.8,358.3
54015,"""Clay, (WV)""",360.3 - 388.4 (11),43.9,12.4,38.2,27,29.7,363.1
54017,"""Doddridge, (WV)""",291.8 - 342.6 (11),40.4,6.7,37.5,21.3,24.4,306.8
54021,"""Gilmer, (WV)""",360.3 - 388.4 (11),37.7,19.4,36.8,20.4,25.3,371.5
54035,"""Jackson, (WV)""",342.7 - 360.2 (11),42.2,13.1,42.9,22.2,25.2,352.4
54051,"""Marshall, (WV)""",360.3 - 388.4 (11),42.8,12.3,40.9,26.5,24.7,382.4
54053,"""Mason, (WV)""",360.3 - 388.4 (11),42.2,14.9,41.3,31.3,26.5,370.4
54069,"""Ohio, (WV)""",388.5 - 414.3 (11),38.5,10.6,32.1,22.3,20,404.6
54073,"""Pleasants, (WV)""",414.4 - 524.7 (11),39.6,13.1,31,21.1,25.5,434.1
54079,"""Putnam, (WV)""",342.7 - 360.2 (11),37.9,10.3,39.6,22,20.7,360.2
54085,"""Ritchie, (WV)""",388.5 - 414.3 (11),42.7,11.6,44.3,23.3,25.8,398.9
54087,"""Roane, (WV)""",342.7 - 360.2 (11),42.9,11.5,41.6,22.8,28.5,355
54095,"""Tyler, (WV)""",342.7 - 360.2 (11),42,10.4,34.5,25.8,24.5,350
54103,"""Wetzel, (WV)""",360.3 - 388.4 (11),42.6,15.9,37.9,24.9,25.2,369.4
54105,"""Wirt, (WV)""",360.3 - 388.4 (11),43,11.6,34.4,24.4,27.5,375.2
54107,"""Wood, (WV)""",388.5 - 414.3 (11),39.8,15.1,39.7,29.3,23.5,411.1
54025,"""Greenbrier, (WV)""",360.3 - 388.4 (11),41.5,12.6,35.3,22.6,23.7,377.3
54063,"""Monroe, (WV)""",388.5 - 414.3 (11),42.8,13.4,31.7,25.2,25.4,390.6
54001,"""Barbour, (WV)""",360.3 - 388.4 (11),40.6,12.6,39.8,29.2,25,365.3
54003,"""Berkeley, (WV)""",291.8 - 342.6 (11),36.3,11.2,38.3,26.2,24.5,324.3
54009,"""Brooke, (WV)""",388.5 - 414.3 (11),40.5,14.9,34.8,25.7,22,401.6
54023,"""Grant, (WV)""",291.8 - 342.6 (11),43.1,13.5,38.8,31,25,337
54027,"""Hampshire, (WV)""",291.8 - 342.6 (11),41.9,10.5,39.2,24.5,26.6,314.8
54029,"""Hancock, (WV)""",414.4 - 524.7 (11),40.4,10.9,42.2,23.3,23,434
54031,"""Hardy, (WV)""",291.8 - 342.6 (11),42.3,14.2,39.9,25.4,25.2,341.3
54033,"""Harrison, (WV)""",388.5 - 414.3 (11),39.9,14,36.9,23.8,22.8,388.6
54037,"""Jefferson, (WV)""",291.8 - 342.6 (11),38.4,9.7,33.5,20.2,21,307.9
54041,"""Lewis, (WV)""",414.4 - 524.7 (11),41.3,9.8,43.4,34.2,26,444.4
54049,"""Marion, (WV)""",414.4 - 524.7 (11),38.6,13.5,37.8,25.9,23.1,481.4
54057,"""Mineral, (WV)""",388.5 - 414.3 (11),40.2,11.6,35.9,24.1,23,403
54061,"""Monongalia, (WV)""",291.8 - 342.6 (11),30.4,10.2,30.5,19.7,20,333.4
54065,"""Morgan, (WV)""",291.8 - 342.6 (11),40.8,11.8,37.9,24,22.8,342.4
54071,"""Pendleton, (WV)""",291.8 - 342.6 (11),45,11.9,37,25.8,24.9,291.8
54075,"""Pocahontas, (WV)""",342.7 - 360.2 (11),43.8,11.6,33.2,18.7,24.9,349
54077,"""Preston, (WV)""",360.3 - 388.4 (11),40.4,14.9,36.8,29.4,24.4,374.9
54083,"""Randolph, (WV)""",291.8 - 342.6 (11),39.7,9.3,34.4,27.8,25.8,339.2
54091,"""Taylor, (WV)""",360.3 - 388.4 (11),39.6,10.6,40.4,29.1,24.7,388.4
54093,"""Tucker, (WV)""",388.5 - 414.3 (11),42.6,16.6,29.1,18,23.4,414.3
54097,"""Upshur, (WV)""",342.7 - 360.2 (11),40.6,13.7,35.1,24.2,26,344
54101,"""Webster, (WV)""",342.7 - 360.2 (11),43.9,13.2,36.5,31.4,28.8,355.3
