cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
55001,"""Adams, (WI)""",281.1 - 295.7 (14),42.3,13.9,31.9,22.3,21,288.7
55009,"""Brown, (WI)""",329.0 - 468.5 (14),33.8,9.4,33.1,18.4,17.6,344.3
55011,"""Buffalo, (WI)""",295.8 - 313.0 (15),38.8,10.3,32.4,17.2,19.1,308
55015,"""Calumet, (WI)""",281.1 - 295.7 (14),34,7.3,27.5,15.5,16.9,286.4
55021,"""Columbia, (WI)""",240.3 - 281.0 (15),35.9,7.9,45,25.2,18,280.2
55023,"""Crawford, (WI)""",240.3 - 281.0 (15),39,9.7,31,15.3,19.9,270.5
55025,"""Dane, (WI)""",240.3 - 281.0 (15),31.2,5.7,23.2,13.7,14,240.3
55027,"""Dodge, (WI)""",329.0 - 468.5 (14),36.3,9.7,37.6,19.6,19.8,375.4
55039,"""Fond du Lac, (WI)""",295.8 - 313.0 (15),37.3,6.9,31.5,21.9,17.6,312.2
55043,"""Grant, (WI)""",281.1 - 295.7 (14),34.3,9,35.2,18.4,18.3,284.7
55045,"""Green, (WI)""",295.8 - 313.0 (15),35.8,6.7,32.4,22.4,17.7,303.6
55047,"""Green Lake, (WI)""",329.0 - 468.5 (14),39.4,5.9,32.6,24.4,18.9,381.9
55049,"""Iowa, (WI)""",240.3 - 281.0 (15),37.2,11.3,30.3,19.5,18.1,270
55053,"""Jackson, (WI)""",295.8 - 313.0 (15),37.6,11,34,25.7,21.6,299.8
55055,"""Jefferson, (WI)""",313.1 - 328.9 (14),35.2,6.3,32,20.3,18.1,313.5
55057,"""Juneau, (WI)""",281.1 - 295.7 (14),38.9,6.8,35.6,22.1,21.7,293
55059,"""Kenosha, (WI)""",313.1 - 328.9 (14),34.4,7.2,31.2,20.4,18.4,328.9
55061,"""Kewaunee, (WI)""",295.8 - 313.0 (15),38.2,6.8,34.3,29.4,18.3,297.2
55063,"""La Crosse, (WI)""",281.1 - 295.7 (14),32.5,6.1,26.3,20.3,16,287.8
55065,"""Lafayette, (WI)""",281.1 - 295.7 (14),37.5,8.3,28.3,25.8,19.4,285.9
55071,"""Manitowoc, (WI)""",329.0 - 468.5 (14),38,7.8,35.7,19.2,18.6,333.8
55077,"""Marquette, (WI)""",281.1 - 295.7 (14),40.7,9.7,39.7,21.9,19.7,295.7
55079,"""Milwaukee, (WI)""",329.0 - 468.5 (14),32.1,9.7,31.6,22.7,19.9,379.1
